"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","817","2625","130","15"
"ABE","AVP","694","4197","82","11"
"ABE","DTW","993","6838","178","17"
"ABE","HPN","17","63","2","11"
"ABE","MDT","220","97","12","5"
"ABE","ORD","770","11414","255","33"
"ABE","PIT","1435","8251","175","12"
"ABQ","AMA","959","4503","134","13"
"ABQ","AUS","297","-3075","8","2"
"ABQ","BNA","54","-180","4","7"
"ABQ","DAL","1224","4010","108","8"
"ABQ","DEN","3730","17499","456","12"
"ABQ","DFW","3899","9900","308","7"
"ABQ","ELP","2196","14772","338","15"
"ABQ","HOU","192","2530","45","23"
"ABQ","IAH","690","1149","46","6"
"ABQ","LAS","1719","1795","157","9"
"ABQ","LAX","2700","1845","240","8"
"ABQ","LBB","928","2457","82","8"
"ABQ","MAF","561","2526","58","10"
"ABQ","MCI","645","1714","59","9"
"ABQ","ORD","1021","9542","293","28"
"ABQ","PHX","5892","19386","464","7"
"ABQ","PIT","292","574","44","15"
"ABQ","SAN","485","-1086","40","8"
"ABQ","SAT","124","684","22","17"
"ABQ","SFO","519","176","84","16"
"ABQ","SLC","1083","1627","59","5"
"ABQ","STL","1371","6969","214","15"
"ABQ","TUL","310","-870","32","10"
"ABQ","TUS","589","5981","107","18"
"ACV","RDD","5","195","4","80"
"ACV","SFO","14","447","7","50"
"ACY","PIT","447","4275","103","23"
"AGS","ATL","2147","9674","190","8"
"AGS","CAE","350","969","49","14"
"AGS","CLT","721","3623","55","7"
"ALB","ATL","710","1469","120","16"
"ALB","BGR","112","153","14","12"
"ALB","BUF","628","3046","57","9"
"ALB","BWI","1083","11857","296","27"
"ALB","CLE","360","3818","81","22"
"ALB","DCA","660","1035","49","7"
"ALB","DTW","1144","8048","209","18"
"ALB","ISP","998","11665","235","23"
"ALB","MHT","116","898","22","18"
"ALB","ORD","2812","24431","674","23"
"ALB","PHL","1477","11497","279","18"
"ALB","PIT","1433","12017","357","24"
"ALB","PVD","10","-11","1","10"
"ALB","PWM","126","607","15","11"
"ALB","RDU","267","2626","56","20"
"ALB","ROC","316","1501","30","9"
"ALB","SYR","195","-539","10","5"
"ALO","RST","57","251","10","17"
"ALO","STL","59","414","11","18"
"AMA","ABQ","910","-943","54","5"
"AMA","DAL","2296","2719","144","6"
"AMA","DEN","533","5801","94","17"
"AMA","DFW","2895","7957","215","7"
"AMA","LBB","453","2102","43","9"
"AMA","MAF","521","-1607","52","9"
"ANC","BET","577","2966","47","8"
"ANC","CDV","337","3140","46","13"
"ANC","DEN","121","955","27","22"
"ANC","FAI","3115","29509","672","21"
"ANC","HNL","2","127","2","100"
"ANC","JNU","654","8876","156","23"
"ANC","MSP","191","-507","17","8"
"ANC","OME","541","2069","37","6"
"ANC","ORD","244","2026","49","20"
"ANC","OTZ","438","3770","70","15"
"ANC","PDX","359","427","36","10"
"ANC","SCC","551","2978","53","9"
"ANC","SEA","5711","30838","1060","18"
"ANC","SFO","92","1524","38","41"
"ANC","SIT","1","219","1","100"
"ANC","SLC","707","3506","132","18"
"APF","TPA","807","1812","59","7"
"ATL","ABE","682","4418","105","15"
"ATL","AGS","2480","14470","301","12"
"ATL","ALB","708","6055","122","17"
"ATL","AUS","1059","6264","174","16"
"ATL","AVP","120","-318","5","4"
"ATL","BDL","2418","23300","516","21"
"ATL","BHM","5760","25997","596","10"
"ATL","BNA","5170","32314","717","13"
"ATL","BOS","4057","45434","1040","25"
"ATL","BTR","1010","5970","155","15"
"ATL","BUF","1392","4636","172","12"
"ATL","BWI","3577","29841","657","18"
"ATL","CAE","4472","22932","564","12"
"ATL","CAK","684","4305","91","13"
"ATL","CHA","2376","9578","208","8"
"ATL","CHS","5437","27490","709","13"
"ATL","CLE","3302","17439","458","13"
"ATL","CLT","6404","37020","853","13"
"ATL","CMH","3136","20005","446","14"
"ATL","CSG","1021","5626","129","12"
"ATL","CVG","2131","12573","296","13"
"ATL","DAB","2450","15226","318","12"
"ATL","DAY","1596","8340","165","10"
"ATL","DCA","5654","39273","995","17"
"ATL","DEN","3139","29474","760","24"
"ATL","DFW","6708","42954","1192","17"
"ATL","DTW","4994","34775","875","17"
"ATL","EWR","4653","44591","1023","21"
"ATL","FLL","4653","41641","882","18"
"ATL","FWA","357","910","22","6"
"ATL","GNV","1554","7313","201","12"
"ATL","GSO","3626","22063","487","13"
"ATL","GSP","4581","19158","537","11"
"ATL","HNL","308","38","53","17"
"ATL","HOU","2627","13307","357","13"
"ATL","HSV","1641","5254","175","10"
"ATL","IAD","2884","16212","362","12"
"ATL","IAH","3277","27317","637","19"
"ATL","IND","2821","16663","390","13"
"ATL","JAN","1762","12089","290","16"
"ATL","JAX","6096","38445","858","14"
"ATL","JFK","1030","15299","330","32"
"ATL","LAS","663","5209","157","23"
"ATL","LAX","2871","18520","651","22"
"ATL","LEX","1419","7681","164","11"
"ATL","LGA","5862","52013","1201","20"
"ATL","LIT","1061","6108","152","14"
"ATL","MCI","3519","20842","531","15"
"ATL","MCO","6892","52766","1124","16"
"ATL","MEM","4362","29725","640","14"
"ATL","MGM","2119","12252","246","11"
"ATL","MIA","6190","57499","1178","19"
"ATL","MKE","1162","5439","172","14"
"ATL","MLB","2518","16750","350","13"
"ATL","MLU","350","2244","39","11"
"ATL","MOB","3322","16472","382","11"
"ATL","MSP","2696","25258","637","23"
"ATL","MSY","4237","35329","743","17"
"ATL","OKC","708","3716","96","13"
"ATL","OMA","498","2310","71","14"
"ATL","ONT","354","3301","93","26"
"ATL","ORD","8761","83325","1935","22"
"ATL","ORF","3390","14847","386","11"
"ATL","PBI","3375","27279","604","17"
"ATL","PDX","311","1423","82","26"
"ATL","PHL","5771","53333","1108","19"
"ATL","PHX","1630","12042","356","21"
"ATL","PIT","5125","34032","792","15"
"ATL","PNS","3469","22319","486","14"
"ATL","PVD","459","2447","88","19"
"ATL","RDU","5718","22256","737","12"
"ATL","RIC","3126","12074","359","11"
"ATL","ROC","1057","4430","133","12"
"ATL","RSW","3517","29619","557","15"
"ATL","SAN","354","1190","56","15"
"ATL","SAT","1773","11284","304","17"
"ATL","SAV","4506","23373","527","11"
"ATL","SDF","3469","23400","545","15"
"ATL","SEA","1367","8995","351","25"
"ATL","SFO","2200","18320","560","25"
"ATL","SHV","357","1805","47","13"
"ATL","SJU","1604","17974","361","22"
"ATL","SLC","1756","8141","343","19"
"ATL","SRQ","3152","24274","478","15"
"ATL","STL","4885","35691","882","18"
"ATL","STT","145","2766","56","38"
"ATL","SYR","689","4884","119","17"
"ATL","TLH","2691","14743","329","12"
"ATL","TOL","716","2751","70","9"
"ATL","TPA","5984","43550","935","15"
"ATL","TUL","1061","7646","178","16"
"ATL","TUS","217","3086","67","30"
"ATL","TYS","2486","15257","301","12"
"ATW","CWA","59","-458","3","5"
"ATW","DTW","197","1469","40","20"
"ATW","GRB","84","100","4","4"
"ATW","MSP","871","2136","74","8"
"AUS","ABQ","297","1906","32","10"
"AUS","ATL","1080","7865","195","18"
"AUS","DAL","3439","-3282","126","3"
"AUS","DEN","1059","-189","113","10"
"AUS","DFW","6083","24224","521","8"
"AUS","ELP","1116","1556","106","9"
"AUS","HOU","3610","11646","405","11"
"AUS","HRL","299","692","17","5"
"AUS","IAH","2900","5741","170","5"
"AUS","LAS","59","206","1","1"
"AUS","LAX","344","3202","80","23"
"AUS","LBB","694","957","53","7"
"AUS","MAF","883","3187","75","8"
"AUS","MEM","897","3216","86","9"
"AUS","ORD","1411","7790","251","17"
"AUS","PHX","1821","5389","232","12"
"AUS","SAT","2349","2165","155","6"
"AUS","STL","642","5215","126","19"
"AVL","BWI","525","3040","60","11"
"AVL","CLT","1795","11243","210","11"
"AVP","ABE","833","2599","36","4"
"AVP","PHL","362","1066","27","7"
"AVP","PIT","1078","9488","193","17"
"AZO","DAY","1322","8546","158","11"
"AZO","DTW","1282","10179","187","14"
"AZO","LAN","678","-2777","59","8"
"AZO","MSP","692","6204","169","24"
"BDL","ATL","2438","8680","417","17"
"BDL","BOS","1042","6105","168","16"
"BDL","BTV","58","607","9","15"
"BDL","BUF","630","4085","90","14"
"BDL","BWI","1761","7681","238","13"
"BDL","CLE","366","-2697","23","6"
"BDL","CVG","728","4844","142","19"
"BDL","DCA","1656","21436","486","29"
"BDL","DEN","258","3955","83","32"
"BDL","DFW","728","-299","123","16"
"BDL","DTW","1777","13730","369","20"
"BDL","EWR","1978","16101","460","23"
"BDL","FLL","580","3153","125","21"
"BDL","IAD","1811","9671","309","17"
"BDL","ISP","348","2129","35","10"
"BDL","JFK","464","6159","148","31"
"BDL","LAX","68","568","16","23"
"BDL","LGA","112","404","8","7"
"BDL","MCO","889","4061","162","18"
"BDL","MSP","661","4136","148","22"
"BDL","ORD","3758","22168","780","20"
"BDL","PBI","358","674","52","14"
"BDL","PHL","2470","21352","478","19"
"BDL","PIT","2049","15658","484","23"
"BDL","PVD","328","3966","84","25"
"BDL","RDU","1082","2281","121","11"
"BDL","SJU","385","-1338","33","8"
"BDL","STL","1010","8477","257","25"
