"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","730","6081","142","19"
"ABE","CLT","472","2598","85","18"
"ABE","CVG","730","706","69","9"
"ABE","DTW","1020","5884","155","15"
"ABE","MCO","52","149","7","13"
"ABE","MDT","1034","3574","144","13"
"ABE","ORD","1392","8107","209","15"
"ABE","PIT","1435","3312","116","8"
"ABQ","AMA","724","4343","131","18"
"ABQ","ATL","942","7623","196","20"
"ABQ","COS","364","2021","50","13"
"ABQ","CVG","363","2666","55","15"
"ABQ","DAL","2493","20857","410","16"
"ABQ","DEN","3077","11669","339","11"
"ABQ","DFW","3257","16985","398","12"
"ABQ","ELP","2119","17696","416","19"
"ABQ","HOU","365","860","42","11"
"ABQ","IAH","1801","3468","148","8"
"ABQ","LAS","2441","19940","464","19"
"ABQ","LAX","2461","13758","459","18"
"ABQ","LBB","679","3173","101","14"
"ABQ","MAF","365","4512","87","23"
"ABQ","MCI","726","4111","93","12"
"ABQ","MCO","116","-1367","5","4"
"ABQ","MSP","729","4166","125","17"
"ABQ","ORD","708","1406","86","12"
"ABQ","PHX","7053","42059","1007","14"
"ABQ","PIT","373","422","48","12"
"ABQ","SAN","1092","6923","174","15"
"ABQ","SFO","727","6381","181","24"
"ABQ","SLC","1816","7875","216","11"
"ABQ","STL","2351","12596","392","16"
"ABQ","TPA","116","-721","12","10"
"ABQ","TUS","346","5651","121","34"
"ACK","EWR","16","320","3","18"
"ADQ","ANC","719","6164","128","17"
"AGS","ATL","1820","11454","336","18"
"AGS","SAV","363","4392","117","32"
"AKN","ANC","280","3125","66","23"
"AKN","DLG","176","1113","24","13"
"ALB","ATL","1093","12756","314","28"
"ALB","CLT","530","810","72","13"
"ALB","CVG","1093","4251","144","13"
"ALB","DCA","1036","4526","116","11"
"ALB","DTW","1360","6428","226","16"
"ALB","MCO","52","781","18","34"
"ALB","ORD","2169","9946","288","13"
"ALB","PHL","1655","9593","263","15"
"ALB","PIT","1460","6849","212","14"
"ALB","PWM","730","4393","149","20"
"AMA","ABQ","724","4243","112","15"
"AMA","DAL","2681","19585","414","15"
"AMA","DFW","1093","9809","141","12"
"AMA","LAS","364","-822","12","3"
"ANC","ADQ","719","8066","151","21"
"ANC","AKN","456","3769","85","18"
"ANC","BET","951","10824","166","17"
"ANC","CDV","362","5701","110","30"
"ANC","DLG","241","3702","57","23"
"ANC","DTW","108","102","15","13"
"ANC","DUT","612","6674","128","20"
"ANC","FAI","3592","36469","769","21"
"ANC","JNU","1179","12765","269","22"
"ANC","LAX","160","3157","84","52"
"ANC","MSP","732","3340","142","19"
"ANC","OME","641","8179","131","20"
"ANC","ORD","192","2172","58","30"
"ANC","OTZ","727","9349","145","19"
"ANC","PDX","216","3438","94","43"
"ANC","SCC","362","4276","80","22"
"ANC","SEA","7386","69098","1761","23"
"ANC","SFO","372","3598","117","31"
"ANC","SLC","980","12392","319","32"
"ATL","ABE","730","2443","117","16"
"ATL","ABQ","944","10651","274","29"
"ATL","AGS","2183","14533","382","17"
"ATL","ALB","1094","17412","376","34"
"ATL","AUS","1459","14353","390","26"
"ATL","BDL","1914","14550","337","17"
"ATL","BHM","3279","33305","796","24"
"ATL","BNA","3275","40962","937","28"
"ATL","BOS","3507","49954","1056","30"
"ATL","BTR","1093","11564","267","24"
"ATL","BUF","1095","15011","351","32"
"ATL","BWI","4140","34229","904","21"
"ATL","CAE","3274","26500","697","21"
"ATL","CHS","3570","34323","838","23"
"ATL","CLE","3289","28268","689","20"
"ATL","CLT","5211","36343","910","17"
"ATL","CMH","2555","28878","668","26"
"ATL","COS","424","-1998","50","11"
"ATL","CVG","3762","39799","955","25"
"ATL","DAB","2484","28017","606","24"
"ATL","DAY","1823","8631","281","15"
"ATL","DCA","5084","28938","891","17"
"ATL","DEN","3729","34660","862","23"
"ATL","DFW","10609","112574","2668","25"
"ATL","DTW","5172","53058","1295","25"
"ATL","EGE","114","1246","27","23"
"ATL","ELP","365","-1461","46","12"
"ATL","EWR","7277","99582","1945","26"
"ATL","FLL","3284","65689","1207","36"
"ATL","FWA","365","3977","93","25"
"ATL","GNV","1355","7977","212","15"
"ATL","GSO","2615","23034","506","19"
"ATL","GSP","2965","15764","479","16"
"ATL","GUC","78","256","11","14"
"ATL","HNL","365","7989","132","36"
"ATL","HOU","1766","20433","481","27"
"ATL","HSV","3271","20077","575","17"
"ATL","IAD","2576","22073","588","22"
"ATL","IAH","5259","54702","1259","23"
"ATL","IND","1873","21845","493","26"
"ATL","JAN","1457","14630","340","23"
"ATL","JAX","2918","43640","964","33"
"ATL","JFK","1088","10412","293","26"
"ATL","LAS","1302","22232","543","41"
"ATL","LAX","2953","54695","1196","40"
"ATL","LEX","1457","9656","285","19"
"ATL","LGA","5717","55787","1343","23"
"ATL","LIT","1456","16209","333","22"
"ATL","MCI","2550","31836","708","27"
"ATL","MCO","5166","94808","1775","34"
"ATL","MDT","730","9419","196","26"
