"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","714","5976","155","21"
"ABE","CLT","429","3182","96","22"
"ABE","DTW","956","1877","85","8"
"ABE","MDT","1445","3443","139","9"
"ABE","ORD","2015","9246","292","14"
"ABE","PIT","1783","7566","173","9"
"ABE","RDU","83","1135","14","16"
"ABQ","AMA","698","1484","76","10"
"ABQ","ATL","14","88","1","7"
"ABQ","CVG","57","710","19","33"
"ABQ","DAL","1966","-1550","111","5"
"ABQ","DEN","4120","21929","553","13"
"ABQ","DFW","3883","28326","606","15"
"ABQ","ELP","1677","3272","122","7"
"ABQ","HOU","535","-628","25","4"
"ABQ","IAH","1264","2731","121","9"
"ABQ","LAS","2064","4050","172","8"
"ABQ","LAX","2199","4949","263","11"
"ABQ","LBB","709","738","40","5"
"ABQ","MAF","375","-836","11","2"
"ABQ","MSP","181","-632","17","9"
"ABQ","ORD","1054","4252","160","15"
"ABQ","PHX","6483","4293","412","6"
"ABQ","PIT","717","139","93","12"
"ABQ","SAN","162","-66","24","14"
"ABQ","SFO","715","-431","68","9"
"ABQ","SLC","1070","2381","66","6"
"ABQ","STL","1681","7266","251","14"
"ABQ","TUS","119","-1099","3","2"
"ACY","PIT","763","5141","112","14"
"ADQ","ANC","85","616","11","12"
"AGS","ATL","2088","16640","413","19"
"AGS","CAE","149","311","16","10"
"AGS","CLT","1194","-1827","46","3"
"AGS","SAV","209","1688","49","23"
"AKN","ANC","166","1511","29","17"
"AKN","DLG","164","632","10","6"
"ALB","ATL","714","3106","119","16"
"ALB","BUF","826","869","53","6"
"ALB","BWI","601","2795","78","12"
"ALB","CLT","351","1951","44","12"
"ALB","CVG","709","-1950","51","7"
"ALB","DCA","1020","5064","129","12"
"ALB","DTW","1334","1198","139","10"
"ALB","LGA","780","6547","119","15"
"ALB","ORD","2903","8599","411","14"
"ALB","PHL","1415","11597","276","19"
"ALB","PIT","1786","17500","406","22"
"ALB","PWM","710","2571","93","13"
"ALB","RDU","1063","-4279","67","6"
"ALB","SWF","81","15","5","6"
"AMA","ABQ","672","2718","83","12"
"AMA","DAL","2267","5902","174","7"
"AMA","DFW","2493","10633","246","9"
"AMA","LBB","483","357","26","5"
