"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","1010","16571","279","27"
"ABE","BWI","1","61","1","100"
"ABE","CLE","1080","-73","118","10"
"ABE","CLT","361","-972","47","13"
"ABE","CVG","777","2860","116","14"
"ABE","DTW","1009","9193","208","20"
"ABE","JFK","3","172","3","100"
"ABE","LGA","3","115","3","100"
"ABE","ORD","1457","17298","344","23"
"ABI","DFW","2836","30131","485","17"
"ABQ","AMA","625","8220","172","27"
"ABQ","ATL","1148","2915","138","12"
"ABQ","AUS","414","-3430","28","6"
"ABQ","BWI","365","-1308","26","7"
"ABQ","CLE","13","90","3","23"
"ABQ","CVG","440","3071","89","20"
"ABQ","DAL","2679","20402","555","20"
"ABQ","DEN","2868","25545","574","20"
"ABQ","DFW","2895","27772","508","17"
"ABQ","ELP","966","8537","166","17"
"ABQ","EWR","352","-832","59","16"
"ABQ","HOU","1042","4929","174","16"
"ABQ","IAD","365","3447","83","22"
"ABQ","IAH","2257","15219","380","16"
"ABQ","LAS","2464","10773","402","16"
"ABQ","LAX","2494","7916","383","15"
"ABQ","LBB","365","2990","87","23"
"ABQ","MAF","365","4024","96","26"
"ABQ","MCI","715","2435","111","15"
"ABQ","MCO","729","2322","117","16"
"ABQ","MDW","727","-645","71","9"
"ABQ","MSP","667","4509","128","19"
"ABQ","OAK","1057","2593","172","16"
"ABQ","OKC","425","1274","63","14"
"ABQ","ONT","686","-4685","45","6"
"ABQ","ORD","619","8312","161","26"
"ABQ","PDX","365","2054","69","18"
"ABQ","PHX","5686","31853","984","17"
"ABQ","SAN","1069","578","148","13"
"ABQ","SAT","407","-3941","30","7"
"ABQ","SEA","573","204","91","15"
"ABQ","SFO","729","7724","191","26"
"ABQ","SLC","2253","11855","380","16"
"ABQ","SMF","451","714","61","13"
"ABQ","STL","365","2252","76","20"
"ABQ","TPA","365","1094","64","17"
"ABQ","TUL","434","-2196","32","7"
"ABQ","TUS","721","1911","91","12"
"ABY","ATL","1312","15014","284","21"
"ACK","EWR","167","8943","86","51"
"ACK","JFK","147","3831","51","34"
"ACT","DFW","2349","15501","379","16"
"ACV","CEC","361","4802","98","27"
"ACV","SFO","2887","39926","741","25"
"ACV","SMF","624","9386","171","27"
"ACY","ATL","609","10975","188","30"
"ACY","BOS","2","71","2","100"
"ACY","JFK","2","44","1","50"
"ACY","LGA","14","807","9","64"
"ACY","MCO","106","304","16","15"
"ACY","MYR","1","252","1","100"
"ADK","AKN","43","1065","17","39"
"ADK","ANC","60","-1723","7","11"
"ADQ","ANC","691","5860","175","25"
"AEX","ATL","1091","16482","314","28"
"AEX","DFW","1094","9809","213","19"
"AEX","IAH","811","3852","132","16"
"AGS","ATL","2240","33221","634","28"
"AGS","CLT","38","145","6","15"
"AGS","LGA","8","275","3","37"
"AKN","ADK","43","789","16","37"
"AKN","ANC","154","3048","58","37"
"AKN","DLG","38","462","12","31"
"ALB","ATL","1414","18289","373","26"
"ALB","BWI","2415","24019","496","20"
"ALB","CLE","1202","24058","348","28"
"ALB","CLT","874","5773","213","24"
"ALB","CVG","983","4086","176","17"
"ALB","DCA","397","2056","75","18"
