"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","728","2016","112","15"
"ABE","CLT","722","2415","104","14"
"ABE","CVG","728","4707","127","17"
"ABE","DTW","1061","6537","155","14"
"ABE","MCO","6","1","1","16"
"ABE","MDT","1036","3953","156","15"
"ABE","ORD","1441","14366","280","19"
"ABE","PIT","1403","4268","151","10"
"ABQ","AMA","726","4327","111","15"
"ABQ","ATL","728","5680","144","19"
"ABQ","COS","365","3470","51","13"
"ABQ","CVG","365","2045","63","17"
"ABQ","DAL","2543","14947","375","14"
"ABQ","DEN","2953","18113","367","12"
"ABQ","DFW","3312","32888","656","19"
"ABQ","ELP","2135","22803","465","21"
"ABQ","HOU","366","1584","36","9"
"ABQ","IAH","1828","9115","175","9"
"ABQ","LAS","2528","22989","500","19"
"ABQ","LAX","2487","23910","601","24"
"ABQ","LBB","725","4139","111","15"
"ABQ","MAF","366","4983","87","23"
"ABQ","MCI","727","7306","155","21"
"ABQ","MSP","730","6284","127","17"
"ABQ","ORD","1010","14854","249","24"
"ABQ","PHX","7225","43692","997","13"
"ABQ","PIT","662","1410","103","15"
"ABQ","SAN","1093","12822","270","24"
"ABQ","SFO","729","14490","261","35"
"ABQ","SLC","1828","16214","319","17"
"ABQ","STL","2161","22153","548","25"
"ABQ","TUS","364","8320","137","37"
"ACK","EWR","25","292","4","16"
"ADQ","ANC","533","6157","123","23"
"AGS","ATL","1820","7835","264","14"
"AGS","SAV","317","3544","96","30"
"AKN","ANC","284","4540","107","37"
"AKN","DLG","169","2600","48","28"
"ALB","ATL","1093","12987","299","27"
"ALB","BWI","113","428","16","14"
"ALB","CLT","731","432","95","12"
"ALB","CVG","1091","12955","284","26"
"ALB","DCA","1065","4018","123","11"
"ALB","DTW","1393","4686","189","13"
"ALB","MCO","52","537","13","25"
"ALB","ORD","2184","11907","396","18"
"ALB","PHL","1388","6573","175","12"
"ALB","PIT","1463","6725","222","15"
"ALB","PWM","731","10132","217","29"
"ALO","MSP","469","-2140","19","4"
"AMA","ABQ","726","4877","107","14"
"AMA","DAL","2764","10195","300","10"
"AMA","DFW","1093","5255","132","12"
"AMA","LAS","209","-2035","5","2"
"ANC","ADQ","506","6222","124","24"
"ANC","AKN","426","6765","129","30"
"ANC","ANI","64","1117","13","20"
"ANC","BET","916","13345","230","25"
"ANC","CDV","363","5739","103","28"
"ANC","DEN","95","1320","33","34"
"ANC","DLG","182","2675","52","28"
"ANC","DTW","116","-129","6","5"
"ANC","DUT","646","7541","149","23"
"ANC","FAI","3634","56512","1065","29"
"ANC","JNU","1159","15477","297","25"
"ANC","LAX","274","5133","106","38"
"ANC","MSP","744","2892","139","18"
"ANC","OME","639","8264","164","25"
"ANC","ORD","192","1753","40","20"
"ANC","OTZ","827","12708","210","25"
"ANC","PDX","246","3295","94","38"
"ANC","SCC","363","6745","122","33"
"ANC","SEA","7772","72860","1942","24"
"ANC","SFO","412","7480","164","39"
"ANC","SLC","1097","10539","257","23"
"ANI","KSM","64","786","15","23"
"ATL","ABE","730","7600","182","24"
"ATL","ABQ","729","11313","249","34"
"ATL","AGS","2136","15053","406","19"
"ATL","ALB","1093","15289","337","30"
"ATL","AUS","1456","10001","282","19"
"ATL","AVP","543","5548","121","22"
"ATL","BDL","1827","18516","410","22"
"ATL","BHM","3265","34331","788","24"
"ATL","BNA","3250","40875","881","27"
"ATL","BOS","3285","55061","1066","32"
"ATL","BTR","1093","13154","265","24"
"ATL","BUF","1095","17468","365","33"
"ATL","BWI","3919","40471","937","23"
"ATL","CAE","3803","36054","891","23"
"ATL","CHS","3280","31758","730","22"
"ATL","CLE","3114","25430","646","20"
"ATL","CLT","5280","45767","1091","20"
"ATL","CMH","2223","31125","678","30"
"ATL","CVG","3300","38984","888","26"
"ATL","DAB","2557","26138","570","22"
"ATL","DAY","1582","12298","336","21"
"ATL","DCA","4622","34049","997","21"
"ATL","DEN","3647","41679","986","27"
"ATL","DFW","10833","107632","2687","24"
"ATL","DTW","5338","44181","1137","21"
"ATL","EGE","78","1835","46","58"
"ATL","ELP","363","-2449","31","8"
"ATL","EWR","7747","145448","2404","31"
"ATL","FLL","2955","55279","1095","37"
"ATL","FWA","365","3260","80","21"
"ATL","GNV","1787","13073","315","17"
"ATL","GSO","2959","32570","708","23"
"ATL","GSP","3134","19736","549","17"
"ATL","GUC","78","1280","33","42"
"ATL","HNL","366","3415","100","27"
"ATL","HOU","1769","16417","404","22"
"ATL","HSV","2958","23526","614","20"
"ATL","IAD","2242","19777","496","22"
"ATL","IAH","5384","43437","1115","20"
"ATL","ICT","543","3225","121","22"
"ATL","IND","1458","19628","414","28"
"ATL","JAN","1591","20601","410","25"
"ATL","JAX","2914","45586","910","31"
"ATL","JFK","1807","13071","396","21"
"ATL","LAS","1098","23565","496","45"
"ATL","LAX","2946","62312","1227","41"
"ATL","LEX","1454","10286","299","20"
"ATL","LGA","5680","70222","1524","26"
"ATL","LIT","1456","18266","380","26"
"ATL","MCI","2550","30044","697","27"
"ATL","MCO","4201","75093","1384","32"
"ATL","MDT","728","8578","166","22"
"ATL","MEM","5545","50699","1160","20"
"ATL","MGM","2180","16577","409","18"
"ATL","MIA","5728","72202","1583","27"
"ATL","MKE","1095","7183","211","19"
"ATL","MLB","1823","11070","323","17"
"ATL","MLU","365","4371","101","27"
"ATL","MOB","2911","31225","692","23"
"ATL","MSP","3298","25220","779","23"
"ATL","MSY","3012","37231","784","26"
"ATL","OKC","1095","13931","298","27"
"ATL","OMA","1092","11450","271","24"
"ATL","ONT","365","6752","157","43"
"ATL","ORD","9477","134078","2565","27"
"ATL","ORF","1825","17228","392","21"
"ATL","PBI","2954","50273","997","33"
"ATL","PDX","731","13231","293","40"
"ATL","PHL","4850","52459","1198","24"
"ATL","PHX","3036","53975","1147","37"
"ATL","PIT","4112","44882","1119","27"
"ATL","PNS","2548","27352","590","23"
"ATL","PVD","1459","12977","333","22"
"ATL","RDU","3642","52051","1090","29"
"ATL","RIC","2183","21791","484","22"
"ATL","ROC","732","8793","209","28"
"ATL","RSW","2918","36249","777","26"
"ATL","SAN","1095","16093","422","38"
"ATL","SAT","1820","12834","379","20"
"ATL","SAV","2922","31940","750","25"
"ATL","SDF","2587","41184","887","34"
