"flightmonth","dayfrom","dayto","number_of_delays","flightdate"
"january","0","1","3610","2001-01-01"
"january","1","2","3736","2001-01-02"
"january","2","3","3561","2001-01-03"
"january","4","5","7724","2001-01-05"
"january","5","6","3838","2001-01-06"
"january","8","9","7267","2001-01-09"
"january","9","10","13530","2001-01-10"
"january","11","12","3854","2001-01-12"
"january","12","13","3835","2001-01-13"
"january","13","14","2908","2001-01-14"
"january","14","15","3424","2001-01-15"
"january","16","17","3642","2001-01-17"
"january","17","18","10363","2001-01-18"
"january","20","21","3463","2001-01-21"
"january","21","22","7068","2001-01-22"
"january","22","23","3852","2001-01-23"
"january","23","24","8308","2001-01-24"
"january","24","25","3747","2001-01-25"
"january","25","26","4208","2001-01-26"
"january","26","27","4060","2001-01-27"
"february","0","1","9384","2001-02-01"
"february","1","2","4181","2001-02-02"
"february","2","3","4957","2001-02-03"
"february","3","4","8820","2001-02-04"
"february","4","5","12849","2001-02-05"
"february","8","9","11597","2001-02-09"
"february","9","10","3544","2001-02-10"
"february","12","13","4568","2001-02-13"
"february","13","14","5240","2001-02-14"
"february","14","15","14643","2001-02-15"
"february","16","17","11191","2001-02-17"
"february","17","18","4061","2001-02-18"
"february","18","19","3599","2001-02-19"
"february","21","22","4416","2001-02-22"
"february","25","26","4415","2001-02-26"
"march","1","2","7496","2001-03-02"
"march","2","3","7583","2001-03-03"
"march","6","7","4253","2001-03-07"
"march","9","10","4300","2001-03-10"
"march","10","11","22531","2001-03-11"
"march","11","12","3667","2001-03-12"
"march","12","13","3948","2001-03-13"
"march","13","14","3701","2001-03-14"
"march","14","15","7395","2001-03-15"
"march","15","16","3929","2001-03-16"
"march","17","18","4003","2001-03-18"
"march","22","23","2875","2001-03-23"
"march","23","24","5491","2001-03-24"
"march","26","27","7951","2001-03-27"
"march","27","28","4005","2001-03-28"
"march","28","29","12585","2001-03-29"
"april","0","1","9359","2001-04-01"
"april","1","2","10366","2001-04-02"
"april","3","4","4779","2001-04-04"
"april","4","5","2936","2001-04-05"
"april","5","6","7258","2001-04-06"
"april","6","7","6040","2001-04-07"
"april","11","12","4603","2001-04-12"
"april","12","13","3692","2001-04-13"
"april","14","15","11834","2001-04-15"
"april","17","18","2376","2001-04-18"
"april","20","21","4875","2001-04-21"
"april","21","22","6030","2001-04-22"
"april","22","23","7081","2001-04-23"
"april","23","24","2960","2001-04-24"
"april","26","27","3668","2001-04-27"
"april","27","28","2723","2001-04-28"
"may","0","1","2742","2001-05-01"
"may","1","2","3906","2001-05-02"
"may","3","4","10064","2001-05-04"
"may","4","5","11953","2001-05-05"
"may","6","7","7717","2001-05-07"
"may","7","8","8949","2001-05-08"
"may","8","9","11105","2001-05-09"
"may","10","11","2809","2001-05-11"
"may","11","12","2576","2001-05-12"
"may","15","16","2640","2001-05-16"
"may","19","20","3047","2001-05-20"
"may","22","23","4109","2001-05-23"
"may","25","26","3464","2001-05-26"
"may","26","27","2940","2001-05-27"
"may","27","28","5211","2001-05-28"
"may","30","31","3360","2001-05-31"
"june","6","7","8023","2001-06-07"
"june","7","8","8494","2001-06-08"
"june","9","10","9253","2001-06-10"
"june","12","13","5693","2001-06-13"
"june","14","15","12355","2001-06-15"
"june","15","16","4919","2001-06-16"
"june","17","18","8153","2001-06-18"
"june","19","20","8166","2001-06-20"
"june","22","23","12002","2001-06-23"
"june","23","24","10285","2001-06-24"
"june","26","27","7680","2001-06-27"
"june","27","28","4016","2001-06-28"
"june","29","30","7869","2001-06-30"
"july","1","2","3787","2001-07-02"
"july","2","3","3395","2001-07-03"
"july","6","7","3757","2001-07-07"
"july","7","8","4005","2001-07-08"
"july","12","13","7968","2001-07-13"
"july","14","15","8264","2001-07-15"
"july","15","16","6946","2001-07-16"
"july","16","17","8740","2001-07-17"
"july","18","19","2696","2001-07-19"
"july","20","21","12287","2001-07-21"
"july","21","22","3200","2001-07-22"
"july","22","23","6475","2001-07-23"
"july","23","24","9139","2001-07-24"
"july","24","25","4635","2001-07-25"
"july","25","26","6392","2001-07-26"
"july","26","27","3445","2001-07-27"
"july","29","30","6551","2001-07-30"
"august","0","1","6897","2001-08-01"
"august","1","2","9038","2001-08-02"
"august","3","4","4992","2001-08-04"
"august","6","7","4416","2001-08-07"
"august","7","8","3543","2001-08-08"
"august","8","9","14315","2001-08-09"
"august","9","10","8448","2001-08-10"
"august","12","13","2990","2001-08-13"
"august","17","18","3375","2001-08-18"
"august","18","19","5302","2001-08-19"
"august","20","21","3619","2001-08-21"
"august","22","23","8513","2001-08-23"
"august","23","24","5612","2001-08-24"
"august","25","26","3748","2001-08-26"
"august","26","27","7133","2001-08-27"
"august","27","28","4037","2001-08-28"
"august","29","30","4406","2001-08-30"
"august","30","31","7012","2001-08-31"
"september","1","2","2052","2001-09-02"
"september","2","3","7151","2001-09-03"
"september","3","4","1476","2001-09-04"
"september","5","6","2091","2001-09-06"
"september","6","7","4244","2001-09-07"
"september","8","9","2223","2001-09-09"
"september","9","10","8084","2001-09-10"
"september","13","14","4614","2001-09-14"
"september","14","15","4190","2001-09-15"
"september","16","17","4111","2001-09-17"
"september","19","20","2447","2001-09-20"
"september","23","24","1653","2001-09-24"
"september","25","26","3578","2001-09-26"
"september","26","27","3602","2001-09-27"
"september","28","29","1407","2001-09-29"
"september","29","30","1690","2001-09-30"
"october","0","1","3275","2001-10-01"
"october","1","2","2007","2001-10-02"
"october","2","3","5253","2001-10-03"
"october","3","4","3167","2001-10-04"
"october","4","5","5623","2001-10-05"
"october","5","6","2089","2001-10-06"
"october","6","7","2158","2001-10-07"
"october","8","9","2143","2001-10-09"
"october","14","15","7885","2001-10-15"
"october","16","17","2392","2001-10-17"
"october","18","19","3158","2001-10-19"
"october","19","20","2361","2001-10-20"
"october","20","21","2362","2001-10-21"
"october","23","24","1788","2001-10-24"
"october","28","29","3452","2001-10-29"
"october","29","30","2377","2001-10-30"
"october","30","31","6979","2001-10-31"
"november","0","1","2380","2001-11-01"
"november","3","4","2320","2001-11-04"
"november","4","5","2502","2001-11-05"
"november","7","8","2931","2001-11-08"
"november","9","10","3064","2001-11-10"
"november","11","12","3548","2001-11-12"
"november","12","13","3274","2001-11-13"
"november","13","14","2206","2001-11-14"
"november","17","18","2401","2001-11-18"
"november","19","20","3104","2001-11-20"
"november","20","21","7877","2001-11-21"
"november","22","23","5325","2001-11-23"
"november","24","25","2505","2001-11-25"
"november","25","26","2945","2001-11-26"
"november","26","27","1857","2001-11-27"
"november","28","29","4765","2001-11-29"
"december","0","1","3983","2001-12-01"
"december","3","4","3696","2001-12-04"
"december","4","5","3212","2001-12-05"
"december","6","7","11634","2001-12-07"
"december","8","9","3411","2001-12-09"
"december","10","11","1398","2001-12-11"
"december","11","12","3928","2001-12-12"
"december","16","17","6763","2001-12-17"
"december","18","19","7127","2001-12-19"
"december","23","24","5428","2001-12-24"
"december","24","25","3867","2001-12-25"
"december","26","27","13860","2001-12-27"
"december","29","30","7092","2001-12-30"
