"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","549","2785","93","16"
"ABE","AVP","513","-1483","26","5"
"ABE","BWI","468","4533","81","17"
"ABE","DTW","1006","5621","150","14"
"ABE","HPN","81","387","5","6"
"ABE","MDT","161","1110","26","16"
"ABE","ORD","757","14112","292","38"
"ABE","PIT","1424","10312","184","12"
"ABQ","AMA","956","5360","145","15"
"ABQ","AUS","31","2","5","16"
"ABQ","DAL","1235","10684","264","21"
"ABQ","DEN","3539","22194","472","13"
"ABQ","DFW","3890","23948","559","14"
"ABQ","ELP","2199","10573","333","15"
"ABQ","HOU","487","8382","165","33"
"ABQ","IAH","693","3493","57","8"
"ABQ","LAS","1978","15133","338","17"
"ABQ","LAX","2711","16576","413","15"
"ABQ","LBB","662","4660","109","16"
"ABQ","MAF","391","3543","69","17"
"ABQ","ORD","1094","9646","281","25"
"ABQ","PHX","6225","66748","1311","21"
"ABQ","PIT","713","3518","143","20"
"ABQ","SAN","131","380","18","13"
"ABQ","SFO","887","16776","374","42"
"ABQ","SLC","1077","5123","85","7"
"ABQ","STL","1392","1467","172","12"
"ABQ","TUL","5","6","1","20"
"ABQ","TUS","586","4747","96","16"
"ACY","PIT","654","3590","95","14"
"AGS","ATL","2036","10793","213","10"
"AGS","CAE","346","3379","92","26"
"AGS","CLT","704","5564","125","17"
"ALB","ATL","1175","9152","274","23"
"ALB","BGR","153","1118","27","17"
"ALB","BUF","627","6806","143","22"
"ALB","BWI","1356","19243","519","38"
"ALB","CLE","355","2076","51","14"
"ALB","DCA","687","5146","121","17"
"ALB","DTW","1248","11064","271","21"
"ALB","ISP","916","10656","211","23"
"ALB","MHT","78","408","13","16"
"ALB","ORD","2480","30843","740","29"
"ALB","PHL","1287","5579","194","15"
"ALB","PIT","1417","9685","321","22"
"ALB","PVD","6","34","1","16"
"ALB","PWM","326","809","51","15"
"ALB","RDU","1064","3759","133","12"
"ALB","ROC","293","3654","55","18"
"ALB","SYR","179","449","10","5"
"AMA","ABQ","936","-981","61","6"
"AMA","DAL","2212","9868","238","10"
"AMA","DFW","2840","12138","313","11"
"AMA","LBB","354","1770","27","7"
"ANC","BET","567","5850","81","14"
"ANC","CDV","347","4625","54","15"
"ANC","DEN","21","-37","2","9"
"ANC","FAI","2788","30663","623","22"
"ANC","JNU","787","9321","158","20"
"ANC","MSP","209","1452","28","13"
"ANC","OME","510","4591","83","16"
"ANC","ORD","276","5865","92","33"
"ANC","OTZ","423","3783","71","16"
"ANC","PDX","355","1717","57","16"
"ANC","SCC","521","4238","63","12"
"ANC","SEA","5881","41866","1222","20"
"ANC","SFO","86","584","22","25"
"ANC","SLC","708","3358","124","17"
"APF","TPA","114","533","9","7"
"ATL","ABE","372","2360","60","16"
"ATL","AGS","2370","19782","372","15"
"ATL","ALB","1164","7706","167","14"
"ATL","AUS","1064","8343","199","18"
"ATL","AVP","168","435","18","10"
"ATL","BDL","2032","16172","381","18"
"ATL","BHM","4734","31859","667","14"
"ATL","BNA","4792","15911","514","10"
"ATL","BOS","3783","35482","855","22"
"ATL","BTR","1012","8953","198","19"
"ATL","BUF","1804","8771","287","15"
"ATL","BWI","2483","21673","489","19"
"ATL","CAE","3260","25747","556","17"
"ATL","CAK","365","20","21","5"
"ATL","CHA","2367","18302","360","15"
"ATL","CHS","3874","25347","597","15"
"ATL","CLE","2680","19680","436","16"
"ATL","CLT","5124","40755","955","18"
"ATL","CMH","2649","21180","475","17"
"ATL","CSG","1002","8169","168","16"
"ATL","CVG","2370","22071","447","18"
"ATL","DAB","2242","13394","314","14"
"ATL","DAY","1315","12764","261","19"
"ATL","DCA","4935","29354","878","17"
"ATL","DEN","2772","29762","757","27"
"ATL","DFW","5658","54979","1282","22"
"ATL","DTW","4417","27604","763","17"
"ATL","EWR","4634","59204","1330","28"
"ATL","FLL","3773","41354","905","23"
"ATL","FWA","361","2138","43","11"
"ATL","GNV","963","3354","102","10"
"ATL","GSO","2849","24022","548","19"
"ATL","GSP","3689","21523","489","13"
"ATL","HNL","276","3950","78","28"
"ATL","HOU","1352","11670","262","19"
"ATL","HSV","1728","5974","174","10"
"ATL","IAD","3018","23368","524","17"
"ATL","IAH","3514","24730","636","18"
"ATL","IND","2300","12508","302","13"
"ATL","JAN","1753","14163","295","16"
"ATL","JAX","5250","46214","1010","19"
"ATL","JFK","764","8520","221","28"
"ATL","LAS","699","6632","183","26"
"ATL","LAX","2521","41466","950","37"
"ATL","LEX","1422","10756","251","17"
"ATL","LGA","5038","72964","1468","29"
"ATL","LIT","1059","9180","186","17"
"ATL","MCI","2640","19378","493","18"
"ATL","MCO","5878","40354","977","16"
"ATL","MEM","4120","37307","860","20"
"ATL","MGM","2124","15884","337","15"
"ATL","MIA","5715","54221","1242","21"
"ATL","MKE","1448","1857","156","10"
"ATL","MLB","1958","12647","293","14"
"ATL","MLU","356","3208","61","17"
"ATL","MOB","2580","20390","424","16"
"ATL","MSP","2073","17570","449","21"
"ATL","MSY","3393","29681","664","19"
"ATL","OKC","715","7276","138","19"
"ATL","OMA","719","3476","127","17"
"ATL","ONT","357","6242","154","43"
"ATL","ORD","8085","96549","2182","26"
"ATL","ORF","2386","9799","277","11"
"ATL","PBI","3039","20775","550","18"
"ATL","PDX","344","2923","91","26"
"ATL","PHL","5006","45949","1171","23"
"ATL","PHX","1144","14464","372","32"
"ATL","PIT","4334","29502","722","16"
"ATL","PNS","2911","20585","468","16"
"ATL","PVD","426","3417","79","18"
"ATL","RDU","4348","20951","538","12"
"ATL","RIC","2300","14700","379","16"
"ATL","ROC","793","5068","122","15"
"ATL","RSW","2946","23153","507","17"
"ATL","SAN","354","3839","100","28"
"ATL","SAT","1067","10515","268","25"
"ATL","SAV","3445","22577","488","14"
"ATL","SDF","2774","21084","463","16"
"ATL","SEA","1120","11079","310","27"
"ATL","SFO","1967","31059","752","38"
"ATL","SHV","360","3970","79","21"
"ATL","SJU","1557","12739","310","19"
"ATL","SLC","1776","26873","634","35"
"ATL","SRQ","2770","20056","452","16"
