"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","607","3973","108","17"
"ABE","CLT","364","855","34","9"
"ABE","DTW","621","-949","51","8"
"ABE","MCO","574","1254","65","11"
"ABE","MDT","485","1266","58","11"
"ABE","ORD","1157","9018","195","16"
"ABE","PIT","1454","909","134","9"
"ABI","DFW","2567","498","240","9"
"ABQ","AMA","682","5378","119","17"
"ABQ","ATL","853","3838","132","15"
"ABQ","BWI","365","-3103","35","9"
"ABQ","CVG","721","4835","117","16"
"ABQ","DAL","2375","9879","341","14"
"ABQ","DEN","2362","13238","332","14"
"ABQ","DFW","2505","2250","234","9"
"ABQ","ELP","1399","8096","202","14"
"ABQ","EWR","35","121","5","14"
"ABQ","HOU","727","3915","117","16"
"ABQ","IAH","1773","548","164","9"
"ABQ","LAS","2075","11406","305","14"
"ABQ","LAX","2469","5938","406","16"
"ABQ","LBB","671","1327","65","9"
"ABQ","MAF","365","2290","70","19"
"ABQ","MCI","1063","6141","164","15"
"ABQ","MCO","636","-2439","41","6"
"ABQ","MDW","172","-2932","3","1"
"ABQ","MSP","730","492","97","13"
"ABQ","OAK","697","4843","150","21"
"ABQ","ORD","624","3136","97","15"
"ABQ","PDX","275","-4108","6","2"
"ABQ","PHX","6801","34037","1033","15"
"ABQ","SAN","1424","3814","204","14"
"ABQ","SEA","365","-100","55","15"
"ABQ","SFO","16","-25","3","18"
"ABQ","SLC","702","2024","108","15"
"ABQ","STL","2221","8387","298","13"
"ABQ","TPA","365","2111","70","19"
"ABQ","TUS","780","5120","134","17"
"ACT","DFW","2686","2982","248","9"
"ACY","JFK","1","98","1","100"
"ADQ","ANC","720","6813","138","19"
"ADQ","BET","6","93","2","33"
"AKN","ANC","180","1479","35","19"
"AKN","DLG","104","1332","25","24"
"ALB","ATL","1042","4080","192","18"
"ALB","BDL","1","28","1","100"
"ALB","BOS","960","5899","196","20"
"ALB","BWI","2393","11284","322","13"
"ALB","CLT","605","2945","101","16"
"ALB","CVG","721","544","86","11"
"ALB","DCA","802","3280","102","12"
"ALB","DTW","1572","-1891","166","10"
"ALB","JFK","1385","9160","275","19"
"ALB","LAS","365","-3465","42","11"
"ALB","MCO","1000","-4010","82","8"
"ALB","ORD","2217","9280","370","16"
"ALB","PHL","1826","11231","355","19"
"ALB","PIT","1460","4007","214","14"
"AMA","ABQ","682","4899","107","15"
"AMA","DAL","2634","13372","317","12"
"AMA","DFW","2457","6717","303","12"
"AMA","LAS","365","-1050","8","2"
"ANC","ADQ","726","6602","144","19"
"ANC","AKN","284","3235","62","21"
"ANC","ATL","116","7","15","12"
"ANC","BET","1147","10896","203","17"
"ANC","CDV","363","4828","87","23"
"ANC","DEN","108","1048","23","21"
"ANC","DLG","160","1624","22","13"
"ANC","DTW","122","495","19","15"
"ANC","DUT","608","5372","125","20"
"ANC","EWR","84","1442","28","33"
"ANC","FAI","3842","27252","665","17"
"ANC","IAH","96","4137","62","64"
"ANC","JNU","1181","16863","303","25"
"ANC","LAX","335","898","49","14"
"ANC","MSP","1088","7243","216","19"
"ANC","OME","486","2959","72","14"
"ANC","ORD","544","3558","112","20"
"ANC","OTZ","766","9483","173","22"
"ANC","PDX","793","8311","213","26"
"ANC","PHX","96","317","10","10"
"ANC","SCC","373","3833","49","13"
"ANC","SEA","6669","65324","1736","26"
"ANC","SFO","181","1199","42","23"
"ANC","SLC","849","2589","117","13"
"ANC","STL","169","30","22","13"
"APF","MIA","364","2638","67","18"
"ATL","ABE","606","4515","105","17"
"ATL","ABQ","862","6279","190","22"
"ATL","ALB","1083","10897","283","26"
"ATL","ANC","116","1024","36","31"
"ATL","AUS","2088","5421","339","16"
"ATL","BDL","2128","14189","392","18"
"ATL","BHM","3047","20215","520","17"
"ATL","BNA","3116","19098","531","17"
"ATL","BOS","4944","47951","1136","22"
"ATL","BTR","1056","6997","188","17"
"ATL","BUF","1370","16337","373","27"
"ATL","BWI","4586","29739","834","18"
"ATL","CAE","2370","10363","318","13"
"ATL","CAK","166","-1609","5","3"
"ATL","CHS","3016","16542","488","16"
"ATL","CLE","2022","7646","319","15"
"ATL","CLT","5470","23142","836","15"
"ATL","CMH","2639","15469","443","16"
"ATL","COS","724","5961","167","23"
"ATL","CVG","3869","22731","640","16"
"ATL","DAB","1539","13777","331","21"
"ATL","DAY","1814","11732","340","18"
"ATL","DCA","5629","38790","976","17"
"ATL","DEN","4307","21556","803","18"
"ATL","DFW","8913","66553","1656","18"
"ATL","DTW","5744","34079","1080","18"
"ATL","EGE","102","965","19","18"
"ATL","ELP","414","1304","59","14"
"ATL","EWR","7812","55306","1517","19"
"ATL","FLL","3726","39799","952","25"
"ATL","GSO","3135","21477","588","18"
"ATL","GSP","1984","8223","276","13"
"ATL","HNL","90","399","19","21"
"ATL","HOU","1770","9418","292","16"
"ATL","HSV","2730","11727","410","15"
"ATL","IAD","5089","25917","879","17"
"ATL","IAH","4911","27349","944","19"
"ATL","IND","2156","10936","349","16"
"ATL","JAN","1796","13356","361","20"
"ATL","JAX","3874","30477","705","18"
"ATL","JFK","1030","16684","324","31"
"ATL","LAS","2113","11814","474","22"
"ATL","LAX","3581","22336","861","24"
"ATL","LEX","1086","5018","180","16"
"ATL","LGA","7369","71816","1755","23"
"ATL","LIT","1761","9677","316","17"
"ATL","MCI","2917","18500","553","18"
"ATL","MCO","5064","44542","1081","21"
"ATL","MDT","605","4803","112","18"
"ATL","MDW","357","145","41","11"
"ATL","MEM","4939","28026","811","16"
"ATL","MHT","608","2672","99","16"
"ATL","MIA","5835","49255","1238","21"
"ATL","MKE","1054","6249","203","19"
"ATL","MLB","1444","13643","303","20"
"ATL","MLU","357","1909","59","16"
"ATL","MOB","2546","16375","456","17"
"ATL","MSP","4223","14195","717","16"
"ATL","MSY","3519","23863","648","18"
"ATL","OAK","421","4921","147","34"
"ATL","OKC","1023","5871","190","18"
"ATL","OMA","724","562","106","14"
"ATL","ONT","547","2158","101","18"
"ATL","ORD","9364","88659","2177","23"
"ATL","ORF","2972","16153","486","16"
"ATL","PBI","2820","28744","617","21"
"ATL","PDX","728","3223","169","23"
"ATL","PHL","6532","67938","1581","24"
"ATL","PHX","3703","25320","843","22"
"ATL","PIT","3854","21021","642","16"
"ATL","PNS","2436","13320","448","18"
"ATL","PVD","1454","12121","318","21"
"ATL","PWM","725","4030","130","17"
"ATL","RDU","3481","21116","611","17"
"ATL","RIC","2810","12602","395","14"
"ATL","ROC","994","13645","292","29"
"ATL","RSW","2859","23589","609","21"
"ATL","SAN","1452","6342","351","24"
"ATL","SAT","2317","9762","435","18"
"ATL","SAV","3310","24564","635","19"
"ATL","SDF","2473","17278","476","19"
"ATL","SEA","1292","13064","389","30"
"ATL","SFO","2912","18142","685","23"
"ATL","SHV","1084","7130","203","18"
"ATL","SJC","1060","4899","249","23"
"ATL","SJU","1620","9844","296","18"
"ATL","SLC","3274","18811","711","21"
"ATL","SMF","751","3194","151","20"
"ATL","SNA","1086","7399","243","22"
"ATL","SRQ","2147","9523","351","16"
"ATL","STL","4852","17812","729","15"
"ATL","STT","533","1439","61","11"
"ATL","SYR","660","7867","160","24"
"ATL","TLH","1477","15955","334","22"
"ATL","TPA","4504","38929","893","19"
"ATL","TUL","1421","9443","290","20"
"ATL","TYS","2418","12239","405","16"
"ATL","VPS","360","2066","46","12"
"AUS","ATL","2100","3184","291","13"
"AUS","BNA","695","54","53","7"
"AUS","BOS","130","382","30","23"
"AUS","BWI","365","529","47","12"
"AUS","CVG","722","-233","69","9"
"AUS","DAL","4478","22017","545","12"
"AUS","DEN","1111","4343","122","10"
"AUS","DFW","5735","18858","557","9"
"AUS","ELP","1358","4911","155","11"
"AUS","EWR","780","2471","115","14"
"AUS","HOU","4458","19875","554","12"
"AUS","HRL","365","1330","39","10"
"AUS","IAD","365","346","53","14"
"AUS","IAH","3633","6642","333","9"
"AUS","LAS","867","-440","73","8"
"AUS","LAX","1227","265","143","11"
"AUS","LBB","686","2844","93","13"
"AUS","MAF","624","1476","66","10"
"AUS","MCO","364","2638","83","22"
"AUS","MEM","986","-1033","75","7"
"AUS","MFE","150","1562","41","27"
"AUS","MSP","966","-5425","60","6"
"AUS","ORD","2939","15003","529","17"
"AUS","PHX","3109","9188","339","10"
"AUS","RDU","561","-3666","34","6"
"AUS","SAN","573","-4947","28","4"
"AUS","SAT","151","726","12","7"
"AUS","SFO","267","988","39","14"
"AUS","SJC","1096","5191","177","16"
"AUS","SLC","365","1343","45","12"
"AUS","STL","1318","550","137","10"
"AUS","TPA","365","1781","62","16"
"AVL","CLT","1586","2680","141","8"
"AVP","PHL","365","-703","33","9"
"AVP","PIT","1081","1953","118","10"
"AZO","DTW","547","-135","51","9"
"AZO","MSP","345","-561","41","11"
"AZO","ORD","1755","9068","298","16"
"BDL","ATL","2127","10176","397","18"
"BDL","BNA","730","-4024","48","6"
"BDL","BOS","4","59","1","25"
"BDL","BWI","3921","26645","684","17"
"BDL","CLE","355","-149","51","14"
"BDL","CLT","1511","3872","207","13"
"BDL","CVG","1422","-2699","133","9"
"BDL","DCA","1011","905","91","9"
"BDL","DEN","266","297","39","14"
"BDL","DFW","1261","-1765","177","14"
"BDL","DTW","1600","615","195","12"
"BDL","EWR","187","2655","40","21"
"BDL","FLL","1165","3034","208","17"
"BDL","IAD","1119","5336","177","15"
"BDL","IAH","260","-427","29","11"
"BDL","JFK","1371","9614","271","19"
"BDL","LAS","262","-1300","39","14"
"BDL","LAX","256","-1235","46","17"
"BDL","LGA","1","55","1","100"
"BDL","MCO","2739","1752","449","16"
"BDL","MDW","693","-365","83","11"
"BDL","MIA","365","1474","67","18"
"BDL","MSP","1137","-1308","143","12"
"BDL","ORD","3876","25417","746","19"
"BDL","PBI","1149","3708","193","16"
"BDL","PHL","2088","16799","428","20"
"BDL","PHX","300","-782","45","15"
"BDL","PIT","1822","4063","251","13"
"BDL","RDU","183","-451","21","11"
"BDL","SFO","247","65","45","18"
"BDL","SJU","478","-74","54","11"
"BDL","STL","1448","1396","209","14"
"BDL","TPA","649","4676","175","26"
"BET","ANC","1153","9249","178","15"
"BFL","LAX","1669","11477","338","20"
"BGM","PIT","376","825","49","13"
"BGR","BOS","3332","32056","796","23"
"BGR","LGA","376","359","55","14"
"BHM","ATL","3045","10060","459","15"
"BHM","BNA","1001","2983","109","10"
"BHM","BTR","149","-438","18","12"
"BHM","BWI","1052","5877","150","14"
"BHM","CLT","1758","2249","152","8"
"BHM","CVG","691","-1849","41","5"
"BHM","DFW","1093","3442","131","11"
"BHM","DTW","594","-807","54","9"
"BHM","HOU","922","3103","126","13"
"BHM","IAH","639","431","70","10"
"BHM","JAN","535","1704","67","12"
"BHM","JAX","365","891","48","13"
"BHM","LAS","365","-616","36","9"
"BHM","MCO","365","110","38","10"
"BHM","MDW","705","5022","133","18"
"BHM","MEM","772","1752","77","9"
"BHM","MOB","240","1219","23","9"
"BHM","MSY","2350","12327","365","15"
"BHM","PHX","365","-1839","29","7"
"BHM","SDF","710","2678","83","11"
"BHM","STL","364","-423","20","5"
"BHM","TPA","697","6421","138","19"
"BIL","DEN","728","3588","92","12"
"BIL","FCA","118","-2312","6","5"
"BIL","GTF","118","-105","22","18"
"BIL","MSP","1131","-6593","67","5"
"BIL","SLC","1029","1532","95","9"
"BIS","MSP","1389","-4180","83","5"
"BMI","ORD","1434","6541","245","17"
"BNA","ATL","3107","10785","469","15"
"BNA","AUS","696","5571","154","22"
"BNA","BDL","720","318","77","10"
"BNA","BHM","1001","5735","143","14"
"BNA","BOS","1007","7558","215","21"
"BNA","BWI","3196","13623","406","12"
"BNA","CLE","1374","6570","195","14"
"BNA","CLT","1719","2516","164","9"
"BNA","CMH","641","1220","37","5"
"BNA","CVG","364","-255","37","10"
"BNA","DCA","487","421","40","8"
"BNA","DEN","377","1600","49","12"
"BNA","DFW","3519","2052","354","10"
"BNA","DTW","3331","10818","414","12"
"BNA","EWR","622","-780","86","13"
"BNA","FLL","366","2889","80","21"
"BNA","GUC","1","45","1","100"
"BNA","HOU","2347","9415","364","15"
"BNA","IAH","932","2389","86","9"
"BNA","ISP","981","538","82","8"
"BNA","JAX","1078","6908","160","14"
"BNA","LAS","1091","198","166","15"
"BNA","LAX","1457","-4960","172","11"
"BNA","LGA","1034","5250","202","19"
"BNA","MCI","1380","5841","194","14"
"BNA","MCO","2048","9170","270","13"
"BNA","MDW","2993","15119","437","14"
"BNA","MEM","756","-1710","51","6"
"BNA","MHT","720","1122","100","13"
"BNA","MIA","334","1381","37","11"
"BNA","MSP","1243","1056","149","11"
"BNA","MSY","1068","8155","207","19"
"BNA","OAK","364","33","58","15"
"BNA","ONT","365","-1420","46","12"
"BNA","ORD","1726","5917","263","15"
"BNA","PBI","686","203","64","9"
"BNA","PHL","1072","7698","202","18"
"BNA","PHX","1093","-532","138","12"
"BNA","PIT","1427","-55","126","8"
"BNA","PVD","684","1203","81","11"
"BNA","RDU","1774","8426","285","16"
"BNA","SAN","729","-889","101","13"
"BNA","SAT","365","3668","84","23"
"BNA","SDF","149","315","9","6"
"BNA","SEA","365","-2420","33","9"
"BNA","STL","2056","-438","203","9"
"BNA","TPA","1449","3919","169","11"
"BOI","DEN","1389","3820","164","11"
"BOI","GEG","1034","4319","117","11"
"BOI","LAS","728","2448","82","11"
"BOI","MSP","934","-562","121","12"
"BOI","OAK","365","2620","61","16"
"BOI","ORD","421","1080","59","14"
"BOI","PDX","1064","5238","138","12"
"BOI","PHX","698","2362","88","12"
"BOI","RNO","1033","1433","78","7"
"BOI","SEA","1037","6040","206","19"
"BOI","SFO","1256","6445","199","15"
"BOI","SLC","2117","12883","262","12"
"BOS","ALB","959","16682","305","31"
"BOS","ATL","4627","32515","1000","21"
"BOS","AUS","130","-2005","15","11"
"BOS","BGR","3331","48882","1089","32"
"BOS","BNA","1006","14571","333","33"
"BOS","BTV","1775","21229","505","28"
"BOS","BUF","87","298","13","14"
"BOS","BWI","3168","21299","652","20"
"BOS","CLE","1373","8415","234","17"
"BOS","CLT","2821","13873","548","19"
"BOS","CMH","1443","20600","454","31"
"BOS","CVG","2139","4066","307","14"
"BOS","DCA","8757","-18411","762","8"
"BOS","DEN","1930","8541","367","19"
"BOS","DFW","4587","16832","929","20"
"BOS","DTW","2714","2817","372","13"
"BOS","EWR","6799","61775","1334","19"
"BOS","FLL","2839","16598","618","21"
"BOS","HPN","2244","21220","515","22"
"BOS","IAD","3564","14720","491","13"
"BOS","IAH","2026","13897","438","21"
"BOS","ISP","2400","25603","620","25"
"BOS","JFK","4106","80837","1484","36"
"BOS","LAS","796","829","154","19"
