"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","1060","2783","180","16"
"ABE","AVP","238","559","29","12"
"ABE","BWI","1018","3140","110","10"
"ABE","DTW","1003","-2891","70","6"
"ABE","MDT","228","795","19","8"
"ABE","ORD","1029","7021","185","17"
"ABE","PIT","1434","4697","137","9"
"ABQ","AMA","961","7456","192","19"
"ABQ","DAL","1322","15424","341","25"
"ABQ","DEN","3370","27422","518","15"
"ABQ","DFW","3883","33638","734","18"
"ABQ","ELP","2330","13740","374","16"
"ABQ","HOU","613","4135","106","17"
"ABQ","IAH","780","4562","85","10"
"ABQ","LAS","2422","13339","379","15"
"ABQ","LAX","2702","11641","331","12"
"ABQ","LBB","689","5918","129","18"
"ABQ","MAF","394","2125","51","12"
"ABQ","ORD","1269","505","180","14"
"ABQ","PHX","6334","65935","1389","21"
"ABQ","PIT","716","4098","137","19"
"ABQ","SFO","955","14384","340","35"
"ABQ","SLC","1086","2052","60","5"
"ABQ","STL","1343","-660","136","10"
"ABQ","TUS","720","2495","85","11"
"ACY","PIT","760","1945","82","10"
"AGS","ATL","2068","14445","276","13"
"AGS","CAE","352","3050","64","18"
"AGS","CLT","716","3329","91","12"
"ALB","ATL","1759","13355","381","21"
"ALB","BTV","589","2013","66","11"
"ALB","BUF","606","1853","62","10"
"ALB","BWI","1402","15642","355","25"
"ALB","CLE","359","676","33","9"
"ALB","DCA","1018","4652","116","11"
"ALB","DTW","1323","-1275","151","11"
"ALB","ISP","50","274","8","16"
"ALB","ORD","2304","16446","465","20"
"ALB","PHL","1427","10280","274","19"
"ALB","PIT","1427","7254","223","15"
"ALB","PVD","1","67","1","100"
"ALB","PWM","355","5459","115","32"
"ALB","RDU","1043","-4162","91","8"
"ALB","ROC","47","455","7","14"
"AMA","ABQ","930","1572","99","10"
"AMA","DAL","2282","14049","289","12"
"AMA","DFW","2817","21357","464","16"
"AMA","LBB","360","2122","41","11"
"AMA","MAF","1","60","1","100"
"AMA","SLC","1","188","1","100"
"ANC","BET","585","6727","105","17"
"ANC","CDV","353","2920","45","12"
"ANC","DTW","93","-905","3","3"
"ANC","FAI","2892","38833","780","26"
"ANC","JNU","796","8605","160","20"
"ANC","MSP","211","60","30","14"
"ANC","OME","540","6465","112","20"
"ANC","ORD","253","1664","50","19"
"ANC","OTZ","433","3892","70","16"
"ANC","PDX","443","2670","73","16"
"ANC","SCC","528","7383","115","21"
"ANC","SEA","6481","54128","1488","22"
"ANC","SFO","172","2245","54","31"
"ANC","SLC","710","6642","167","23"
"ATL","ABE","702","5361","130","18"
"ATL","AGS","2398","20969","413","17"
"ATL","ALB","1731","11572","297","17"
"ATL","AUS","1071","9138","204","19"
"ATL","AVL","48","734","13","27"
"ATL","AVP","345","1713","49","14"
"ATL","BDL","2584","29870","656","25"
"ATL","BHM","5554","41341","822","14"
"ATL","BNA","5538","32149","765","13"
"ATL","BOS","5167","63120","1444","27"
"ATL","BTR","1066","10715","203","19"
"ATL","BUF","2438","25052","566","23"
"ATL","BWI","3350","29067","665","19"
"ATL","CAE","4111","42825","813","19"
"ATL","CAK","795","4634","104","13"
"ATL","CHA","2434","20257","401","16"
"ATL","CHS","4392","37041","818","18"
"ATL","CLE","3517","34579","739","21"
"ATL","CLT","5838","52678","1038","17"
"ATL","CMH","3508","25252","553","15"
"ATL","CSG","1033","9663","186","18"
"ATL","CVG","2505","26152","535","21"
"ATL","DAB","3080","38856","687","22"
"ATL","DAY","1428","9548","256","17"
"ATL","DCA","6130","47285","1176","19"
"ATL","DEN","3209","30607","799","24"
"ATL","DFW","6378","74216","1647","25"
"ATL","DTW","5545","56438","1252","22"
"ATL","EWR","5808","71346","1506","25"
"ATL","FLL","4847","49136","1051","21"
"ATL","FWA","352","1849","35","9"
"ATL","GNV","1585","12433","235","14"
"ATL","GSO","3371","24939","581","17"
"ATL","GSP","4385","32436","716","16"
"ATL","GUC","1","41","1","100"
"ATL","HNL","257","4064","90","35"
"ATL","HOU","1807","17599","388","21"
"ATL","HSV","2609","21841","405","15"
"ATL","IAD","2865","24107","522","18"
"ATL","IAH","3511","33351","786","22"
"ATL","IND","2807","24507","495","17"
"ATL","ISP","338","2364","60","17"
"ATL","JAN","1789","17603","307","17"
"ATL","JAX","6336","69547","1345","21"
"ATL","JFK","694","11992","228","32"
"ATL","LAS","704","8996","211","29"
"ATL","LAX","3513","25471","851","24"
"ATL","LEX","1430","19165","397","27"
"ATL","LGA","6257","91631","1844","29"
"ATL","LIT","1065","10792","205","19"
"ATL","MCI","3482","27271","646","18"
"ATL","MCO","7009","64793","1414","20"
"ATL","MDT","223","3793","81","36"
