"flightmonth","dayfrom","dayto","number_of_delays","flightdate"
"april",16,17,"1527","2002-04-17"
"april",17,18,"2968","2002-04-18"
"april",18,19,"3111","2002-04-19"
"april",19,20,"1390","2002-04-20"
"april",20,21,"2784","2002-04-21"
"april",21,22,"1389","2002-04-22"
"april",22,23,"852","2002-04-23"
"april",23,24,"2457","2002-04-24"
"april",24,25,"2918","2002-04-25"
"april",25,26,"2113","2002-04-26"
"april",26,27,"1829","2002-04-27"
"april",27,28,"3815","2002-04-28"
"april",28,29,"1773","2002-04-29"
"april",29,30,"2184","2002-04-30"
"may",0,1,"2193","2002-05-01"
"may",1,2,"4248","2002-05-02"
"may",2,3,"3953","2002-05-03"
"may",3,4,"1338","2002-05-04"
"may",4,5,"1752","2002-05-05"
"may",5,6,"2042","2002-05-06"
"may",6,7,"2203","2002-05-07"
"may",7,8,"2074","2002-05-08"
"may",8,9,"3552","2002-05-09"
"may",9,10,"2551","2002-05-10"
"may",10,11,"1386","2002-05-11"
"may",11,12,"3807","2002-05-12"
"may",12,13,"3404","2002-05-13"
"may",13,14,"1267","2002-05-14"
"may",14,15,"1489","2002-05-15"
"may",15,16,"2062","2002-05-16"
"may",16,17,"4618","2002-05-17"
"may",17,18,"1537","2002-05-18"
"may",18,19,"2411","2002-05-19"
"may",19,20,"1693","2002-05-20"
"may",20,21,"1063","2002-05-21"
"may",21,22,"1122","2002-05-22"
"may",22,23,"1691","2002-05-23"
"may",23,24,"1788","2002-05-24"
"may",24,25,"982","2002-05-25"
"may",25,26,"734","2002-05-26"
"may",26,27,"2454","2002-05-27"
"may",27,28,"2540","2002-05-28"
"may",28,29,"1785","2002-05-29"
"may",29,30,"2489","2002-05-30"
"may",30,31,"2619","2002-05-31"
"june",0,1,"1476","2002-06-01"
"june",1,2,"1808","2002-06-02"
"june",2,3,"2634","2002-06-03"
"june",3,4,"3384","2002-06-04"
"june",4,5,"3312","2002-06-05"
"june",5,6,"3171","2002-06-06"
"june",6,7,"2253","2002-06-07"
"june",7,8,"989","2002-06-08"
"june",8,9,"2075","2002-06-09"
"june",9,10,"2401","2002-06-10"
"june",10,11,"2552","2002-06-11"
"june",11,12,"2041","2002-06-12"
"june",12,13,"3229","2002-06-13"
"june",13,14,"4188","2002-06-14"
"june",14,15,"1948","2002-06-15"
"june",15,16,"1947","2002-06-16"
"june",16,17,"2434","2002-06-17"
"june",17,18,"1695","2002-06-18"
"june",18,19,"2879","2002-06-19"
"june",19,20,"2488","2002-06-20"
"june",20,21,"3872","2002-06-21"
"june",21,22,"1780","2002-06-22"
"june",22,23,"2633","2002-06-23"
"june",23,24,"3296","2002-06-24"
"june",24,25,"4127","2002-06-25"
"june",25,26,"5331","2002-06-26"
"june",26,27,"4846","2002-06-27"
"june",27,28,"3743","2002-06-28"
"june",28,29,"2109","2002-06-29"
"june",29,30,"2410","2002-06-30"
"july",0,1,"2358","2002-07-01"
"july",1,2,"3434","2002-07-02"
"july",2,3,"3918","2002-07-03"
"july",3,4,"901","2002-07-04"
"july",4,5,"775","2002-07-05"
"july",5,6,"1376","2002-07-06"
"july",6,7,"2314","2002-07-07"
"july",7,8,"3058","2002-07-08"
"july",8,9,"3514","2002-07-09"
"july",9,10,"4269","2002-07-10"
"july",10,11,"2689","2002-07-11"
"july",11,12,"3120","2002-07-12"
"july",12,13,"1947","2002-07-13"
"july",13,14,"2647","2002-07-14"
"july",14,15,"2715","2002-07-15"
"july",15,16,"1689","2002-07-16"
"july",16,17,"2136","2002-07-17"
"july",17,18,"3534","2002-07-18"
"july",18,19,"3572","2002-07-19"
"july",19,20,"1922","2002-07-20"
"july",20,21,"2744","2002-07-21"
"july",21,22,"3464","2002-07-22"
"july",22,23,"2788","2002-07-23"
"july",23,24,"2649","2002-07-24"
"july",24,25,"2516","2002-07-25"
"july",25,26,"4371","2002-07-26"
"july",26,27,"2147","2002-07-27"
"july",27,28,"3846","2002-07-28"
"july",28,29,"3435","2002-07-29"
"july",29,30,"1821","2002-07-30"
"july",30,31,"1607","2002-07-31"
"august",0,1,"2196","2002-08-01"
"august",1,2,"3086","2002-08-02"
"august",2,3,"2389","2002-08-03"
"august",3,4,"2280","2002-08-04"
"august",4,5,"2926","2002-08-05"
"august",5,6,"1435","2002-08-06"
"august",6,7,"1416","2002-08-07"
"august",7,8,"1453","2002-08-08"
"august",8,9,"1416","2002-08-09"
"august",9,10,"2289","2002-08-10"
"august",10,11,"1815","2002-08-11"
"august",11,12,"2624","2002-08-12"
"august",12,13,"3410","2002-08-13"
"august",13,14,"2810","2002-08-14"
"august",14,15,"3509","2002-08-15"
"august",15,16,"4538","2002-08-16"
"august",16,17,"1696","2002-08-17"
"august",17,18,"2652","2002-08-18"
"august",18,19,"4115","2002-08-19"
"august",19,20,"1553","2002-08-20"
"august",20,21,"1632","2002-08-21"
"august",21,22,"2934","2002-08-22"
"august",22,23,"3258","2002-08-23"
"august",23,24,"1716","2002-08-24"
"august",24,25,"1471","2002-08-25"
"august",25,26,"1858","2002-08-26"
"august",26,27,"1701","2002-08-27"
"august",27,28,"1527","2002-08-28"
"august",28,29,"2611","2002-08-29"
"august",29,30,"2101","2002-08-30"
"august",30,31,"675","2002-08-31"
"september",0,1,"853","2002-09-01"
"september",1,2,"2384","2002-09-02"
"september",2,3,"1375","2002-09-03"
"september",3,4,"841","2002-09-04"
"september",4,5,"1099","2002-09-05"
"september",5,6,"1399","2002-09-06"
"september",6,7,"806","2002-09-07"
"september",7,8,"1470","2002-09-08"
"september",8,9,"904","2002-09-09"
"september",9,10,"1288","2002-09-10"
"september",10,11,"878","2002-09-11"
"september",11,12,"1059","2002-09-12"
"september",12,13,"1670","2002-09-13"
"september",13,14,"1166","2002-09-14"
"september",14,15,"2059","2002-09-15"
"september",15,16,"1057","2002-09-16"
"september",16,17,"1357","2002-09-17"
"september",17,18,"1514","2002-09-18"
"september",18,19,"4697","2002-09-19"
"september",19,20,"2816","2002-09-20"
"september",20,21,"824","2002-09-21"
"september",21,22,"1330","2002-09-22"
"september",22,23,"1104","2002-09-23"
"september",23,24,"1357","2002-09-24"
"september",24,25,"1665","2002-09-25"
"september",25,26,"2103","2002-09-26"
"september",26,27,"2874","2002-09-27"
"september",27,28,"720","2002-09-28"
"september",28,29,"1455","2002-09-29"
"september",29,30,"901","2002-09-30"
"october",0,1,"1018","2002-10-01"
"october",1,2,"1633","2002-10-02"
"october",2,3,"1462","2002-10-03"
"october",3,4,"3487","2002-10-04"
"october",4,5,"904","2002-10-05"
"october",5,6,"1952","2002-10-06"
"october",6,7,"1412","2002-10-07"
"october",7,8,"1561","2002-10-08"
"october",8,9,"1569","2002-10-09"
"october",9,10,"2324","2002-10-10"
"october",10,11,"3679","2002-10-11"
"october",11,12,"974","2002-10-12"
"october",12,13,"1706","2002-10-13"
"october",13,14,"1461","2002-10-14"
"october",14,15,"2209","2002-10-15"
"october",15,16,"2130","2002-10-16"
"october",16,17,"1741","2002-10-17"
"october",17,18,"3206","2002-10-18"
"october",18,19,"1252","2002-10-19"
"october",19,20,"1619","2002-10-20"
"october",20,21,"2092","2002-10-21"
"october",21,22,"1793","2002-10-22"
"october",22,23,"2465","2002-10-23"
"october",23,24,"3177","2002-10-24"
"october",24,25,"3104","2002-10-25"
"october",25,26,"1700","2002-10-26"
"october",26,27,"2210","2002-10-27"
"october",27,28,"2789","2002-10-28"
"october",28,29,"2195","2002-10-29"
"october",29,30,"1707","2002-10-30"
"october",30,31,"1379","2002-10-31"
"november",0,1,"1936","2002-11-01"
"november",1,2,"1046","2002-11-02"
"november",2,3,"2205","2002-11-03"
"november",3,4,"1703","2002-11-04"
"november",4,5,"2601","2002-11-05"
"november",5,6,"1709","2002-11-06"
"november",6,7,"1820","2002-11-07"
"november",7,8,"3077","2002-11-08"
"november",8,9,"1316","2002-11-09"
"november",9,10,"3348","2002-11-10"
"november",10,11,"2735","2002-11-11"
"november",11,12,"1857","2002-11-12"
"november",12,13,"1071","2002-11-13"
"november",13,14,"1154","2002-11-14"
"november",14,15,"1641","2002-11-15"
"november",15,16,"1764","2002-11-16"
"november",16,17,"2334","2002-11-17"
"november",17,18,"1333","2002-11-18"
"november",18,19,"887","2002-11-19"
"november",19,20,"1243","2002-11-20"
"november",20,21,"2377","2002-11-21"
"november",21,22,"2320","2002-11-22"
"november",22,23,"1023","2002-11-23"
"november",23,24,"1280","2002-11-24"
"november",24,25,"1030","2002-11-25"
"november",25,26,"3401","2002-11-26"
"november",26,27,"2452","2002-11-27"
"november",27,28,"590","2002-11-28"
"november",28,29,"656","2002-11-29"
"november",29,30,"2002","2002-11-30"
"december",0,1,"2112","2002-12-01"
"december",1,2,"3943","2002-12-02"
"december",2,3,"4323","2002-12-03"
"december",3,4,"3050","2002-12-04"
"december",4,5,"3619","2002-12-05"
"december",5,6,"2859","2002-12-06"
"december",6,7,"846","2002-12-07"
"december",7,8,"1318","2002-12-08"
"december",8,9,"1369","2002-12-09"
"december",9,10,"1713","2002-12-10"
"december",10,11,"2709","2002-12-11"
"december",11,12,"2359","2002-12-12"
"december",12,13,"3205","2002-12-13"
"december",13,14,"1558","2002-12-14"
"december",14,15,"1173","2002-12-15"
"december",15,16,"1903","2002-12-16"
"december",16,17,"1950","2002-12-17"
"december",17,18,"3571","2002-12-18"
"december",18,19,"3994","2002-12-19"
"december",19,20,"5104","2002-12-20"
"december",20,21,"2118","2002-12-21"
"december",21,22,"1828","2002-12-22"
"december",22,23,"3715","2002-12-23"
"december",23,24,"1974","2002-12-24"
"december",24,25,"2356","2002-12-25"
"december",25,26,"3661","2002-12-26"
"december",26,27,"2466","2002-12-27"
"december",27,28,"1933","2002-12-28"
"december",28,29,"1741","2002-12-29"
"december",29,30,"4137","2002-12-30"
"december",30,31,"1612","2002-12-31"
