"flightmonth","dayfrom","dayto","number_of_delays","flightdate"
"january",0,1,"1878","2002-01-01"
"january",1,2,"4101","2002-01-02"
"january",2,3,"4184","2002-01-03"
"january",3,4,"2666","2002-01-04"
"january",4,5,"2114","2002-01-05"
"january",5,6,"4298","2002-01-06"
"january",6,7,"2904","2002-01-07"
"january",7,8,"1339","2002-01-08"
"january",8,9,"1282","2002-01-09"
"january",9,10,"1351","2002-01-10"
"january",10,11,"1277","2002-01-11"
"january",11,12,"876","2002-01-12"
"january",12,13,"1573","2002-01-13"
"january",13,14,"1416","2002-01-14"
"january",14,15,"1509","2002-01-15"
"january",15,16,"2594","2002-01-16"
"january",16,17,"2575","2002-01-17"
"january",17,18,"3310","2002-01-18"
"january",18,19,"2995","2002-01-19"
"january",19,20,"1551","2002-01-20"
"january",20,21,"2403","2002-01-21"
"january",21,22,"1509","2002-01-22"
"january",22,23,"2840","2002-01-23"
"january",23,24,"3460","2002-01-24"
"january",24,25,"1195","2002-01-25"
"january",25,26,"742","2002-01-26"
"january",26,27,"1465","2002-01-27"
"january",27,28,"1946","2002-01-28"
"january",28,29,"1971","2002-01-29"
"january",29,30,"3291","2002-01-30"
"january",30,31,"4331","2002-01-31"
"february",0,1,"3627","2002-02-01"
"february",1,2,"1151","2002-02-02"
"february",2,3,"1330","2002-02-03"
"february",3,4,"2289","2002-02-04"
"february",4,5,"1749","2002-02-05"
"february",5,6,"1709","2002-02-06"
"february",6,7,"2464","2002-02-07"
"february",7,8,"1599","2002-02-08"
"february",8,9,"958","2002-02-09"
"february",9,10,"2698","2002-02-10"
"february",10,11,"1483","2002-02-11"
"february",11,12,"1074","2002-02-12"
"february",12,13,"1170","2002-02-13"
"february",13,14,"1384","2002-02-14"
"february",14,15,"1924","2002-02-15"
"february",15,16,"1372","2002-02-16"
"february",16,17,"1205","2002-02-17"
"february",17,18,"1434","2002-02-18"
"february",18,19,"3617","2002-02-19"
"february",19,20,"2524","2002-02-20"
"february",20,21,"2762","2002-02-21"
"february",21,22,"2079","2002-02-22"
"february",22,23,"1440","2002-02-23"
"february",23,24,"1495","2002-02-24"
"february",24,25,"1929","2002-02-25"
"february",25,26,"2396","2002-02-26"
"february",26,27,"1921","2002-02-27"
"february",27,28,"2191","2002-02-28"
"march",0,1,"2997","2002-03-01"
"march",1,2,"4226","2002-03-02"
"march",2,3,"4318","2002-03-03"
"march",3,4,"2387","2002-03-04"
"march",4,5,"1579","2002-03-05"
"march",5,6,"1478","2002-03-06"
"march",6,7,"2242","2002-03-07"
"march",7,8,"3240","2002-03-08"
"march",8,9,"3962","2002-03-09"
"march",9,10,"3145","2002-03-10"
"march",10,11,"1479","2002-03-11"
"march",11,12,"2140","2002-03-12"
"march",12,13,"2690","2002-03-13"
"march",13,14,"2163","2002-03-14"
"march",14,15,"2758","2002-03-15"
"march",15,16,"2288","2002-03-16"
"march",16,17,"4076","2002-03-17"
"march",17,18,"4232","2002-03-18"
"march",18,19,"2602","2002-03-19"
"march",19,20,"3475","2002-03-20"
"march",20,21,"3022","2002-03-21"
"march",21,22,"3242","2002-03-22"
"march",22,23,"1878","2002-03-23"
"march",23,24,"2423","2002-03-24"
"march",24,25,"2935","2002-03-25"
"march",25,26,"3473","2002-03-26"
"march",26,27,"1722","2002-03-27"
"march",27,28,"1816","2002-03-28"
"march",28,29,"1915","2002-03-29"
"march",29,30,"2509","2002-03-30"
"march",30,31,"2170","2002-03-31"
"april",0,1,"3053","2002-04-01"
"april",1,2,"3395","2002-04-02"
"april",2,3,"1971","2002-04-03"
"april",3,4,"1287","2002-04-04"
"april",4,5,"1631","2002-04-05"
"april",5,6,"1672","2002-04-06"
"april",6,7,"3248","2002-04-07"
"april",7,8,"4011","2002-04-08"
"april",8,9,"1897","2002-04-09"
"april",9,10,"1349","2002-04-10"
"april",10,11,"1886","2002-04-11"
"april",11,12,"3296","2002-04-12"
"april",12,13,"1746","2002-04-13"
"april",13,14,"2314","2002-04-14"
"april",14,15,"1754","2002-04-15"
"april",15,16,"1694","2002-04-16"
