"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","364","3363","85","23"
"ABE","CLE","788","-1367","72","9"
"ABE","CLT","249","2876","84","33"
"ABE","DTW","707","1465","73","10"
"ABE","IAD","1459","662","179","12"
"ABE","ORD","496","2928","114","22"
"ABI","DFW","2211","-6163","175","7"
"ABI","IAH","317","-652","36","11"
"ABQ","AMA","691","4713","105","15"
"ABQ","ATL","878","-3311","65","7"
"ABQ","BWI","365","-1599","39","10"
"ABQ","CVG","726","483","75","10"
"ABQ","DAL","2049","517","174","8"
"ABQ","DEN","2155","-3871","137","6"
"ABQ","DFW","3350","980","321","9"
"ABQ","ELP","1286","5241","144","11"
"ABQ","HOU","729","870","71","9"
"ABQ","IAH","1743","-4707","122","6"
"ABQ","LAS","2020","2903","231","11"
"ABQ","LAX","2353","-6998","192","8"
"ABQ","LBB","695","2195","60","8"
"ABQ","MAF","365","1048","33","9"
"ABQ","MCI","1054","1671","136","12"
"ABQ","MCO","728","-3809","58","7"
"ABQ","MDW","366","-1237","20","5"
"ABQ","MSP","746","113","86","11"
"ABQ","OAK","726","-1329","52","7"
"ABQ","ORD","727","3875","119","16"
"ABQ","PDX","365","-2284","17","4"
"ABQ","PHX","6030","5540","593","9"
"ABQ","SAN","1450","-3028","133","9"
"ABQ","SEA","365","-2523","24","6"
"ABQ","SLC","2336","9499","269","11"
"ABQ","STL","1319","565","141","10"
"ABQ","TPA","365","-852","36","9"
"ABQ","TUS","722","2410","84","11"
"ABY","ATL","1448","6663","249","17"
"ACK","EWR","193","1529","41","21"
"ACT","DFW","2227","-10339","107","4"
"ACT","IAH","509","-852","52","10"
"ACV","CEC","672","-2311","40","5"
"ACV","SFO","2688","25378","538","20"
"ACV","SMF","667","-2791","22","3"
"ACY","BOS","132","-1837","12","9"
"ADK","AKN","73","668","19","26"
"ADQ","ANC","726","5509","140","19"
"AEX","ABI","1","70","1","100"
"AEX","ATL","487","2597","109","22"
"AEX","AUS","1","40","1","100"
"AEX","DFW","881","-2443","90","10"
"AEX","GTR","427","-763","54","12"
"AEX","IAH","1456","1639","164","11"
"AGS","ATL","3150","19821","622","19"
"AGS","CHA","1","23","1","100"
"AGS","CLT","10","292","3","30"
"AGS","EWR","587","14660","223","37"
"AGS","IAH","571","-2803","76","13"
"AKN","ADK","73","933","22","30"
"AKN","ANC","190","1266","29","15"
"AKN","DLG","84","-278","9","10"
"ALB","ATL","1071","9945","236","22"
"ALB","BWI","2378","12554","303","12"
"ALB","CLE","1165","10236","284","24"
"ALB","CLT","520","3921","127","24"
"ALB","CVG","776","3935","124","15"
"ALB","DTW","1443","1043","180","12"
"ALB","EWR","1065","10011","211","19"
"ALB","IAD","1391","9414","312","22"
