"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","723","5903","158","21"
"ABE","CLT","730","1917","91","12"
"ABE","CVG","481","496","49","10"
"ABE","DCA","171","173","10","5"
"ABE","DTW","1044","4016","142","13"
"ABE","MDT","1169","487","123","10"
"ABE","ORD","1439","8236","234","16"
"ABE","PIT","1440","2109","130","9"
"ABQ","AMA","728","4105","104","14"
"ABQ","ATL","393","1523","58","14"
"ABQ","COS","238","1175","22","9"
"ABQ","CVG","361","-182","40","11"
"ABQ","DAL","2265","6608","216","9"
"ABQ","DEN","2988","13845","313","10"
"ABQ","DFW","4080","26278","595","14"
"ABQ","ELP","1765","7718","209","11"
"ABQ","HOU","89","124","6","6"
"ABQ","IAH","1814","5955","176","9"
"ABQ","LAS","2306","13255","297","12"
"ABQ","LAX","2512","29041","629","25"
"ABQ","LBB","722","1863","57","7"
"ABQ","MAF","365","4756","92","25"
"ABQ","MCI","727","6666","172","23"
"ABQ","MSP","758","1535","90","11"
"ABQ","ORD","1106","6534","178","16"
"ABQ","PHX","7293","40840","981","13"
"ABQ","PIT","694","3024","131","18"
"ABQ","SAN","1092","9706","195","17"
"ABQ","SFO","727","8833","221","30"
"ABQ","SLC","1209","7039","176","14"
"ABQ","STL","2311","23500","564","24"
"ABQ","TUS","327","689","58","17"
"ACK","EWR","20","666","9","45"
"ACK","LGA","20","333","4","20"
"ADQ","ANC","504","5104","112","22"
"AGS","ATL","2035","17163","365","17"
"AGS","CLT","84","332","7","8"
"AGS","SAV","268","140","40","14"
"AKN","ANC","304","2988","59","19"
"AKN","DLG","171","1434","32","18"
"ALB","ATL","1089","10579","257","23"
"ALB","BUF","432","1028","32","7"
"ALB","BWI","365","323","25","6"
"ALB","CLT","729","1455","92","12"
"ALB","CVG","749","848","81","10"
"ALB","DCA","1089","3223","121","11"
"ALB","DTW","1361","2486","163","11"
"ALB","MCO","7","203","4","57"
"ALB","ORD","2501","11816","388","15"
"ALB","PHL","1399","3272","142","10"
"ALB","PIT","1458","7774","233","15"
"ALB","PVD","212","1121","24","11"
"ALB","PWM","515","8133","163","31"
"ALB","RDU","91","-716","5","5"
"AMA","ABQ","734","4527","119","16"
"AMA","DAL","2467","13934","323","13"
"AMA","DFW","1092","4895","125","11"
"ANC","ADQ","504","3889","90","17"
"ANC","AKN","475","5530","97","20"
"ANC","ANI","133","1448","28","21"
"ANC","BET","981","8851","163","16"
"ANC","BRW","93","1665","37","39"
"ANC","CDV","363","4726","74","20"
"ANC","DEN","97","355","20","20"
"ANC","DLG","196","1798","40","20"
"ANC","DTW","106","-328","14","13"
"ANC","DUT","379","2210","71","18"
"ANC","FAI","3625","32395","745","20"
"ANC","JNU","910","8942","186","20"
"ANC","LAX","250","-2491","16","6"
"ANC","MSP","405","1322","68","16"
"ANC","OME","529","4935","88","16"
"ANC","ORD","194","2506","62","31"
"ANC","OTZ","750","7246","156","20"
"ANC","PDX","225","2690","72","32"
"ANC","SCC","274","3598","58","21"
"ANC","SEA","7481","55429","1688","22"
"ANC","SFO","98","-321","10","10"
"ANC","SLC","972","7304","261","26"
"ANI","KSM","133","1452","26","19"
"ATL","ABE","725","5503","148","20"
"ATL","ABQ","394","5933","136","34"
"ATL","AGS","2303","13125","421","18"
"ATL","ALB","1089","14951","344","31"
"ATL","AUS","1112","10828","315","28"
"ATL","AVL","995","6489","193","19"
"ATL","AVP","724","6489","156","21"
"ATL","BDL","1482","17163","440","29"
"ATL","BHM","3542","30553","751","21"
"ATL","BNA","3049","23698","602","19"
"ATL","BOS","2937","54564","1079","36"
"ATL","BTR","1087","13872","335","30"
"ATL","BUF","1089","10175","279","25"
"ATL","BWI","3829","37514","976","25"
"ATL","CAE","3257","40287","898","27"
"ATL","CHA","2316","13624","405","17"
"ATL","CHS","3976","38331","914","22"
"ATL","CLE","3133","19336","491","15"
"ATL","CLT","4882","40384","969","19"
"ATL","CMH","1850","22429","531","28"
"ATL","CSG","971","2887","118","12"
"ATL","CVG","3131","31168","765","24"
"ATL","DAB","2538","21155","542","21"
"ATL","DAY","1483","13699","316","21"
"ATL","DCA","3957","46374","1208","30"
"ATL","DEN","3302","29752","797","24"
"ATL","DFW","8658","97605","2500","28"
"ATL","DTW","4854","40741","1104","22"
"ATL","ELP","29","-262","1","3"
"ATL","EWR","7104","70112","1690","23"
"ATL","FLL","3031","57424","1209","39"
"ATL","FWA","365","3729","97","26"
"ATL","GNV","1475","14840","314","21"
"ATL","GSO","3747","31238","758","20"
"ATL","GSP","2554","23255","589","23"
"ATL","GUC","81","791","28","34"
"ATL","HNL","262","3866","106","40"
"ATL","HOU","1633","6262","274","16"
"ATL","HSV","2492","21484","540","21"
"ATL","IAD","1937","11396","463","23"
"ATL","IAH","4959","41928","1118","22"
"ATL","ICT","723","5952","170","23"
"ATL","IND","1458","11241","286","19"
"ATL","JAN","1786","17468","388","21"
"ATL","JAX","2900","31656","737","25"
"ATL","JFK","2213","10290","397","17"
"ATL","LAS","976","18213","405","41"
"ATL","LAX","2625","54792","1234","47"
"ATL","LEX","1449","15575","365","25"
"ATL","LGA","5376","22595","1036","19"
"ATL","LIT","1445","14522","328","22"
"ATL","MCI","2210","21269","577","26"
"ATL","MCO","4146","59421","1279","30"
"ATL","MDT","724","6408","150","20"
"ATL","MEM","4917","24843","808","16"
"ATL","MGM","2164","16155","422","19"
"ATL","MIA","5225","73400","1608","30"
"ATL","MKE","1085","7519","225","20"
"ATL","MLB","1477","9742","277","18"
"ATL","MLU","365","3832","103","28"
"ATL","MOB","1893","21606","522","27"
"ATL","MSP","3174","22415","725","22"
"ATL","MSY","2903","41044","929","32"
"ATL","OKC","967","8871","228","23"
"ATL","OMA","969","7999","240","24"
"ATL","ONT","365","6106","145","39"
"ATL","ORD","8838","116084","2571","29"
"ATL","ORF","1810","13405","345","19"
"ATL","PBI","2910","35935","859","29"
"ATL","PDX","487","7069","169","34"
"ATL","PFN","1321","6380","207","15"
"ATL","PHL","4160","35329","926","22"
"ATL","PHX","2334","33507","914","39"
"ATL","PIT","3987","33576","900","22"
"ATL","PNS","2159","20010","474","21"
"ATL","PVD","1102","10117","220","19"
"ATL","RDU","3498","31475","645","18"
"ATL","RIC","1723","16324","409","23"
"ATL","ROC","730","10478","249","34"
"ATL","RSW","2247","27061","629","27"
"ATL","SAN","1084","17095","459","42"
"ATL","SAT","1809","12670","400","22"
"ATL","SAV","2789","29500","765","27"
"ATL","SDF","2212","29534","648","29"
"ATL","SEA","730","16144","346","47"
"ATL","SFO","2178","36325","867","39"
"ATL","SHV","756","4753","147","19"
"ATL","SJU","1811","32161","644","35"
"ATL","SLC","2762","45685","1146","41"
"ATL","SNA","30","890","15","50"
"ATL","SRQ","1820","16033","348","19"
"ATL","STL","4942","58364","1398","28"
"ATL","STT","756","5674","159","21"
"ATL","SWF","726","8293","208","28"
"ATL","SYR","725","6438","155","21"
"ATL","TLH","2532","14995","453","17"
"ATL","TOL","727","5998","156","21"
