"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ALB","2","46","1","50"
"ABE","ATL","359","144","41","11"
"ABE","BWI","472","2379","55","11"
"ABE","CLT","159","-79","17","10"
"ABE","DTW","967","-3035","46","4"
"ABE","MDT","993","-446","62","6"
"ABE","ORD","1784","7191","229","12"
"ABE","PIT","1441","3146","116","8"
"ABQ","AMA","775","5679","153","19"
"ABQ","DAL","1603","9724","288","17"
"ABQ","DEN","3371","12896","408","12"
"ABQ","DFW","3829","23070","599","15"
"ABQ","ELP","2039","13069","347","17"
"ABQ","HOU","634","3875","97","15"
"ABQ","IAH","954","4076","92","9"
"ABQ","LAS","2443","16917","428","17"
"ABQ","LAX","1891","14848","384","20"
"ABQ","LBB","694","3770","93","13"
"ABQ","MAF","408","230","23","5"
"ABQ","ORD","941","-2964","119","12"
"ABQ","PHX","6300","31327","887","14"
"ABQ","PIT","718","4450","143","19"
"ABQ","SFO","980","9977","265","27"
"ABQ","SLC","1079","249","44","4"
"ABQ","STL","1377","1988","189","13"
"ABQ","TUS","298","274","29","9"
"ACY","PIT","934","2486","61","6"
"AGS","ATL","2066","12633","267","12"
"AGS","CAE","357","2664","70","19"
"AGS","CLT","967","-43","56","5"
"ALB","ATL","713","6078","189","26"
"ALB","BTV","233","-595","13","5"
"ALB","BUF","562","1229","32","5"
"ALB","BWI","1183","6608","162","13"
"ALB","CLE","121","257","12","9"
"ALB","CVG","31","-233","3","9"
"ALB","DCA","1023","2499","86","8"
"ALB","DTW","1324","-5381","107","8"
"ALB","ORD","2870","13448","478","16"
"ALB","PHL","1418","7468","206","14"
"ALB","PIT","1439","8063","245","17"
"ALB","PWM","372","4524","103","27"
"ALB","RDU","1071","-4789","60","5"
"ALB","ROC","1","28","1","100"
"AMA","ABQ","769","4414","112","14"
"AMA","DAL","2245","11369","254","11"
"AMA","DFW","2519","8821","265","10"
"AMA","LBB","357","812","24","6"
"ANC","BET","589","3470","76","12"
"ANC","CDV","366","4318","70","19"
"ANC","DTW","91","-196","8","8"
"ANC","FAI","3059","26665","670","21"
"ANC","JNU","839","5055","117","13"
"ANC","LAX","97","6092","80","82"
"ANC","MSP","213","-7","30","14"
"ANC","OME","550","3766","80","14"
"ANC","ORD","201","623","35","17"
"ANC","OTZ","460","2529","51","11"
"ANC","PDX","444","3420","108","24"
"ANC","SCC","654","5897","112","17"
"ANC","SEA","6784","20265","1054","15"
"ANC","SFO","85","390","12","14"
"ANC","SLC","703","8569","223","31"
"ATL","ABE","369","3818","97","26"
"ATL","AGS","2418","20404","423","17"
"ATL","ALB","717","6971","172","23"
"ATL","AUS","1073","7963","240","22"
"ATL","AVL","1046","4358","111","10"
"ATL","BDL","1410","14187","340","24"
"ATL","BHM","3548","23656","558","15"
"ATL","BNA","3264","13512","327","10"
"ATL","BOS","3111","35791","869","27"
"ATL","BTR","1069","8726","205","19"
"ATL","BUF","1074","7773","221","20"
"ATL","BWI","2093","20657","481","22"
"ATL","CAE","2702","24370","505","18"
"ATL","CHA","2426","17363","358","14"
"ATL","CHS","3038","24086","573","18"
"ATL","CLE","2257","9314","291","12"
"ATL","CLT","4375","21008","567","12"
"ATL","CMH","1766","9913","254","14"
"ATL","CSG","1007","8589","175","17"
"ATL","CVG","2572","18780","437","16"
"ATL","DAB","1442","13170","345","23"
"ATL","DAY","1420","6540","192","13"
"ATL","DCA","3997","33420","894","22"
"ATL","DEN","2525","11882","502","19"
"ATL","DFW","6127","66565","1564","25"
"ATL","DTW","3903","9699","447","11"
"ATL","EWR","3994","37333","938","23"
"ATL","FLL","2704","29321","730","26"
"ATL","FWA","359","2290","56","15"
"ATL","GNV","623","4691","142","22"
"ATL","GSO","2309","15972","377","16"
"ATL","GSP","2087","11080","291","13"
"ATL","GUC","27","218","9","33"
"ATL","HNL","254","2709","86","33"
"ATL","HOU","1083","6898","165","15"
"ATL","HSV","1491","9125","168","11"
"ATL","IAD","3237","16345","438","13"
"ATL","IAH","3627","30984","750","20"
"ATL","IND","1425","7774","192","13"
"ATL","JAN","1782","15006","316","17"
"ATL","JAX","3693","41688","886","23"
"ATL","JFK","710","5509","162","22"
"ATL","LAS","917","4923","191","20"
"ATL","LAX","2366","38003","917","38"
"ATL","LEX","1438","5377","185","12"
"ATL","LGA","4343","41960","1054","24"
"ATL","LIT","1064","8604","177","16"
"ATL","MCI","1788","9284","269","15"
"ATL","MCO","3958","38237","865","21"
"ATL","MDT","354","2615","62","17"
"ATL","MDW","1248","2787","125","10"
"ATL","MEM","3884","22720","569","14"
"ATL","MGM","2062","15145","330","16"
"ATL","MIA","4798","42968","1179","24"
"ATL","MKE","991","5529","149","15"
"ATL","MLB","1219","8644","199","16"
"ATL","MLU","357","2868","61","17"
"ATL","MOB","1770","18903","460","25"
"ATL","MSP","2608","10398","408","15"
"ATL","MSY","2365","28308","621","26"
"ATL","OKC","695","5999","147","21"
"ATL","OMA","712","4142","106","14"
"ATL","ONT","358","5582","130","36"
"ATL","ORD","6832","61226","1508","22"
"ATL","ORF","1694","11241","271","15"
"ATL","PBI","2136","24239","544","25"
"ATL","PDX","344","913","70","20"
"ATL","PFN","799","-626","80","10"
"ATL","PHL","3502","24501","622","17"
"ATL","PHX","1283","10785","336","26"
"ATL","PIT","3019","16134","428","14"
"ATL","PNS","1790","12856","274","15"
"ATL","PVD","711","5423","128","18"
"ATL","RDU","3402","14511","402","11"
"ATL","RIC","1421","10551","252","17"
"ATL","ROC","717","3022","107","14"
"ATL","RSW","1778","15576","361","20"
"ATL","SAN","362","3393","81","22"
"ATL","SAT","1427","13549","333","23"
"ATL","SAV","2484","19279","415","16"
"ATL","SDF","2128","14445","375","17"
"ATL","SEA","697","6137","205","29"
"ATL","SFO","1413","14814","427","30"
"ATL","SHV","596","5138","105","17"
"ATL","SJU","1422","14532","347","24"
"ATL","SLC","1786","21881","567","31"
"ATL","SRQ","1774","13330","326","18"
"ATL","STL","3313","26708","692","20"
"ATL","SWF","796","8453","243","30"
"ATL","SYR","710","1644","86","12"
"ATL","TLH","1413","11173","264","18"
"ATL","TOL","712","4051","99","13"
"ATL","TPA","3565","32937","720","20"
"ATL","TRI","1055","1977","140","13"
"ATL","TUL","1068","8451","200","18"
"ATL","TYS","2810","18625","399","14"
"AUS","ATL","1076","8509","242","22"
"AUS","CLT","4","67","2","50"
"AUS","DAL","3931","13979","385","9"
"AUS","DEN","706","2163","84","11"
"AUS","DFW","6504","39502","763","11"
"AUS","ELP","1511","9247","211","13"
"AUS","HOU","5037","10704","380","7"
"AUS","HRL","296","-217","13","4"
"AUS","IAH","3005","9207","184","6"
"AUS","LAS","116","-692","7","6"
"AUS","LBB","682","787","53","7"
"AUS","MAF","594","1828","46","7"
"AUS","MEM","1030","-47","47","4"
"AUS","ORD","1879","2220","204","10"
"AUS","PHL","112","785","18","16"
"AUS","PHX","2019","4800","238","11"
"AUS","PIT","183","1639","49","26"
"AUS","SAT","834","380","18","2"
"AVL","ATL","1049","1937","130","12"
"AVL","CLT","2005","5042","122","6"
"AVP","BWI","484","4146","60","12"
"AVP","PIT","1435","11172","277","19"
"AZO","DAY","1082","666","67","6"
"AZO","DTW","983","-1429","43","4"
"AZO","GRB","358","-2325","6","1"
"AZO","LAN","350","-3283","33","9"
"AZO","MSP","359","-190","23","6"
"BDL","ATL","1693","6276","244","14"
"BDL","BNA","850","4933","124","14"
"BDL","BOS","444","1428","53","11"
"BDL","BUF","609","-796","25","4"
"BDL","BWI","1228","4936","144","11"
"BDL","CLE","1346","1916","98","7"
"BDL","CLT","1312","204","143","10"
"BDL","CVG","1047","1674","106","10"
"BDL","DCA","2128","-1927","128","6"
"BDL","DFW","1056","4330","194","18"
"BDL","DTW","1691","-6462","148","8"
"BDL","EWR","1045","3366","144","13"
"BDL","FLL","361","448","32","8"
"BDL","IAD","1715","4815","180","10"
"BDL","JFK","85","-141","9","10"
"BDL","MCO","756","-1114","73","9"
"BDL","MDW","187","4685","120","64"
"BDL","MIA","222","-1091","23","10"
