"flightmonth","dayfrom","dayto","number_of_delays","flightdate"
"january","4","5","4990","2005-01-04"
"january","7","8","4306","2005-01-07"
"january","8","9","5432","2005-01-08"
"january","9","10","3793","2005-01-09"
"january","10","11","4932","2005-01-10"
"january","12","13","4368","2005-01-12"
"january","13","14","7981","2005-01-13"
"january","14","15","6652","2005-01-14"
"january","15","16","9351","2005-01-15"
"january","16","17","5096","2005-01-16"
"january","17","18","4470","2005-01-17"
"january","18","19","3593","2005-01-18"
"january","21","22","3361","2005-01-21"
"january","22","23","8720","2005-01-22"
"january","23","24","8901","2005-01-23"
"january","26","27","12679","2005-01-26"
"january","27","28","10130","2005-01-27"
"january","28","29","24784","2005-01-28"
"january","29","30","4742","2005-01-29"
"february","3","4","6147","2005-02-03"
"february","6","7","7250","2005-02-06"
"february","7","8","3783","2005-02-07"
"february","9","10","3604","2005-02-09"
"february","10","11","3512","2005-02-10"
"february","11","12","8018","2005-02-11"
"february","12","13","5187","2005-02-12"
"february","13","14","8007","2005-02-13"
"february","15","16","6889","2005-02-15"
"february","16","17","3823","2005-02-16"
"february","17","18","13736","2005-02-17"
"february","19","20","2489","2005-02-19"
"february","20","21","3561","2005-02-20"
"february","21","22","4136","2005-02-21"
"february","22","23","3951","2005-02-22"
"february","23","24","9405","2005-02-23"
"february","24","25","3796","2005-02-24"
"february","25","26","3837","2005-02-25"
"february","27","28","4878","2005-02-27"
"february","28","1","3499","2005-02-28"
"march","4","5","2721","2005-03-04"
"march","5","6","3210","2005-03-05"
"march","7","8","3032","2005-03-07"
"march","9","10","4367","2005-03-09"
"march","10","11","14743","2005-03-10"
"march","11","12","3961","2005-03-11"
"march","12","13","3267","2005-03-12"
"march","14","15","5293","2005-03-14"
"march","15","16","4714","2005-03-15"
"march","16","17","8609","2005-03-16"
"march","18","19","13623","2005-03-18"
"march","20","21","4939","2005-03-20"
"march","21","22","3794","2005-03-21"
"march","22","23","6571","2005-03-22"
"march","23","24","5654","2005-03-23"
"march","24","25","5484","2005-03-24"
"march","25","26","3920","2005-03-25"
"march","27","28","7694","2005-03-27"
"march","28","29","3765","2005-03-28"
