"flightmonth","dayfrom","dayto","number_of_delays","flightdate"
"april",17,18,"2491","2006-04-18"
"april",18,19,"3611","2006-04-19"
"april",19,20,"4413","2006-04-20"
"april",20,21,"5354","2006-04-21"
"april",21,22,"2878","2006-04-22"
"april",22,23,"3818","2006-04-23"
"april",23,24,"4658","2006-04-24"
"april",24,25,"2557","2006-04-25"
"april",25,26,"2605","2006-04-26"
"april",26,27,"2259","2006-04-27"
"april",27,28,"4061","2006-04-28"
"april",28,29,"2847","2006-04-29"
"april",29,30,"4037","2006-04-30"
"may",0,1,"3218","2006-05-01"
"may",1,2,"3371","2006-05-02"
"may",2,3,"2366","2006-05-03"
"may",3,4,"3379","2006-05-04"
"may",4,5,"4759","2006-05-05"
"may",5,6,"2245","2006-05-06"
"may",6,7,"3623","2006-05-07"
"may",7,8,"3783","2006-05-08"
"may",8,9,"3072","2006-05-09"
"may",9,10,"5117","2006-05-10"
"may",10,11,"5833","2006-05-11"
"may",11,12,"5019","2006-05-12"
"may",12,13,"1887","2006-05-13"
"may",13,14,"4108","2006-05-14"
"may",14,15,"4773","2006-05-15"
"may",15,16,"3310","2006-05-16"
"may",16,17,"3598","2006-05-17"
"may",17,18,"4578","2006-05-18"
"may",18,19,"4496","2006-05-19"
"may",19,20,"1796","2006-05-20"
"may",20,21,"3870","2006-05-21"
"may",21,22,"3433","2006-05-22"
"may",22,23,"2360","2006-05-23"
"may",23,24,"5076","2006-05-24"
"may",24,25,"5246","2006-05-25"
"may",25,26,"6056","2006-05-26"
"may",26,27,"2191","2006-05-27"
"may",27,28,"1395","2006-05-28"
"may",28,29,"3981","2006-05-29"
"may",29,30,"4106","2006-05-30"
"may",30,31,"5170","2006-05-31"
"june",0,1,"5031","2006-06-01"
"june",1,2,"5312","2006-06-02"
"june",2,3,"3232","2006-06-03"
"june",3,4,"3180","2006-06-04"
"june",4,5,"2837","2006-06-05"
"june",5,6,"2383","2006-06-06"
"june",6,7,"4638","2006-06-07"
"june",7,8,"4209","2006-06-08"
"june",8,9,"4608","2006-06-09"
"june",9,10,"2738","2006-06-10"
"june",10,11,"3556","2006-06-11"
"june",11,12,"4492","2006-06-12"
"june",12,13,"2735","2006-06-13"
"june",13,14,"3522","2006-06-14"
"june",14,15,"3518","2006-06-15"
"june",15,16,"4885","2006-06-16"
"june",16,17,"3690","2006-06-17"
"june",17,18,"4369","2006-06-18"
"june",18,19,"6380","2006-06-19"
"june",19,20,"4366","2006-06-20"
"june",20,21,"6471","2006-06-21"
"june",21,22,"7213","2006-06-22"
"june",22,23,"6343","2006-06-23"
"june",23,24,"4786","2006-06-24"
"june",24,25,"7616","2006-06-25"
"june",25,26,"8073","2006-06-26"
"june",26,27,"7666","2006-06-27"
"june",27,28,"6714","2006-06-28"
"june",28,29,"4988","2006-06-29"
"june",29,30,"5217","2006-06-30"
"july",0,1,"3669","2006-07-01"
"july",1,2,"4644","2006-07-02"
"july",2,3,"2587","2006-07-03"
"july",3,4,"4166","2006-07-04"
"july",4,5,"7146","2006-07-05"
"july",5,6,"4538","2006-07-06"
"july",6,7,"3408","2006-07-07"
"july",7,8,"1973","2006-07-08"
"july",8,9,"3604","2006-07-09"
"july",9,10,"3317","2006-07-10"
"july",10,11,"4866","2006-07-11"
"july",11,12,"5453","2006-07-12"
"july",12,13,"4798","2006-07-13"
"july",13,14,"5025","2006-07-14"
"july",14,15,"3347","2006-07-15"
"july",15,16,"3440","2006-07-16"
"july",16,17,"3516","2006-07-17"
"july",17,18,"4764","2006-07-18"
"july",18,19,"5759","2006-07-19"
"july",19,20,"7593","2006-07-20"
"july",20,21,"7255","2006-07-21"
"july",21,22,"6045","2006-07-22"
"july",22,23,"4826","2006-07-23"
"july",23,24,"4400","2006-07-24"
"july",24,25,"4525","2006-07-25"
"july",25,26,"4464","2006-07-26"
"july",26,27,"6268","2006-07-27"
"july",27,28,"6597","2006-07-28"
"july",28,29,"3808","2006-07-29"
"july",29,30,"5003","2006-07-30"
"july",30,31,"4283","2006-07-31"
"august",0,1,"4146","2006-08-01"
"august",1,2,"3784","2006-08-02"
"august",2,3,"7174","2006-08-03"
"august",3,4,"4308","2006-08-04"
"august",4,5,"2798","2006-08-05"
"august",5,6,"4518","2006-08-06"
"august",6,7,"6014","2006-08-07"
"august",7,8,"3682","2006-08-08"
"august",8,9,"3481","2006-08-09"
"august",9,10,"10070","2006-08-10"
"august",10,11,"5306","2006-08-11"
"august",11,12,"3134","2006-08-12"
"august",12,13,"3458","2006-08-13"
"august",13,14,"4258","2006-08-14"
"august",14,15,"2943","2006-08-15"
"august",15,16,"2672","2006-08-16"
"august",16,17,"2675","2006-08-17"
"august",17,18,"3795","2006-08-18"
"august",18,19,"2823","2006-08-19"
"august",19,20,"3904","2006-08-20"
"august",20,21,"3315","2006-08-21"
"august",21,22,"3652","2006-08-22"
"august",22,23,"3269","2006-08-23"
"august",23,24,"7540","2006-08-24"
"august",24,25,"5549","2006-08-25"
"august",25,26,"3071","2006-08-26"
"august",26,27,"4440","2006-08-27"
"august",27,28,"6167","2006-08-28"
"august",28,29,"4142","2006-08-29"
"august",29,30,"3983","2006-08-30"
"august",30,31,"5260","2006-08-31"
"september",0,1,"6003","2006-09-01"
"september",1,2,"3110","2006-09-02"
"september",2,3,"1822","2006-09-03"
"september",3,4,"2740","2006-09-04"
"september",4,5,"4434","2006-09-05"
"september",5,6,"2476","2006-09-06"
"september",6,7,"3725","2006-09-07"
"september",7,8,"4155","2006-09-08"
"september",8,9,"2423","2006-09-09"
"september",9,10,"4949","2006-09-10"
"september",10,11,"6561","2006-09-11"
"september",11,12,"4893","2006-09-12"
"september",12,13,"5593","2006-09-13"
"september",13,14,"5743","2006-09-14"
"september",14,15,"6286","2006-09-15"
"september",15,16,"2512","2006-09-16"
"september",16,17,"5559","2006-09-17"
"september",17,18,"4425","2006-09-18"
"september",18,19,"3373","2006-09-19"
"september",19,20,"2794","2006-09-20"
"september",20,21,"3864","2006-09-21"
"september",21,22,"6785","2006-09-22"
"september",22,23,"5276","2006-09-23"
"september",23,24,"5086","2006-09-24"
"september",24,25,"2737","2006-09-25"
"september",25,26,"1661","2006-09-26"
"september",26,27,"2835","2006-09-27"
"september",27,28,"4931","2006-09-28"
"september",28,29,"4039","2006-09-29"
"september",29,30,"2093","2006-09-30"
"october",0,1,"3141","2006-10-01"
"october",1,2,"3601","2006-10-02"
"october",2,3,"2660","2006-10-03"
"october",3,4,"5680","2006-10-04"
"october",4,5,"4631","2006-10-05"
"october",5,6,"6499","2006-10-06"
"october",6,7,"2212","2006-10-07"
"october",7,8,"2595","2006-10-08"
"october",8,9,"2950","2006-10-09"
"october",9,10,"4336","2006-10-10"
"october",10,11,"5043","2006-10-11"
"october",11,12,"6972","2006-10-12"
"october",12,13,"5911","2006-10-13"
"october",13,14,"3708","2006-10-14"
"october",14,15,"5791","2006-10-15"
"october",15,16,"6527","2006-10-16"
"october",16,17,"6450","2006-10-17"
"october",17,18,"5882","2006-10-18"
"october",18,19,"6578","2006-10-19"
"october",19,20,"6913","2006-10-20"
"october",20,21,"2587","2006-10-21"
"october",21,22,"5688","2006-10-22"
"october",22,23,"4816","2006-10-23"
"october",23,24,"3224","2006-10-24"
"october",24,25,"4327","2006-10-25"
"october",25,26,"6761","2006-10-26"
"october",26,27,"8366","2006-10-27"
"october",27,28,"4804","2006-10-28"
"october",28,29,"3733","2006-10-29"
"october",29,30,"2840","2006-10-30"
"october",30,31,"1855","2006-10-31"
"november",0,1,"3117","2006-11-01"
"november",1,2,"5324","2006-11-02"
"november",2,3,"4073","2006-11-03"
"november",3,4,"1745","2006-11-04"
"november",4,5,"3339","2006-11-05"
"november",5,6,"4303","2006-11-06"
"november",6,7,"5411","2006-11-07"
"november",7,8,"4057","2006-11-08"
"november",8,9,"2893","2006-11-09"
"november",9,10,"3668","2006-11-10"
"november",10,11,"2660","2006-11-11"
"november",11,12,"4684","2006-11-12"
"november",12,13,"5905","2006-11-13"
"november",13,14,"3072","2006-11-14"
"november",14,15,"7684","2006-11-15"
"november",15,16,"6869","2006-11-16"
"november",16,17,"4729","2006-11-17"
"november",17,18,"1878","2006-11-18"
"november",18,19,"2814","2006-11-19"
"november",19,20,"3429","2006-11-20"
"november",20,21,"4477","2006-11-21"
"november",21,22,"4458","2006-11-22"
"november",22,23,"1782","2006-11-23"
"november",23,24,"1222","2006-11-24"
"november",24,25,"1709","2006-11-25"
"november",25,26,"4222","2006-11-26"
"november",26,27,"4523","2006-11-27"
"november",27,28,"5102","2006-11-28"
"november",28,29,"6165","2006-11-29"
"november",29,30,"6305","2006-11-30"
"december",0,1,"6363","2006-12-01"
"december",1,2,"3551","2006-12-02"
"december",2,3,"3606","2006-12-03"
"december",3,4,"4185","2006-12-04"
"december",4,5,"2343","2006-12-05"
"december",5,6,"2890","2006-12-06"
"december",6,7,"4764","2006-12-07"
"december",7,8,"4620","2006-12-08"
"december",8,9,"1599","2006-12-09"
"december",9,10,"2724","2006-12-10"
"december",10,11,"2977","2006-12-11"
"december",11,12,"3821","2006-12-12"
"december",12,13,"3891","2006-12-13"
"december",13,14,"6953","2006-12-14"
"december",14,15,"7580","2006-12-15"
"december",15,16,"3737","2006-12-16"
"december",16,17,"3418","2006-12-17"
"december",17,18,"3528","2006-12-18"
"december",18,19,"4476","2006-12-19"
"december",19,20,"6303","2006-12-20"
"december",20,21,"7273","2006-12-21"
"december",21,22,"10515","2006-12-22"
"december",22,23,"7743","2006-12-23"
"december",23,24,"3926","2006-12-24"
"december",24,25,"4015","2006-12-25"
"december",25,26,"7469","2006-12-26"
"december",26,27,"5783","2006-12-27"
"december",27,28,"5180","2006-12-28"
"december",28,29,"4931","2006-12-29"
"december",29,30,"5992","2006-12-30"
"december",30,31,"5305","2006-12-31"
