"flightmonth","dayfrom","dayto","number_of_delays","flightdate"
"january",0,1,"4572","2006-01-01"
"january",1,2,"9901","2006-01-02"
"january",2,3,"8332","2006-01-03"
"january",3,4,"3814","2006-01-04"
"january",4,5,"3339","2006-01-05"
"january",5,6,"2368","2006-01-06"
"january",6,7,"1917","2006-01-07"
"january",7,8,"2450","2006-01-08"
"january",8,9,"1768","2006-01-09"
"january",9,10,"1440","2006-01-10"
"january",10,11,"3618","2006-01-11"
"january",11,12,"2081","2006-01-12"
"january",12,13,"6599","2006-01-13"
"january",13,14,"2829","2006-01-14"
"january",14,15,"3497","2006-01-15"
"january",15,16,"3430","2006-01-16"
"january",16,17,"3994","2006-01-17"
"january",17,18,"4377","2006-01-18"
"january",18,19,"2811","2006-01-19"
"january",19,20,"2700","2006-01-20"
"january",20,21,"2230","2006-01-21"
"january",21,22,"5277","2006-01-22"
"january",22,23,"5010","2006-01-23"
"january",23,24,"2295","2006-01-24"
"january",24,25,"1925","2006-01-25"
"january",25,26,"1894","2006-01-26"
"january",26,27,"2029","2006-01-27"
"january",27,28,"1844","2006-01-28"
"january",28,29,"3384","2006-01-29"
"january",29,30,"3392","2006-01-30"
"january",30,31,"2056","2006-01-31"
"february",0,1,"1884","2006-02-01"
"february",1,2,"2832","2006-02-02"
"february",2,3,"5692","2006-02-03"
"february",3,4,"3853","2006-02-04"
"february",4,5,"2902","2006-02-05"
"february",5,6,"3265","2006-02-06"
"february",6,7,"1446","2006-02-07"
"february",7,8,"2328","2006-02-08"
"february",8,9,"2274","2006-02-09"
"february",9,10,"3658","2006-02-10"
"february",10,11,"3461","2006-02-11"
"february",11,12,"2440","2006-02-12"
"february",12,13,"3142","2006-02-13"
"february",13,14,"1953","2006-02-14"
"february",14,15,"2787","2006-02-15"
"february",15,16,"6138","2006-02-16"
"february",16,17,"8375","2006-02-17"
"february",17,18,"6922","2006-02-18"
"february",18,19,"7093","2006-02-19"
"february",19,20,"6341","2006-02-20"
"february",20,21,"4583","2006-02-21"
"february",21,22,"5176","2006-02-22"
"february",22,23,"5431","2006-02-23"
"february",23,24,"4534","2006-02-24"
"february",24,25,"3642","2006-02-25"
"february",25,26,"4221","2006-02-26"
"february",26,27,"4024","2006-02-27"
"february",27,28,"2883","2006-02-28"
"march",0,1,"2292","2006-03-01"
"march",1,2,"5544","2006-03-02"
"march",2,3,"3738","2006-03-03"
"march",3,4,"1881","2006-03-04"
"march",4,5,"4251","2006-03-05"
"march",5,6,"3640","2006-03-06"
"march",6,7,"3161","2006-03-07"
"march",7,8,"3092","2006-03-08"
"march",8,9,"6253","2006-03-09"
"march",9,10,"5087","2006-03-10"
"march",10,11,"3985","2006-03-11"
"march",11,12,"6048","2006-03-12"
"march",12,13,"6787","2006-03-13"
"march",13,14,"4068","2006-03-14"
"march",14,15,"4354","2006-03-15"
"march",15,16,"4981","2006-03-16"
"march",16,17,"3482","2006-03-17"
"march",17,18,"3560","2006-03-18"
"march",18,19,"5945","2006-03-19"
"march",19,20,"7714","2006-03-20"
"march",20,21,"4798","2006-03-21"
"march",21,22,"2920","2006-03-22"
"march",22,23,"4169","2006-03-23"
"march",23,24,"4394","2006-03-24"
"march",24,25,"2232","2006-03-25"
"march",25,26,"3151","2006-03-26"
"march",26,27,"2422","2006-03-27"
"march",27,28,"5416","2006-03-28"
"march",28,29,"2982","2006-03-29"
"march",29,30,"3124","2006-03-30"
"march",30,31,"4315","2006-03-31"
"april",0,1,"2710","2006-04-01"
"april",1,2,"5414","2006-04-02"
"april",2,3,"6378","2006-04-03"
"april",3,4,"4724","2006-04-04"
"april",4,5,"4573","2006-04-05"
"april",5,6,"5378","2006-04-06"
"april",6,7,"7449","2006-04-07"
"april",7,8,"3787","2006-04-08"
"april",8,9,"2934","2006-04-09"
"april",9,10,"2073","2006-04-10"
"april",10,11,"2185","2006-04-11"
"april",11,12,"2685","2006-04-12"
"april",12,13,"3962","2006-04-13"
"april",13,14,"4516","2006-04-14"
"april",14,15,"1652","2006-04-15"
"april",15,16,"2962","2006-04-16"
"april",16,17,"4100","2006-04-17"
