"flightmonth","dayfrom","dayto","number_of_delays","flightdate"
"january","4","5","3558","2000-01-04"
"january","5","6","4712","2000-01-05"
"january","6","7","8545","2000-01-06"
"january","7","8","4846","2000-01-07"
"january","10","11","3399","2000-01-10"
"january","11","12","4574","2000-01-11"
"january","12","13","4513","2000-01-12"
"january","13","14","4092","2000-01-13"
"january","14","15","11321","2000-01-14"
"january","15","16","8876","2000-01-15"
"january","18","19","2400","2000-01-18"
"january","20","21","7918","2000-01-20"
"january","23","24","3668","2000-01-23"
"january","24","25","4090","2000-01-24"
"january","26","27","5343","2000-01-26"
"january","27","28","2971","2000-01-27"
"january","28","29","3979","2000-01-28"
"january","30","31","7120","2000-01-30"
"february","1","2","3548","2000-02-01"
"february","4","5","4357","2000-02-04"
"february","6","7","3914","2000-02-06"
"february","7","8","2742","2000-02-07"
"february","9","10","4282","2000-02-09"
"february","11","12","12075","2000-02-11"
"february","20","21","12084","2000-02-20"
"february","21","22","4794","2000-02-21"
"february","22","23","4177","2000-02-22"
"february","23","24","3955","2000-02-23"
"february","24","25","9509","2000-02-24"
"february","25","26","11432","2000-02-25"
"february","26","27","9493","2000-02-26"
"february","29","1","4232","2000-02-29"
"march","1","2","8522","2000-03-01"
"march","5","6","4243","2000-03-05"
"march","7","8","4717","2000-03-07"
"march","9","10","3614","2000-03-09"
"march","10","11","3510","2000-03-10"
"march","13","14","8487","2000-03-13"
"march","18","19","3614","2000-03-18"
"march","19","20","3519","2000-03-19"
"march","20","21","7615","2000-03-20"
"march","21","22","4214","2000-03-21"
"march","22","23","7285","2000-03-22"
"march","26","27","11869","2000-03-26"
"march","28","29","3106","2000-03-28"
"march","29","30","3416","2000-03-29"
"march","30","31","4336","2000-03-30"
"march","31","1","12481","2000-03-31"
"april","1","2","4227","2000-04-01"
"april","2","3","8802","2000-04-02"
"april","4","5","16511","2000-04-04"
"april","6","7","7461","2000-04-06"
"april","7","8","5349","2000-04-07"
"april","9","10","8237","2000-04-09"
"april","10","11","11624","2000-04-10"
"april","16","17","10520","2000-04-16"
"april","19","20","4350","2000-04-19"
"april","21","22","3899","2000-04-21"
"april","22","23","5027","2000-04-22"
"april","23","24","4885","2000-04-23"
"april","26","27","4030","2000-04-26"
"april","28","29","5143","2000-04-28"
"may","2","3","3931","2000-05-02"
"may","3","4","4665","2000-05-03"
"may","5","6","17135","2000-05-05"
"may","6","7","5658","2000-05-06"
"may","8","9","3918","2000-05-08"
"may","11","12","3883","2000-05-11"
"may","12","13","4562","2000-05-12"
"may","14","15","12485","2000-05-14"
"may","16","17","3861","2000-05-16"
"may","17","18","3376","2000-05-17"
"may","18","19","4881","2000-05-18"
"may","21","22","4858","2000-05-21"
"may","22","23","3505","2000-05-22"
"may","24","25","3702","2000-05-24"
"may","25","26","7697","2000-05-25"
"may","26","27","5540","2000-05-26"
"may","29","30","4772","2000-05-29"
"may","31","1","4756","2000-05-31"
"june","1","2","5065","2000-06-01"
"june","2","3","6014","2000-06-02"
"june","3","4","4290","2000-06-03"
"june","5","6","4988","2000-06-05"
"june","6","7","5281","2000-06-06"
"june","7","8","6414","2000-06-07"
"june","9","10","17927","2000-06-09"
"june","10","11","16621","2000-06-10"
"june","11","12","11846","2000-06-11"
"june","14","15","6366","2000-06-14"
"june","17","18","4406","2000-06-17"
"june","22","23","6266","2000-06-22"
"june","23","24","5255","2000-06-23"
"june","25","26","6023","2000-06-25"
"june","26","27","11204","2000-06-26"
"june","27","28","5615","2000-06-27"
"june","29","30","6508","2000-06-29"
"july","1","2","9676","2000-07-01"
"july","3","4","4596","2000-07-03"
"july","6","7","5634","2000-07-06"
"july","7","8","7601","2000-07-07"
"july","10","11","14897","2000-07-10"
"july","12","13","9434","2000-07-12"
"july","14","15","20352","2000-07-14"
"july","17","18","4773","2000-07-17"
"july","18","19","4515","2000-07-18"
"july","19","20","14969","2000-07-19"
"july","20","21","5139","2000-07-20"
"july","23","24","3718","2000-07-23"
"july","27","28","6600","2000-07-27"
"july","30","31","4176","2000-07-30"
"july","31","1","5456","2000-07-31"
"august","3","4","10185","2000-08-03"
"august","4","5","5030","2000-08-04"
"august","5","6","10637","2000-08-05"
"august","7","8","6524","2000-08-07"
"august","8","9","5767","2000-08-08"
"august","9","10","8038","2000-08-09"
"august","12","13","5215","2000-08-12"
"august","14","15","4538","2000-08-14"
"august","17","18","4375","2000-08-17"
"august","18","19","7834","2000-08-18"
"august","19","20","5308","2000-08-19"
"august","20","21","5436","2000-08-20"
"august","21","22","9093","2000-08-21"
"august","23","24","10922","2000-08-23"
"august","24","25","4552","2000-08-24"
"august","25","26","4732","2000-08-25"
"august","27","28","5257","2000-08-27"
"august","29","30","5752","2000-08-29"
"august","31","1","8124","2000-08-31"
"september","3","4","3017","2000-09-03"
"september","4","5","4593","2000-09-04"
"september","5","6","5727","2000-09-05"
"september","6","7","8757","2000-09-06"
"september","7","8","3599","2000-09-07"
"september","9","10","4308","2000-09-09"
"september","10","11","3311","2000-09-10"
"september","12","13","3457","2000-09-12"
"september","14","15","3903","2000-09-14"
"september","15","16","3316","2000-09-15"
"september","16","17","6459","2000-09-16"
"september","18","19","3204","2000-09-18"
"september","20","21","4583","2000-09-20"
"september","23","24","3728","2000-09-23"
"september","24","25","3187","2000-09-24"
"september","25","26","3995","2000-09-25"
"september","26","27","7742","2000-09-26"
"september","27","28","3825","2000-09-27"
"september","30","1","6709","2000-09-30"
"october","1","2","3299","2000-10-01"
"october","2","3","12344","2000-10-02"
"october","4","5","6314","2000-10-04"
"october","5","6","2464","2000-10-05"
"october","7","8","4573","2000-10-07"
"october","10","11","3777","2000-10-10"
"october","11","12","4884","2000-10-11"
"october","13","14","2992","2000-10-13"
"october","16","17","4268","2000-10-16"
"october","18","19","4224","2000-10-18"
"october","19","20","4550","2000-10-19"
"october","20","21","8117","2000-10-20"
"october","21","22","8912","2000-10-21"
"october","24","25","4643","2000-10-24"
"october","26","27","7383","2000-10-26"
"october","27","28","3167","2000-10-27"
"october","29","30","8470","2000-10-29"
"october","31","1","3745","2000-10-31"
"november","2","3","14800","2000-11-02"
"november","3","4","4497","2000-11-03"
"november","4","5","5472","2000-11-04"
"november","5","6","10087","2000-11-05"
"november","6","7","9186","2000-11-06"
"november","8","9","8592","2000-11-08"
"november","13","14","9201","2000-11-13"
"november","16","17","5017","2000-11-16"
"november","18","19","3977","2000-11-18"
"november","19","20","10363","2000-11-19"
"november","20","21","9412","2000-11-20"
"november","21","22","8139","2000-11-21"
"november","26","27","5200","2000-11-26"
"november","28","29","10166","2000-11-28"
"december","2","3","5459","2000-12-02"
"december","5","6","6179","2000-12-05"
"december","7","8","6444","2000-12-07"
"december","8","9","769","2000-12-08"
