"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","1396","9924","360","25"
"ABE","CLE","1042","-1574","82","7"
"ABE","CLT","328","-1212","38","11"
"ABE","CVG","1425","895","230","16"
"ABE","DTW","916","635","84","9"
"ABE","IAD","616","-3176","59","9"
"ABE","ORD","807","2864","154","19"
"ABE","PHL","378","5211","109","28"
"ABI","DFW","2101","-22","216","10"
"ABI","IAH","984","-1007","114","11"
"ABQ","AMA","675","4804","114","16"
"ABQ","ATL","1088","336","136","12"
"ABQ","BWI","366","304","54","14"
"ABQ","CVG","732","-599","63","8"
"ABQ","DAL","2073","10427","296","14"
"ABQ","DEN","2341","858","218","9"
"ABQ","DFW","3957","18315","541","13"
"ABQ","ELP","1252","9753","216","17"
"ABQ","EWR","31","-373","5","16"
"ABQ","HOU","732","7289","187","25"
"ABQ","IAH","1756","6869","205","11"
"ABQ","LAS","2042","14221","335","16"
"ABQ","LAX","2319","1565","265","11"
"ABQ","LBB","625","4033","93","14"
"ABQ","MAF","366","2366","56","15"
"ABQ","MCI","1048","8267","209","19"
"ABQ","MCO","730","1354","112","15"
"ABQ","MDW","366","-1223","17","4"
"ABQ","MSP","750","633","102","13"
"ABQ","OAK","727","3937","124","17"
"ABQ","ORD","1151","19209","324","28"
"ABQ","PDX","379","-1260","38","10"
"ABQ","PHX","6008","38425","1112","18"
"ABQ","SAN","1391","3620","195","14"
"ABQ","SEA","366","-3684","19","5"
"ABQ","SLC","2324","3648","252","10"
"ABQ","STL","366","1355","60","16"
"ABQ","TPA","366","994","58","15"
"ABQ","TUS","700","11547","194","27"
"ABY","ATL","1419","5425","243","17"
"ACK","EWR","242","4509","65","26"
"ACT","DFW","2314","-3263","171","7"
"ACT","IAH","1203","-1434","115","9"
"ACT","ILE","1","81","1","100"
"ACT","SJT","1","189","1","100"
"ACT","TYR","1","148","1","100"
"ACV","CEC","654","-3452","46","7"
"ACV","MFR","2","208","2","100"
"ACV","SFO","2802","22296","600","21"
"ACV","SMF","636","-3772","39","6"
"ACY","CVG","1094","-245","161","14"
"ADK","AKN","104","2836","42","40"
"ADQ","ANC","727","8898","191","26"
"AEX","ATL","701","12969","272","38"
"AEX","DFW","982","2987","109","11"
"AEX","IAH","1569","11261","272","17"
"AGS","ATL","3188","10561","658","20"
"AGS","EWR","481","11213","165","34"
"AGS","IAH","353","1289","75","21"
"AKN","ADK","104","940","29","27"
"AKN","ANC","212","3284","58","27"
"AKN","DLG","64","828","15","23"
"ALB","ATL","1456","15088","376","25"
"ALB","BWI","2394","16482","346","14"
"ALB","CLE","1205","7067","215","17"
"ALB","CLT","780","-685","118","15"
"ALB","CVG","1067","25","137","12"
"ALB","DCA","281","5732","94","33"
"ALB","DTW","1432","4765","216","15"
"ALB","EWR","1301","13050","263","20"
"ALB","IAD","1353","12290","361","26"
"ALB","LAS","366","-1366","64","17"
"ALB","MCO","811","-2116","80","9"
"ALB","ORD","3025","40795","843","27"
"ALB","PHL","1597","9413","322","20"
"ALB","PIT","999","-3260","90","9"
"AMA","ABQ","675","3029","84","12"
"AMA","DAL","2635","18361","364","13"
"AMA","DFW","3220","13262","463","14"
"AMA","IAH","1276","11008","257","20"
"AMA","LAS","366","-1832","11","3"
"ANC","ADQ","727","6206","153","21"
"ANC","AKN","281","2466","51","18"
"ANC","ATL","104","-386","9","8"
"ANC","BET","1139","10671","244","21"
"ANC","CDV","363","6629","124","34"
"ANC","DEN","459","-880","48","10"
"ANC","DFW","90","1717","27","30"
"ANC","DLG","187","2067","37","19"
"ANC","DTW","131","-392","13","9"
"ANC","DUT","55","1312","19","34"
"ANC","FAI","3746","26450","742","19"
"ANC","HNL","12","-19","1","8"
"ANC","IAH","130","294","26","20"
"ANC","JNU","1185","13937","310","26"
"ANC","LAS","24","100","6","25"
"ANC","LAX","317","-1078","35","11"
"ANC","MSP","1057","2324","164","15"
"ANC","OME","201","2361","55","27"
"ANC","ORD","694","4636","152","21"
"ANC","OTZ","897","8062","196","21"
"ANC","PDX","562","3124","114","20"
"ANC","PHX","212","700","40","18"
"ANC","SCC","354","1751","61","17"
"ANC","SEA","6784","26309","1227","18"
"ANC","SFO","97","199","14","14"
"ANC","SLC","732","1549","114","15"
"APF","ATL","140","2827","59","42"
"ATL","ABE","1435","17794","395","27"
"ATL","ABQ","1089","6944","247","22"
"ATL","ABY","1438","3893","213","14"
