"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","706","6571","182","25"
"ABE","BWI","113","228","10","8"
"ABE","CLT","336","-1399","12","3"
"ABE","DTW","941","995","71","7"
"ABE","LGA","144","171","16","11"
"ABE","MDT","1626","3922","159","9"
"ABE","ORD","1180","7959","186","15"
"ABE","PIT","1466","5727","142","9"
"ABQ","AMA","696","193","40","5"
"ABQ","ATL","359","2009","73","20"
"ABQ","CVG","358","4535","102","28"
"ABQ","DAL","2020","973","110","5"
"ABQ","DEN","4083","32824","741","18"
"ABQ","DFW","3904","25554","580","14"
"ABQ","ELP","1735","2740","95","5"
"ABQ","IAH","1417","-2147","75","5"
"ABQ","LAS","2084","9240","203","9"
"ABQ","LAX","2386","10402","330","13"
"ABQ","LBB","715","-551","28","3"
"ABQ","MAF","358","360","16","4"
"ABQ","MCI","610","-1349","40","6"
"ABQ","MSP","718","-3240","47","6"
"ABQ","ORD","1067","5755","189","17"
"ABQ","PHX","7133","10807","455","6"
"ABQ","PIT","569","2146","92","16"
"ABQ","SAN","665","462","65","9"
"ABQ","SFO","708","3968","97","13"
"ABQ","SLC","1071","2000","39","3"
"ABQ","STL","2043","2515","182","8"
"ACK","EWR","19","360","3","15"
"ACY","PIT","738","2911","106","14"
"ADQ","ANC","315","1935","36","11"
"AGS","ATL","2124","13465","325","15"
"AGS","CAE","1","26","1","100"
"AGS","CLT","1018","-2886","30","2"
"AGS","SAV","351","3160","70","19"
"AKN","ANC","264","1092","34","12"
"AKN","DLG","92","839","14","15"
"ALB","ATL","924","4606","138","14"
"ALB","BDL","1","31","1","100"
"ALB","BUF","560","1793","56","10"
"ALB","BWI","358","689","30","8"
"ALB","CLT","81","330","14","17"
"ALB","CVG","709","-588","47","6"
"ALB","DCA","996","4855","121","12"
"ALB","DTW","1317","1115","116","8"
"ALB","EWR","86","696","15","17"
"ALB","LGA","223","1533","31","13"
"ALB","ORD","2815","17740","482","17"
"ALB","PHL","1697","10322","259","15"
"ALB","PIT","1466","9548","234","15"
"ALB","PWM","711","3165","90","12"
"ALB","RDU","885","-9","72","8"
"ALB","SYR","7","81","1","14"
"AMA","ABQ","684","1429","49","7"
"AMA","DAL","2316","9028","264","11"
"AMA","DFW","1912","9974","204","10"
"AMA","LBB","177","983","17","9"
"ANC","ADQ","313","2265","43","13"
"ANC","AKN","142","572","9","6"
"ANC","BET","735","5176","112","15"
"ANC","CDV","350","3059","58","16"
"ANC","DLG","211","1813","29","13"
"ANC","DTW","98","-296","4","4"
"ANC","DUT","232","4313","82","35"
"ANC","FAI","3338","17872","429","12"
"ANC","JNU","816","3652","63","7"
"ANC","LAX","60","1569","28","46"
"ANC","MSP","218","-484","16","7"
"ANC","OME","533","2435","56","10"
"ANC","ORD","187","409","26","13"
"ANC","OTZ","450","1809","47","10"
"ANC","PDX","194","-180","11","5"
"ANC","SCC","547","2789","69","12"
"ANC","SEA","6671","26705","1014","15"
