"flightmonth","dayfrom","dayto","number_of_delays","flightdate"
"january",0,1,"6034","2007-01-01"
"january",1,2,"5289","2007-01-02"
"january",2,3,"4406","2007-01-03"
"january",3,4,"5625","2007-01-04"
"january",4,5,"7443","2007-01-05"
"january",5,6,"3631","2007-01-06"
"january",6,7,"5044","2007-01-07"
"january",7,8,"3658","2007-01-08"
"january",8,9,"3250","2007-01-09"
"january",9,10,"2735","2007-01-10"
"january",10,11,"3970","2007-01-11"
"january",11,12,"5343","2007-01-12"
"january",12,13,"3030","2007-01-13"
"january",13,14,"5618","2007-01-14"
"january",14,15,"8528","2007-01-15"
"january",15,16,"5173","2007-01-16"
"january",16,17,"3950","2007-01-17"
"january",17,18,"6934","2007-01-18"
"january",18,19,"6276","2007-01-19"
"january",19,20,"2577","2007-01-20"
"january",20,21,"7897","2007-01-21"
"january",21,22,"5677","2007-01-22"
"january",22,23,"2519","2007-01-23"
"january",23,24,"2619","2007-01-24"
"january",24,25,"3780","2007-01-25"
"january",25,26,"4646","2007-01-26"
"january",26,27,"2524","2007-01-27"
"january",27,28,"4444","2007-01-28"
"january",28,29,"4236","2007-01-29"
"january",29,30,"3150","2007-01-30"
"january",30,31,"4291","2007-01-31"
"february",0,1,"6692","2007-02-01"
"february",1,2,"7020","2007-02-02"
"february",2,3,"4465","2007-02-03"
"february",3,4,"4338","2007-02-04"
"february",4,5,"5645","2007-02-05"
"february",5,6,"4999","2007-02-06"
"february",6,7,"4845","2007-02-07"
"february",7,8,"4341","2007-02-08"
"february",8,9,"4807","2007-02-09"
"february",9,10,"2425","2007-02-10"
"february",10,11,"3390","2007-02-11"
"february",11,12,"5636","2007-02-12"
"february",12,13,"5115","2007-02-13"
"february",13,14,"6537","2007-02-14"
"february",14,15,"9786","2007-02-15"
"february",15,16,"8786","2007-02-16"
"february",16,17,"5853","2007-02-17"
"february",17,18,"4560","2007-02-18"
"february",18,19,"5333","2007-02-19"
"february",19,20,"3624","2007-02-20"
"february",20,21,"4852","2007-02-21"
"february",21,22,"5949","2007-02-22"
"february",22,23,"5522","2007-02-23"
"february",23,24,"4179","2007-02-24"
"february",24,25,"7449","2007-02-25"
"february",25,26,"7520","2007-02-26"
"february",26,27,"4779","2007-02-27"
"february",27,28,"4305","2007-02-28"
"march",0,1,"8097","2007-03-01"
"march",1,2,"8563","2007-03-02"
"march",2,3,"4717","2007-03-03"
"march",3,4,"3981","2007-03-04"
"march",4,5,"3769","2007-03-05"
"march",5,6,"3715","2007-03-06"
"march",6,7,"6097","2007-03-07"
"march",7,8,"3703","2007-03-08"
"march",8,9,"3772","2007-03-09"
"march",9,10,"2933","2007-03-10"
"march",10,11,"4520","2007-03-11"
"march",11,12,"4055","2007-03-12"
"march",12,13,"3734","2007-03-13"
"march",13,14,"4232","2007-03-14"
"march",14,15,"5507","2007-03-15"
"march",15,16,"4372","2007-03-16"
"march",16,17,"5637","2007-03-17"
"march",17,18,"4895","2007-03-18"
"march",18,19,"4745","2007-03-19"
"march",19,20,"3711","2007-03-20"
"march",20,21,"4056","2007-03-21"
"march",21,22,"7311","2007-03-22"
"march",22,23,"5535","2007-03-23"
"march",23,24,"3902","2007-03-24"
"march",24,25,"3421","2007-03-25"
"march",25,26,"4023","2007-03-26"
"march",26,27,"3359","2007-03-27"
"march",27,28,"5052","2007-03-28"
"march",28,29,"5574","2007-03-29"
"march",29,30,"5236","2007-03-30"
"march",30,31,"4634","2007-03-31"
"april",0,1,"4734","2007-04-01"
"april",1,2,"4325","2007-04-02"
"april",2,3,"5595","2007-04-03"
"april",3,4,"6564","2007-04-04"
"april",4,5,"5455","2007-04-05"
"april",5,6,"5056","2007-04-06"
"april",6,7,"3358","2007-04-07"
"april",7,8,"3013","2007-04-08"
"april",8,9,"3294","2007-04-09"
"april",9,10,"3687","2007-04-10"
"april",10,11,"6483","2007-04-11"
"april",11,12,"7288","2007-04-12"
"april",12,13,"5958","2007-04-13"
"april",13,14,"3792","2007-04-14"
"april",14,15,"5960","2007-04-15"
"april",15,16,"5514","2007-04-16"
"april",16,17,"4490","2007-04-17"
"april",17,18,"4181","2007-04-18"
"april",18,19,"3216","2007-04-19"
"april",19,20,"3221","2007-04-20"
"april",20,21,"2011","2007-04-21"
"april",21,22,"3170","2007-04-22"
"april",22,23,"2721","2007-04-23"
"april",23,24,"3480","2007-04-24"
"april",24,25,"5890","2007-04-25"
"april",25,26,"5301","2007-04-26"
"april",26,27,"5363","2007-04-27"
"april",27,28,"1941","2007-04-28"
"april",28,29,"2711","2007-04-29"
"april",29,30,"3699","2007-04-30"
"may",0,1,"3568","2007-05-01"
"may",1,2,"3986","2007-05-02"
"may",2,3,"4584","2007-05-03"
"may",3,4,"4739","2007-05-04"
"may",4,5,"3303","2007-05-05"
"may",5,6,"6143","2007-05-06"
"may",6,7,"4320","2007-05-07"
"may",7,8,"2246","2007-05-08"
"may",8,9,"3777","2007-05-09"
"may",9,10,"5565","2007-05-10"
"may",10,11,"4913","2007-05-11"
"may",11,12,"2626","2007-05-12"
"may",12,13,"3034","2007-05-13"
"may",13,14,"3540","2007-05-14"
"may",14,15,"5328","2007-05-15"
"may",15,16,"4981","2007-05-16"
"may",16,17,"3792","2007-05-17"
"may",17,18,"4561","2007-05-18"
"may",18,19,"2032","2007-05-19"
"may",19,20,"3589","2007-05-20"
"may",20,21,"3109","2007-05-21"
"may",21,22,"4201","2007-05-22"
"may",22,23,"4509","2007-05-23"
"may",23,24,"6084","2007-05-24"
"may",24,25,"5488","2007-05-25"
"may",25,26,"3265","2007-05-26"
"may",26,27,"2532","2007-05-27"
"may",27,28,"3054","2007-05-28"
"may",28,29,"3732","2007-05-29"
"may",29,30,"4557","2007-05-30"
"may",30,31,"4565","2007-05-31"
"june",0,1,"5542","2007-06-01"
"june",1,2,"3354","2007-06-02"
"june",2,3,"6920","2007-06-03"
"june",3,4,"6367","2007-06-04"
"june",4,5,"4724","2007-06-05"
"june",5,6,"4618","2007-06-06"
"june",6,7,"4917","2007-06-07"
"june",7,8,"8000","2007-06-08"
"june",8,9,"4091","2007-06-09"
"june",9,10,"4266","2007-06-10"
"june",10,11,"5649","2007-06-11"
"june",11,12,"5973","2007-06-12"
"june",12,13,"6336","2007-06-13"
"june",13,14,"6454","2007-06-14"
"june",14,15,"5434","2007-06-15"
"june",15,16,"5807","2007-06-16"
"june",16,17,"6204","2007-06-17"
"june",17,18,"6515","2007-06-18"
"june",18,19,"6998","2007-06-19"
"june",19,20,"7037","2007-06-20"
"june",20,21,"5271","2007-06-21"
"june",21,22,"5436","2007-06-22"
"june",22,23,"2946","2007-06-23"
"june",23,24,"3980","2007-06-24"
"june",24,25,"7330","2007-06-25"
"june",25,26,"6741","2007-06-26"
"june",26,27,"7516","2007-06-27"
"june",27,28,"8578","2007-06-28"
"june",28,29,"7538","2007-06-29"
"june",29,30,"4755","2007-06-30"
"july",0,1,"5789","2007-07-01"
"july",1,2,"4871","2007-07-02"
"july",2,3,"3283","2007-07-03"
"july",3,4,"1870","2007-07-04"
"july",4,5,"4307","2007-07-05"
"july",5,6,"4378","2007-07-06"
"july",6,7,"3114","2007-07-07"
"july",7,8,"5608","2007-07-08"
"july",8,9,"6631","2007-07-09"
"july",9,10,"7909","2007-07-10"
"july",10,11,"7233","2007-07-11"
"july",11,12,"5044","2007-07-12"
"july",12,13,"4526","2007-07-13"
"july",13,14,"4122","2007-07-14"
