"flightmonth","dayfrom","dayto","number_of_delays","flightdate"
"january","1","2","9176","2003-01-02"
"january","4","5","6222","2003-01-05"
"january","7","8","2402","2003-01-08"
"january","8","9","2759","2003-01-09"
"january","9","10","1625","2003-01-10"
"january","10","11","8205","2003-01-11"
"january","11","12","10379","2003-01-12"
"january","12","13","6849","2003-01-13"
"january","13","14","6188","2003-01-14"
"january","15","16","3163","2003-01-16"
"january","16","17","2116","2003-01-17"
"january","20","21","3879","2003-01-21"
"january","22","23","2487","2003-01-23"
"january","24","25","4183","2003-01-25"
"january","28","29","4577","2003-01-29"
"january","30","31","5319","2003-01-31"
"february","5","6","2320","2003-02-06"
"february","6","7","3896","2003-02-07"
"february","8","9","7965","2003-02-09"
"february","9","10","3061","2003-02-10"
"february","10","11","2546","2003-02-11"
"february","11","12","10960","2003-02-12"
"february","12","13","8076","2003-02-13"
"february","13","14","4026","2003-02-14"
"february","14","15","3325","2003-02-15"
"february","15","16","7385","2003-02-16"
"february","16","17","3703","2003-02-17"
"february","17","18","4715","2003-02-18"
"february","18","19","11833","2003-02-19"
"february","21","22","4040","2003-02-22"
"february","25","26","11330","2003-02-26"
"february","26","27","2416","2003-02-27"
"march","0","1","2717","2003-03-01"
"march","1","2","2235","2003-03-02"
"march","3","4","5404","2003-03-04"
"march","5","6","4459","2003-03-06"
"march","6","7","11008","2003-03-07"
"march","8","9","1038","2003-03-09"
"march","9","10","2839","2003-03-10"
"march","10","11","3200","2003-03-11"
"march","11","12","9417","2003-03-12"
"march","14","15","2000","2003-03-15"
"march","15","16","4621","2003-03-16"
"march","18","19","2201","2003-03-19"
"march","20","21","2839","2003-03-21"
"march","23","24","3212","2003-03-24"
"march","24","25","6380","2003-03-25"
"march","25","26","4759","2003-03-26"
"march","26","27","2694","2003-03-27"
"march","27","28","3354","2003-03-28"
"march","28","29","5249","2003-03-29"
"march","30","31","2915","2003-03-31"
"april","4","5","1768","2003-04-05"
"april","5","6","9673","2003-04-06"
"april","6","7","1478","2003-04-07"
"april","7","8","1773","2003-04-08"
"april","8","9","2691","2003-04-09"
"april","10","11","3688","2003-04-11"
"april","11","12","2248","2003-04-12"
"april","12","13","2068","2003-04-13"
"april","13","14","1401","2003-04-14"
"april","18","19","5993","2003-04-19"
"april","19","20","2279","2003-04-20"
"april","20","21","4612","2003-04-21"
"april","21","22","1698","2003-04-22"
"april","22","23","1883","2003-04-23"
"april","23","24","8097","2003-04-24"
"april","27","28","2339","2003-04-28"
"april","28","29","4433","2003-04-29"
"may","1","2","3178","2003-05-02"
"may","3","4","8089","2003-05-04"
"may","4","5","2580","2003-05-05"
"may","5","6","4317","2003-05-06"
"may","6","7","2768","2003-05-07"
"may","7","8","2026","2003-05-08"
"may","10","11","3026","2003-05-11"
"may","11","12","1414","2003-05-12"
"may","13","14","3001","2003-05-14"
"may","17","18","9234","2003-05-18"
"may","18","19","3571","2003-05-19"
"may","23","24","6482","2003-05-24"
"may","24","25","2370","2003-05-25"
"may","25","26","9063","2003-05-26"
"may","26","27","2077","2003-05-27"
"may","27","28","5279","2003-05-28"
"may","29","30","4180","2003-05-30"
"june","0","1","3127","2003-06-01"
"june","2","3","3605","2003-06-03"
"june","6","7","3147","2003-06-07"
"june","7","8","3211","2003-06-08"
"june","9","10","1876","2003-06-10"
"june","10","11","6010","2003-06-11"
"june","11","12","7149","2003-06-12"
"june","13","14","3131","2003-06-14"
"june","18","19","3356","2003-06-19"
"june","19","20","12831","2003-06-20"
"june","20","21","6535","2003-06-21"
"june","21","22","6058","2003-06-22"
"june","22","23","6220","2003-06-23"
"june","23","24","3679","2003-06-24"
"june","24","25","4286","2003-06-25"
"june","25","26","6288","2003-06-26"
"june","27","28","5206","2003-06-28"
"july","1","2","2352","2003-07-02"
"july","5","6","4395","2003-07-06"
"july","7","8","12463","2003-07-08"
"july","8","9","6773","2003-07-09"
"july","10","11","3703","2003-07-11"
"july","14","15","5676","2003-07-15"
"july","15","16","10957","2003-07-16"
"july","17","18","2967","2003-07-18"
"july","18","19","3673","2003-07-19"
"july","20","21","8614","2003-07-21"
"july","21","22","3561","2003-07-22"
"july","23","24","3277","2003-07-24"
"july","24","25","3005","2003-07-25"
"july","25","26","7148","2003-07-26"
"july","26","27","4716","2003-07-27"
"july","27","28","4111","2003-07-28"
"july","29","30","12664","2003-07-30"
"august","0","1","4598","2003-08-01"
"august","1","2","8187","2003-08-02"
"august","2","3","3549","2003-08-03"
"august","3","4","6018","2003-08-04"
"august","5","6","4535","2003-08-06"
"august","7","8","9278","2003-08-08"
"august","8","9","4615","2003-08-09"
"august","9","10","7630","2003-08-10"
"august","11","12","5898","2003-08-12"
"august","12","13","5452","2003-08-13"
"august","13","14","4215","2003-08-14"
"august","16","17","4767","2003-08-17"
"august","18","19","2532","2003-08-19"
"august","20","21","7141","2003-08-21"
"august","22","23","6134","2003-08-23"
"august","24","25","10949","2003-08-25"
"august","25","26","3053","2003-08-26"
"august","27","28","2720","2003-08-28"
"september","0","1","2882","2003-09-01"
"september","1","2","8523","2003-09-02"
"september","3","4","1344","2003-09-04"
"september","5","6","3606","2003-09-06"
"september","6","7","1749","2003-09-07"
"september","9","10","3879","2003-09-10"
"september","11","12","2367","2003-09-12"
"september","12","13","3081","2003-09-13"
"september","15","16","4933","2003-09-16"
"september","16","17","2430","2003-09-17"
"september","17","18","6470","2003-09-18"
"september","20","21","7801","2003-09-21"
"september","21","22","1770","2003-09-22"
"september","24","25","1834","2003-09-25"
"september","25","26","4381","2003-09-26"
"september","27","28","6294","2003-09-28"
"october","0","1","3767","2003-10-01"
"october","2","3","2271","2003-10-03"
"october","5","6","2291","2003-10-06"
"october","7","8","6155","2003-10-08"
"october","9","10","5429","2003-10-10"
"october","10","11","2452","2003-10-11"
"october","11","12","2076","2003-10-12"
"october","12","13","4955","2003-10-13"
"october","13","14","2054","2003-10-14"
"october","14","15","3779","2003-10-15"
"october","16","17","2458","2003-10-17"
"october","18","19","2490","2003-10-19"
"october","20","21","2835","2003-10-21"
"october","23","24","4840","2003-10-24"
"october","24","25","2782","2003-10-25"
"october","26","27","2174","2003-10-27"
"october","27","28","7054","2003-10-28"
"october","29","30","7805","2003-10-30"
"november","1","2","2511","2003-11-02"
"november","2","3","8655","2003-11-03"
"november","3","4","2543","2003-11-04"
"november","5","6","3388","2003-11-06"
"november","8","9","2908","2003-11-09"
"november","9","10","3852","2003-11-10"
"november","10","11","5627","2003-11-11"
"november","11","12","5970","2003-11-12"
"november","13","14","3990","2003-11-14"
"november","14","15","2729","2003-11-15"
"november","15","16","10076","2003-11-16"
"november","18","19","5698","2003-11-19"
"november","19","20","5835","2003-11-20"
"november","20","21","4195","2003-11-21"
"november","21","22","2564","2003-11-22"
"november","23","24","3974","2003-11-24"
"november","24","25","7812","2003-11-25"
"november","28","29","7358","2003-11-29"
"december","1","2","7281","2003-12-02"
"december","3","4","2829","2003-12-04"
"december","4","5","9720","2003-12-05"
"december","5","6","7145","2003-12-06"
"december","6","7","3548","2003-12-07"
"december","9","10","4928","2003-12-10"
"december","12","13","7966","2003-12-13"
"december","13","14","7663","2003-12-14"
"december","15","16","8648","2003-12-16"
"december","19","20","12589","2003-12-20"
"december","20","21","13580","2003-12-21"
"december","26","27","8789","2003-12-27"
"december","27","28","3464","2003-12-28"
"december","28","29","4298","2003-12-29"
"december","29","30","8965","2003-12-30"
"december","30","31","2037","2003-12-31"
