"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","CLT","353","1284","50","14"
"ABE","DTW","731","1760","77","10"
"ABE","PIT","1006","-2630","58","5"
"ABI","DFW","2437","-189","198","8"
"ABQ","AMA","691","6031","133","19"
"ABQ","ATL","727","5059","145","19"
"ABQ","BWI","365","-1628","36","9"
"ABQ","CVG","727","6727","148","20"
"ABQ","DAL","2050","9449","305","14"
"ABQ","DEN","2187","-2352","139","6"
"ABQ","DFW","2604","2486","273","10"
"ABQ","ELP","1333","10023","242","18"
"ABQ","HOU","730","3102","118","16"
"ABQ","IAH","1625","-602","124","7"
"ABQ","LAS","2051","13479","361","17"
"ABQ","LAX","2650","-8328","263","9"
"ABQ","LBB","694","3681","106","15"
"ABQ","MAF","365","698","27","7"
"ABQ","MCI","1058","1658","137","12"
"ABQ","MCO","728","-2735","63","8"
"ABQ","MDW","365","-6216","7","1"
"ABQ","MSP","798","-195","99","12"
"ABQ","OAK","705","2494","99","14"
"ABQ","ORD","650","-1121","68","10"
"ABQ","PDX","365","-3273","18","4"
"ABQ","PHX","7002","-12880","635","9"
"ABQ","SAN","1420","4534","218","15"
"ABQ","SEA","365","867","54","14"
"ABQ","SLC","634","3478","117","18"
"ABQ","STL","1931","-1889","202","10"
"ABQ","TPA","365","1446","77","21"
"ABQ","TUS","1055","6704","188","17"
"ACT","DFW","2390","-8754","124","5"
"ADQ","ANC","726","2422","84","11"
"AKN","ANC","174","363","26","14"
"AKN","DLG","148","546","19","12"
"ALB","ATL","1079","9872","252","23"
"ALB","BOS","95","-495","7","7"
"ALB","BWI","2386","9495","309","12"
"ALB","CLT","718","2957","132","18"
"ALB","CVG","720","2589","98","13"
"ALB","DTW","1431","2104","196","13"
"ALB","JFK","1241","4391","170","13"
"ALB","LAS","365","2881","115","31"
"ALB","MCO","730","-2363","63","8"
"ALB","ORD","1955","11304","347","17"
"ALB","PHL","1786","1106","253","14"
"ALB","PIT","1454","2713","186","12"
"AMA","ABQ","670","3600","79","11"
"AMA","DAL","2679","21317","443","16"
"AMA","DFW","2606","-98","311","11"
"AMA","LAS","365","-1164","8","2"
"ANC","ADQ","726","3338","108","14"
"ANC","AKN","322","1295","56","17"
"ANC","ATL","100","110","18","18"
"ANC","BET","1399","5688","215","15"
"ANC","CDV","363","4111","90","24"
"ANC","DEN","139","-238","19","13"
"ANC","DLG","160","490","20","12"
"ANC","DTW","207","2898","50","24"
"ANC","DUT","738","4318","138","18"
"ANC","EWR","84","5","6","7"
"ANC","FAI","3691","20335","663","17"
"ANC","IAH","122","1375","25","20"
"ANC","JNU","1182","5982","189","15"
"ANC","LAX","339","-1434","36","10"
"ANC","MSP","1091","-1440","151","13"
"ANC","OME","607","947","66","10"
"ANC","ORD","557","454","91","16"
"ANC","OTZ","838","6103","155","18"
"ANC","PDX","585","4069","135","23"
"ANC","SCC","368","1542","44","11"
"ANC","SEA","6448","19193","1165","18"
"ANC","SFO","181","2366","60","33"
"ANC","SLC","847","-865","101","11"
"ATL","ABQ","728","8704","211","28"
"ATL","ALB","1074","10950","252","23"
"ATL","ANC","100","1358","28","28"
"ATL","AUS","2113","11120","355","16"
"ATL","BDL","2352","17321","434","18"
"ATL","BHM","2871","21251","520","18"
"ATL","BNA","2892","24698","572","19"
"ATL","BOS","4329","34253","902","20"
"ATL","BTR","1044","7231","187","17"
"ATL","BUF","1647","21761","432","26"
"ATL","BWI","4058","35573","809","19"
"ATL","CAE","1784","6452","218","12"
"ATL","CAK","327","634","46","14"
"ATL","CHS","2146","14415","364","16"
"ATL","CLE","1377","11857","290","21"
"ATL","CLT","4651","20472","686","14"
"ATL","CMH","2431","15906","398","16"
"ATL","COS","843","7807","208","24"
"ATL","CVG","3139","30064","648","20"
"ATL","DAB","1431","15648","348","24"
"ATL","DAY","1921","16075","370","19"
"ATL","DCA","4750","24743","774","16"
"ATL","DEN","4534","26501","881","19"
"ATL","DFW","8377","64372","1701","20"
"ATL","DTW","5395","32759","962","17"
"ATL","EGE","108","1065","26","24"
"ATL","ELP","680","4443","148","21"
"ATL","EWR","6702","41986","1230","18"
"ATL","FLL","4032","39655","920","22"
"ATL","GSO","2899","22752","575","19"
"ATL","GSP","1703","8501","261","15"
"ATL","HOU","2110","17938","427","20"
"ATL","HSV","1517","10193","235","15"
"ATL","IAD","4409","35935","846","19"
"ATL","IAH","4365","40416","986","22"
"ATL","IND","2398","14421","381","15"
"ATL","JAC","6","52","2","33"
"ATL","JAN","1777","22055","453","25"
"ATL","JAX","3607","39531","810","22"
"ATL","JFK","734","10766","226","30"
"ATL","LAS","2322","27688","746","32"
"ATL","LAX","2753","28672","807","29"
"ATL","LEX","836","9147","181","21"
"ATL","LGA","5722","60987","1418","24"
"ATL","LIT","1672","13558","321","19"
"ATL","MCI","2940","18931","513","17"
"ATL","MCO","4633","57154","1236","26"
"ATL","MDW","1296","7096","240","18"
"ATL","MEM","4013","42515","950","23"
"ATL","MHT","935","5889","160","17"
"ATL","MIA","5040","50696","1224","24"
"ATL","MKE","1263","10146","238","18"
"ATL","MLB","1337","13252","274","20"
"ATL","MLU","91","93","7","7"
"ATL","MOB","2019","15036","354","17"
"ATL","MSP","4254","20585","812","19"
"ATL","MSY","3425","32286","705","20"
"ATL","OAK","609","8231","198","32"
"ATL","OKC","1082","9817","229","21"
"ATL","OMA","727","5538","149","20"
"ATL","ONT","573","7367","178","31"
"ATL","ORD","8534","70112","2005","23"
"ATL","ORF","2840","18154","481","16"
"ATL","PBI","2565","22865","510","19"
"ATL","PDX","730","5749","189","25"
"ATL","PHL","5895","63198","1438","24"
"ATL","PHX","3621","24008","772","21"
"ATL","PIT","3707","20121","587","15"
"ATL","PNS","2151","18748","425","19"
"ATL","PSP","30","-129","2","6"
"ATL","PVD","1664","8537","262","15"
"ATL","PWM","727","3995","129","17"
"ATL","RDU","3655","29867","707","19"
"ATL","RIC","2553","17485","426","16"
"ATL","ROC","728","9524","198","27"
"ATL","RSW","2732","28641","607","22"
"ATL","SAN","1647","14040","402","24"
"ATL","SAT","2004","21220","485","24"
"ATL","SAV","3099","24046","529","17"
"ATL","SDF","2148","21489","504","23"
"ATL","SEA","1355","8693","333","24"
"ATL","SFO","2324","28613","731","31"
"ATL","SHV","962","6471","165","17"
"ATL","SJC","718","6022","192","26"
"ATL","SJU","1596","10365","285","17"
"ATL","SLC","2674","24010","674","25"
"ATL","SMF","941","9338","262","27"
"ATL","SNA","1062","11442","313","29"
"ATL","SRQ","1971","16342","361","18"
