"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","1144","16752","357","31"
"ABE","AVP","2","41","1","50"
"ABE","CLE","1086","-6204","63","5"
"ABE","CLT","364","-4129","17","4"
"ABE","CVG","965","37","97","10"
"ABE","JFK","4","75","1","25"
"ABE","LGA","2","166","2","100"
"ABE","ORD","1615","20958","387","23"
"ABI","DFW","2844","6259","297","10"
"ABQ","AMA","688","5362","150","21"
"ABQ","ATL","1250","7878","194","15"
"ABQ","BWI","365","-2781","18","4"
"ABQ","CLE","10","54","1","10"
"ABQ","CVG","595","-606","49","8"
"ABQ","DAL","2134","7865","318","14"
"ABQ","DEN","2956","12833","448","15"
"ABQ","DFW","2872","5015","342","11"
"ABQ","ELP","992","5564","163","16"
"ABQ","EWR","38","327","16","42"
"ABQ","HOU","1001","707","159","15"
"ABQ","IAD","117","659","25","21"
"ABQ","IAH","2343","11635","356","15"
"ABQ","LAS","2333","13251","412","17"
"ABQ","LAX","2430","2091","340","13"
"ABQ","LBB","363","2405","48","13"
"ABQ","MAF","365","3298","85","23"
"ABQ","MCI","743","1824","103","13"
"ABQ","MCO","728","88","106","14"
"ABQ","MDW","729","1928","119","16"
"ABQ","MSP","713","2065","89","12"
"ABQ","OAK","1020","1067","149","14"
"ABQ","ORD","818","10873","197","24"
"ABQ","PDX","364","1708","67","18"
"ABQ","PHX","5637","21126","821","14"
"ABQ","SAN","1071","2813","162","15"
"ABQ","SEA","365","-3489","24","6"
"ABQ","SFO","730","6094","176","24"
"ABQ","SLC","2046","10098","324","15"
"ABQ","STL","365","2596","81","22"
"ABQ","TPA","364","501","42","11"
"ABQ","TUS","717","4377","124","17"
"ABY","ATL","1369","19407","340","24"
"ACK","EWR","235","7970","102","43"
"ACT","DFW","2458","-2789","201","8"
"ACV","CEC","559","2570","116","20"
"ACV","SFO","2474","39246","727","29"
"ACV","SMF","630","4504","125","19"
"ACY","ATL","265","8166","133","50"
"ACY","CVG","452","-4990","27","5"
"ACY","LGA","4","293","3","75"
"ACY","MCO","44","479","7","15"
"ADK","AKN","103","2705","48","46"
"ADQ","ANC","602","3591","113","18"
"AEX","ATL","1000","19606","350","35"
"AEX","DFW","53","1225","18","33"
"AEX","IAH","1756","8824","293","16"
"AGS","ATL","2316","28893","606","26"
"AGS","CLT","16","378","5","31"
"AKN","ADK","103","1332","32","31"
"AKN","ANC","220","4536","104","47"
"AKN","DLG","41","289","8","19"
"ALB","ATL","1569","16037","448","28"
"ALB","BWI","2409","16875","420","17"
"ALB","CLE","1173","14535","288","24"
"ALB","CLT","657","4109","146","22"
"ALB","CVG","993","-568","126","12"
"ALB","DCA","498","2394","72","14"
"ALB","DTW","1068","4032","171","16"
"ALB","EWR","1385","18223","367","26"
"ALB","JFK","42","2145","30","71"
"ALB","LAS","365","-2948","44","12"
"ALB","MCO","1106","-9272","92","8"
"ALB","MDW","727","206","105","14"
"ALB","ORD","2177","28823","562","25"
"ALB","PHL","441","5266","114","25"
"ALB","TPA","64","-636","5","7"
"AMA","ABQ","707","1466","83","11"
"AMA","DAL","2641","12764","338","12"
"AMA","DFW","3146","16460","496","15"
"AMA","IAH","1635","14050","282","17"
"AMA","LAS","365","288","57","15"
"ANC","ADQ","602","2338","96","15"
"ANC","AKN","261","2368","55","21"
"ANC","ATL","109","2918","53","48"
"ANC","BET","1144","6084","198","17"
"ANC","CDV","363","3578","82","22"
"ANC","CVG","68","-503","5","7"
"ANC","DEN","622","1050","85","13"
"ANC","DFW","153","1986","32","20"
"ANC","DLG","176","1916","48","27"
"ANC","DTW","75","-651","5","6"
"ANC","FAI","3349","20988","641","19"
"ANC","IAH","201","4342","71","35"
"ANC","JNU","1190","10204","255","21"
"ANC","LAS","280","3215","87","31"
"ANC","LAX","330","1178","63","19"
"ANC","MSP","813","6101","160","19"
"ANC","OGG","56","988","22","39"
"ANC","OME","370","1161","56","15"
"ANC","ORD","650","8175","196","30"
"ANC","OTZ","723","7361","164","22"
"ANC","PDX","561","3812","132","23"
"ANC","PHX","364","3033","88","24"
"ANC","SCC","352","3129","72","20"
"ANC","SEA","6533","52308","1479","22"
"ANC","SFO","166","2217","53","31"
"ANC","SLC","464","1749","82","17"
"APF","ATL","796","4470","160","20"
"ASE","DEN","3004","26947","598","19"
"ASE","LAX","66","1735","32","48"
"ASE","ORD","36","2407","23","63"
"ASE","PHX","313","4651","88","28"
"ASE","SFO","9","690","7","77"
"ASE","SLC","305","4939","78","25"
"ATL","ABE","1096","26153","458","41"
"ATL","ABQ","1247","16281","359","28"
"ATL","ABY","1363","17417","378","27"
"ATL","ACY","265","4879","100","37"
"ATL","AEX","958","18021","351","36"
"ATL","AGS","2299","36502","705","30"
"ATL","ALB","1648","30261","604","36"
"ATL","ANC","109","2265","49","44"
"ATL","APF","740","8278","196","26"
"ATL","ATW","966","20834","399","41"
"ATL","AUS","2189","24034","559","25"
"ATL","AVL","1961","30177","620","31"
"ATL","AVP","862","16994","326","37"
"ATL","AZO","318","4714","114","35"
"ATL","BDL","2510","22597","584","23"
"ATL","BGM","393","4990","107","27"
"ATL","BGR","186","2978","78","41"
"ATL","BHM","2953","31770","746","25"
"ATL","BMI","1979","29711","621","31"
"ATL","BNA","2687","31591","678","25"
"ATL","BOI","231","2691","57","24"
"ATL","BOS","5692","73277","1569","27"
"ATL","BQK","1044","16590","341","32"
"ATL","BQN","113","1665","36","31"
"ATL","BTR","2069","45191","803","38"
"ATL","BTV","664","11443","231","34"
"ATL","BUF","3641","46181","982","26"
"ATL","BUR","90","1444","34","37"
"ATL","BWI","6192","76547","1622","26"
"ATL","BZN","41","-475","5","12"
"ATL","CAE","2589","42603","875","33"
"ATL","CAK","3372","42633","943","27"
"ATL","CHA","1677","25606","493","29"
"ATL","CHO","1067","12312","274","25"
"ATL","CHS","3077","28535","717","23"
"ATL","CID","180","6472","91","50"
"ATL","CLE","3916","51332","1124","28"
"ATL","CLT","5021","65847","1433","28"
"ATL","CMH","1777","12524","334","18"
"ATL","CMI","228","2878","66","28"
"ATL","COS","473","4200","114","24"
"ATL","CRP","690","12464","241","34"
"ATL","CRW","1616","26501","533","32"
"ATL","CSG","1335","14939","331","24"
"ATL","CVG","2507","23024","545","21"
"ATL","DAB","2168","33101","693","31"
"ATL","DAY","3856","49441","1057","27"
"ATL","DCA","7260","76036","1786","24"
"ATL","DEN","6130","64250","1552","25"
"ATL","DFW","9744","104051","2545","26"
"ATL","DHN","1699","27254","546","32"
"ATL","DSM","1140","24167","476","41"
"ATL","DTW","6761","80833","1831","27"
"ATL","EGE","103","992","28","27"
"ATL","ELP","849","5131","200","23"
"ATL","ERI","259","-620","46","17"
"ATL","EVV","811","10144","255","31"
"ATL","EWR","8356","168352","2855","34"
"ATL","EYW","978","16130","343","35"
"ATL","FAY","1646","33588","636","38"
"ATL","FLL","6619","68706","1697","25"
"ATL","FLO","729","11731","227","31"
"ATL","FNT","3083","39688","862","27"
"ATL","FSD","147","3335","68","46"
"ATL","FWA","583","9650","197","33"
"ATL","GNV","1999","33473","697","34"
"ATL","GPT","2971","37742","819","27"
"ATL","GRB","306","5177","105","34"
"ATL","GRK","199","4155","79","39"
"ATL","GRR","1366","21199","417","30"
"ATL","GSO","2675","31130","671","25"
"ATL","GSP","2003","21539","504","25"
"ATL","GTR","893","9696","249","27"
"ATL","HDN","24","-30","2","8"
"ATL","HKY","41","327","8","19"
"ATL","HNL","667","6154","181","27"
"ATL","HOU","3637","32899","914","25"
"ATL","HPN","2244","35399","704","31"
"ATL","HSV","2318","27826","591","25"
"ATL","IAD","6063","59470","1409","23"
"ATL","IAH","5474","76733","1563","28"
"ATL","ICT","2871","45607","924","32"
"ATL","ILG","347","6525","132","38"
"ATL","ILM","1692","27576","599","35"
"ATL","IND","4017","43809","986","24"
"ATL","ISO","706","15815","253","35"
"ATL","ISP","479","10652","207","43"
"ATL","JAC","58","677","19","32"
"ATL","JAN","2286","26507","603","26"
"ATL","JAX","5374","48141","1249","23"
"ATL","JFK","2132","40091","816","38"
"ATL","LAN","561","7759","164","29"
"ATL","LAS","4429","64453","1526","34"
"ATL","LAX","5191","69345","1748","33"
"ATL","LEX","1677","24925","499","29"
"ATL","LFT","1123","20302","402","35"
"ATL","LGA","10459","196422","3756","35"
"ATL","LIT","1797","22254","510","28"
"ATL","LWB","194","1786","46","23"
"ATL","LYH","1022","13804","313","30"
"ATL","MCI","4127","46602","1054","25"
"ATL","MCN","1075","26214","443","41"
"ATL","MCO","8744","90780","2075","23"
"ATL","MDT","1804","31878","666","36"
"ATL","MDW","5830","87177","1821","31"
"ATL","MEI","983","14414","310","31"
"ATL","MEM","5826","69730","1491","25"
"ATL","MFE","601","8589","199","33"
"ATL","MGM","2189","32341","674","30"
"ATL","MHT","1539","34594","611","39"
"ATL","MIA","6780","61263","1519","22"
"ATL","MKE","3609","62005","1207","33"
"ATL","MLB","1841","22536","503","27"
"ATL","MLI","2329","36048","731","31"
"ATL","MLU","1220","22023","418","34"
"ATL","MOB","2105","33067","661","31"
"ATL","MSN","722","9870","214","29"
"ATL","MSP","6213","65914","1640","26"
"ATL","MSY","4277","36591","960","22"
"ATL","MYR","2799","39807","816","29"
"ATL","OAJ","43","250","9","20"
"ATL","OAK","822","6455","218","26"
"ATL","OGG","160","1031","49","30"
"ATL","OKC","1463","17677","419","28"
"ATL","OMA","1843","33009","681","36"
"ATL","ONT","1023","9114","266","26"
"ATL","ORD","7632","120228","2329","30"
"ATL","ORF","2564","34917","712","27"
"ATL","PBI","4186","36301","967","23"
"ATL","PDX","1296","13301","391","30"
"ATL","PFN","2522","49710","945","37"
"ATL","PHF","3456","41375","870","25"
"ATL","PHL","5679","90440","1796","31"
"ATL","PHX","3691","28507","918","24"
"ATL","PIA","1002","12457","260","25"
"ATL","PIT","4180","46195","1060","25"
"ATL","PNS","4398","52264","1199","27"
"ATL","PSE","48","1055","22","45"
"ATL","PSP","114","408","27","23"
"ATL","PVD","1523","20160","455","29"
"ATL","PWM","1351","23465","516","38"
"ATL","RDU","5527","58193","1322","23"
"ATL","RIC","4782","59622","1292","27"
"ATL","RNO","365","7129","128","35"
"ATL","ROA","1621","27098","550","33"
"ATL","ROC","3039","41071","904","29"
"ATL","RSW","3828","42979","1035","27"
"ATL","SAN","2259","21549","629","27"
"ATL","SAT","2595","31173","773","29"
"ATL","SAV","4353","43947","1077","24"
"ATL","SBN","293","3488","87","29"
"ATL","SDF","2098","28647","633","30"
"ATL","SEA","2198","30917","773","35"
"ATL","SFO","3319","40608","1030","31"
"ATL","SGF","878","17161","313","35"
"ATL","SHV","1925","32354","667","34"
"ATL","SJC","908","8920","287","31"
"ATL","SJU","1392","8210","272","19"
"ATL","SLC","2531","26695","705","27"
"ATL","SMF","1039","10644","286","27"
"ATL","SNA","1337","8179","341","25"
"ATL","SOP","124","1615","44","35"
"ATL","SRQ","3313","33714","838","25"
"ATL","STL","2611","27740","654","25"
"ATL","STT","359","200","41","11"
"ATL","STX","89","1577","43","48"
"ATL","SYR","1693","24183","544","32"
"ATL","TLH","2091","27823","584","27"
"ATL","TOL","1046","10958","254","24"
"ATL","TPA","6487","68874","1552","23"
"ATL","TRI","1247","14655","336","26"
"ATL","TTN","17","182","4","23"
"ATL","TUL","1822","35430","677","37"
"ATL","TUP","733","6255","162","22"
"ATL","TUS","862","11293","259","30"
"ATL","TVC","86","677","19","22"
"ATL","TYS","1806","25508","565","31"
"ATL","VLD","1134","16741","364","32"
"ATL","VPS","2842","52453","984","34"
"ATL","XNA","1464","16522","398","27"
"ATW","ATL","957","12136","264","27"
"ATW","CVG","987","-515","133","13"
"ATW","ORD","2402","33831","553","23"
"AUS","ABQ","1","29","1","100"
"AUS","ATL","2126","21557","486","22"
"AUS","BNA","1007","-4025","70","6"
"AUS","BOS","345","4470","90","26"
"AUS","BWI","730","-5097","63","8"
"AUS","CLE","523","-1527","34","6"
"AUS","CVG","852","13568","304","35"
"AUS","DAL","5633","25603","774","13"
"AUS","DEN","2438","5733","318","13"
"AUS","DFW","5204","32558","836","16"
"AUS","ELP","1331","4205","179","13"
"AUS","EWR","749","16725","275","36"
"AUS","HOU","2822","13606","422","14"
"AUS","HRL","365","1581","45","12"
"AUS","IAD","819","14106","258","31"
"AUS","IAH","3686","35470","720","19"
"AUS","JFK","1036","13274","263","25"
"AUS","LAS","1355","-921","159","11"
"AUS","LAX","1429","7654","273","19"
"AUS","LBB","712","4776","131","18"
"AUS","MAF","659","1833","70","10"
"AUS","MCO","365","-637","48","13"
"AUS","MDW","365","-2245","10","2"
"AUS","MEM","257","2247","36","14"
"AUS","MSP","540","5440","87","16"
"AUS","ORD","2979","44484","818","27"
"AUS","PHX","2808","3709","326","11"
"AUS","RDU","729","7229","187","25"
"AUS","SAN","677","1215","119","17"
"AUS","SFO","365","121","43","11"
"AUS","SJC","1037","9844","220","21"
"AUS","SLC","273","561","39","14"
"AUS","TPA","365","3615","101","27"
"AVL","ATL","1940","28443","554","28"
"AVL","CLT","18","22","2","11"
"AVL","CVG","174","763","16","9"
"AVL","EWR","582","12593","209","35"
"AVL","IAH","367","-1204","35","9"
"AVP","ABE","1","122","1","100"
"AVP","ATL","873","14000","299","34"
"AVP","BDL","1","26","1","100"
"AVP","CVG","986","-3633","88","8"
"AVP","JFK","4","119","2","50"
"AVP","LGA","3","367","3","100"
"AVP","ORD","723","19675","234","32"
"AZO","ATL","365","-1564","55","15"
"AZO","CVG","1108","-7427","56","5"
"AZO","DTW","600","-275","68","11"
"AZO","ORD","2741","26092","518","18"
"BDL","ATL","2494","12024","527","21"
"BDL","BNA","365","-1106","32","8"
"BDL","BOS","1","40","1","100"
"BDL","BWI","3100","21634","500","16"
"BDL","CLE","1232","425","174","14"
"BDL","CLT","1687","15586","442","26"
"BDL","CMH","76","2392","38","50"
"BDL","CVG","1273","-557","155","12"
"BDL","DCA","1005","2032","141","14"
"BDL","DFW","1081","4839","186","17"
"BDL","DTW","1387","8151","260","18"
"BDL","EWR","1350","15076","340","25"
"BDL","FLL","715","1191","106","14"
"BDL","IAD","1006","-2293","143","14"
"BDL","IAH","223","954","35","15"
"BDL","JFK","1","34","1","100"
"BDL","LAS","472","2450","125","26"
"BDL","LAX","295","847","71","24"
"BDL","MCO","2096","-5494","269","12"
"BDL","MDW","1029","4250","195","18"
"BDL","MHT","1","133","1","100"
"BDL","MIA","365","-330","30","8"
"BDL","MSP","1051","-1925","160","15"
"BDL","ORD","3838","43281","891","23"
"BDL","PBI","365","919","59","16"
"BDL","PHL","2216","30978","655","29"
"BDL","PHX","363","2548","69","19"
"BDL","PIT","81","-79","9","11"
"BDL","RDU","1359","6844","240","17"
"BDL","RSW","368","2483","92","25"
"BDL","SJU","365","1089","63","17"
"BDL","SLC","215","-1026","32","14"
"BDL","TPA","1405","9165","288","20"
"BET","ANC","1145","11415","268","23"
