"flightmonth","dayfrom","dayto","number_of_delays","flightdate"
"january",0,1,"3326","1999-01-01"
"january",1,2,"4455","1999-01-02"
"january",2,3,"6803","1999-01-03"
"january",3,4,"6804","1999-01-04"
"january",4,5,"5273","1999-01-05"
"january",5,6,"5448","1999-01-06"
"january",6,7,"4318","1999-01-07"
"january",7,8,"6050","1999-01-08"
"january",8,9,"3589","1999-01-09"
"january",9,10,"3029","1999-01-10"
"january",10,11,"3340","1999-01-11"
"january",11,12,"2699","1999-01-12"
"january",12,13,"4048","1999-01-13"
"january",13,14,"4677","1999-01-14"
"january",14,15,"5216","1999-01-15"
"january",15,16,"1718","1999-01-16"
"january",16,17,"3008","1999-01-17"
"january",17,18,"4158","1999-01-18"
"january",18,19,"1648","1999-01-19"
"january",19,20,"3443","1999-01-20"
"january",20,21,"4604","1999-01-21"
"january",21,22,"4927","1999-01-22"
"january",22,23,"3180","1999-01-23"
"january",23,24,"2554","1999-01-24"
"january",24,25,"1901","1999-01-25"
"january",25,26,"1889","1999-01-26"
"january",26,27,"1895","1999-01-27"
"january",27,28,"2952","1999-01-28"
"january",28,29,"2916","1999-01-29"
"january",29,30,"1548","1999-01-30"
"january",30,31,"2465","1999-01-31"
"february",0,1,"3280","1999-02-01"
"february",1,2,"2919","1999-02-02"
"february",2,3,"1482","1999-02-03"
"february",3,4,"2434","1999-02-04"
"february",4,5,"2449","1999-02-05"
"february",5,6,"1736","1999-02-06"
"february",6,7,"3100","1999-02-07"
"february",7,8,"2966","1999-02-08"
"february",8,9,"2011","1999-02-09"
"february",9,10,"2008","1999-02-10"
"february",10,11,"4611","1999-02-11"
"february",11,12,"5141","1999-02-12"
"february",12,13,"1997","1999-02-13"
"february",13,14,"1441","1999-02-14"
"february",14,15,"1186","1999-02-15"
"february",15,16,"2180","1999-02-16"
"february",16,17,"2082","1999-02-17"
"february",17,18,"3523","1999-02-18"
"february",18,19,"2398","1999-02-19"
"february",19,20,"1586","1999-02-20"
"february",20,21,"1867","1999-02-21"
"february",21,22,"1829","1999-02-22"
"february",22,23,"2037","1999-02-23"
"february",23,24,"2421","1999-02-24"
"february",24,25,"2596","1999-02-25"
"february",25,26,"2582","1999-02-26"
"february",26,27,"2079","1999-02-27"
"february",27,28,"3277","1999-02-28"
"march",0,1,"1440","1999-03-01"
"march",1,2,"1497","1999-03-02"
"march",2,3,"3915","1999-03-03"
"march",3,4,"2759","1999-03-04"
"march",4,5,"2757","1999-03-05"
"march",5,6,"3687","1999-03-06"
"march",6,7,"3513","1999-03-07"
"march",7,8,"4883","1999-03-08"
"march",8,9,"4369","1999-03-09"
"march",9,10,"2144","1999-03-10"
"march",10,11,"3062","1999-03-11"
"march",11,12,"4468","1999-03-12"
"march",12,13,"2351","1999-03-13"
"march",13,14,"5158","1999-03-14"
"march",14,15,"3348","1999-03-15"
"march",15,16,"2053","1999-03-16"
"march",16,17,"2242","1999-03-17"
"march",17,18,"3275","1999-03-18"
"march",18,19,"2860","1999-03-19"
"march",19,20,"1339","1999-03-20"
"march",20,21,"3065","1999-03-21"
"march",21,22,"1764","1999-03-22"
"march",22,23,"1317","1999-03-23"
"march",23,24,"2048","1999-03-24"
"march",24,25,"2464","1999-03-25"
"march",25,26,"2524","1999-03-26"
"march",26,27,"2100","1999-03-27"
"march",27,28,"1859","1999-03-28"
"march",28,29,"1558","1999-03-29"
"march",29,30,"1809","1999-03-30"
"march",30,31,"2875","1999-03-31"
"april",0,1,"3775","1999-04-01"
"april",1,2,"2617","1999-04-02"
"april",2,3,"2904","1999-04-03"
"april",3,4,"2065","1999-04-04"
"april",4,5,"3540","1999-04-05"
"april",5,6,"3356","1999-04-06"
"april",6,7,"2612","1999-04-07"
"april",7,8,"4086","1999-04-08"
"april",8,9,"5595","1999-04-09"
"april",9,10,"2763","1999-04-10"
"april",10,11,"5067","1999-04-11"
"april",11,12,"2495","1999-04-12"
"april",12,13,"1968","1999-04-13"
"april",13,14,"3286","1999-04-14"
"april",14,15,"4303","1999-04-15"
"april",15,16,"4980","1999-04-16"
"april",16,17,"1913","1999-04-17"
"april",17,18,"1581","1999-04-18"
"april",18,19,"1319","1999-04-19"
"april",19,20,"1487","1999-04-20"
"april",20,21,"2100","1999-04-21"
"april",21,22,"4504","1999-04-22"
"april",22,23,"5561","1999-04-23"
"april",23,24,"1763","1999-04-24"
"april",24,25,"2651","1999-04-25"
"april",25,26,"4014","1999-04-26"
"april",26,27,"2760","1999-04-27"
"april",27,28,"3469","1999-04-28"
"april",28,29,"3438","1999-04-29"
"april",29,30,"2897","1999-04-30"
"may",0,1,"1454","1999-05-01"
"may",1,2,"3482","1999-05-02"
"may",2,3,"2417","1999-05-03"
"may",3,4,"3596","1999-05-04"
"may",4,5,"3813","1999-05-05"
"may",5,6,"4631","1999-05-06"
"may",6,7,"4747","1999-05-07"
"may",7,8,"1851","1999-05-08"
"may",8,9,"1835","1999-05-09"
"may",9,10,"3841","1999-05-10"
"may",10,11,"2123","1999-05-11"
"may",11,12,"4372","1999-05-12"
"may",12,13,"3679","1999-05-13"
"may",13,14,"3004","1999-05-14"
"may",14,15,"1705","1999-05-15"
"may",15,16,"2823","1999-05-16"
"may",16,17,"3960","1999-05-17"
"may",17,18,"3476","1999-05-18"
"may",18,19,"3188","1999-05-19"
"may",19,20,"3158","1999-05-20"
"may",20,21,"2568","1999-05-21"
"may",21,22,"1545","1999-05-22"
"may",22,23,"3902","1999-05-23"
"may",23,24,"3960","1999-05-24"
"may",24,25,"3048","1999-05-25"
"may",25,26,"3116","1999-05-26"
"may",26,27,"2933","1999-05-27"
"may",27,28,"2947","1999-05-28"
"may",28,29,"1877","1999-05-29"
"may",29,30,"1260","1999-05-30"
"may",30,31,"2528","1999-05-31"
"june",0,1,"3300","1999-06-01"
"june",1,2,"3458","1999-06-02"
"june",2,3,"2691","1999-06-03"
"june",3,4,"4101","1999-06-04"
"june",4,5,"1593","1999-06-05"
"june",5,6,"3397","1999-06-06"
"june",6,7,"2558","1999-06-07"
"june",7,8,"2941","1999-06-08"
"june",8,9,"3661","1999-06-09"
"june",9,10,"5571","1999-06-10"
"june",10,11,"6192","1999-06-11"
"june",11,12,"4543","1999-06-12"
"june",12,13,"5805","1999-06-13"
"june",13,14,"4352","1999-06-14"
"june",14,15,"3233","1999-06-15"
"june",15,16,"3806","1999-06-16"
"june",16,17,"3551","1999-06-17"
"june",17,18,"2981","1999-06-18"
"june",18,19,"2051","1999-06-19"
"june",19,20,"2910","1999-06-20"
"june",20,21,"3220","1999-06-21"
"june",21,22,"3905","1999-06-22"
"june",22,23,"3408","1999-06-23"
"june",23,24,"4775","1999-06-24"
"june",24,25,"5036","1999-06-25"
"june",25,26,"3298","1999-06-26"
"june",26,27,"4607","1999-06-27"
"june",27,28,"5949","1999-06-28"
"june",28,29,"4322","1999-06-29"
"june",29,30,"3802","1999-06-30"
"july",0,1,"6174","1999-07-01"
"july",1,2,"5351","1999-07-02"
"july",2,3,"2427","1999-07-03"
"july",3,4,"779","1999-07-04"
"july",4,5,"2666","1999-07-05"
"july",5,6,"5218","1999-07-06"
"july",6,7,"4097","1999-07-07"
"july",7,8,"3402","1999-07-08"
"july",8,9,"4094","1999-07-09"
"july",9,10,"2974","1999-07-10"
"july",10,11,"3389","1999-07-11"
"july",11,12,"2832","1999-07-12"
"july",12,13,"2105","1999-07-13"
"july",13,14,"2559","1999-07-14"
"july",14,15,"2921","1999-07-15"
"july",15,16,"3535","1999-07-16"
"july",16,17,"3501","1999-07-17"
"july",17,18,"4197","1999-07-18"
"july",18,19,"4164","1999-07-19"
"july",19,20,"3214","1999-07-20"
"july",20,21,"4593","1999-07-21"
"july",21,22,"5007","1999-07-22"
"july",22,23,"4890","1999-07-23"
"july",23,24,"4595","1999-07-24"
"july",24,25,"3730","1999-07-25"
"july",25,26,"3327","1999-07-26"
"july",26,27,"2730","1999-07-27"
"july",27,28,"5050","1999-07-28"
"july",28,29,"4160","1999-07-29"
"july",29,30,"4490","1999-07-30"
"july",30,31,"3794","1999-07-31"
"august",0,1,"3741","1999-08-01"
"august",1,2,"2312","1999-08-02"
"august",2,3,"2408","1999-08-03"
"august",3,4,"3104","1999-08-04"
"august",4,5,"3996","1999-08-05"
"august",5,6,"3340","1999-08-06"
"august",6,7,"2815","1999-08-07"
"august",7,8,"3947","1999-08-08"
"august",8,9,"3518","1999-08-09"
"august",9,10,"2672","1999-08-10"
"august",10,11,"2943","1999-08-11"
"august",11,12,"4088","1999-08-12"
"august",12,13,"4736","1999-08-13"
"august",13,14,"3851","1999-08-14"
"august",14,15,"2837","1999-08-15"
"august",15,16,"2045","1999-08-16"
"august",16,17,"2438","1999-08-17"
"august",17,18,"2846","1999-08-18"
"august",18,19,"3657","1999-08-19"
"august",19,20,"4773","1999-08-20"
"august",20,21,"1891","1999-08-21"
"august",21,22,"2354","1999-08-22"
"august",22,23,"2791","1999-08-23"
"august",23,24,"4117","1999-08-24"
"august",24,25,"3170","1999-08-25"
"august",25,26,"3767","1999-08-26"
"august",26,27,"4639","1999-08-27"
"august",27,28,"1734","1999-08-28"
"august",28,29,"2505","1999-08-29"
"august",29,30,"2204","1999-08-30"
"august",30,31,"2034","1999-08-31"
"september",0,1,"1915","1999-09-01"
"september",1,2,"2006","1999-09-02"
"september",2,3,"2701","1999-09-03"
"september",3,4,"1440","1999-09-04"
"september",4,5,"1422","1999-09-05"
"september",5,6,"2621","1999-09-06"
"september",6,7,"3309","1999-09-07"
"september",7,8,"2918","1999-09-08"
"september",8,9,"3002","1999-09-09"
"september",9,10,"2997","1999-09-10"
"september",10,11,"1133","1999-09-11"
"september",11,12,"2293","1999-09-12"
"september",12,13,"2188","1999-09-13"
"september",13,14,"1621","1999-09-14"
"september",14,15,"2919","1999-09-15"
"september",15,16,"2141","1999-09-16"
"september",16,17,"3830","1999-09-17"
"september",17,18,"1370","1999-09-18"
"september",18,19,"2800","1999-09-19"
"september",19,20,"2382","1999-09-20"
"september",20,21,"2815","1999-09-21"
"september",21,22,"2069","1999-09-22"
"september",22,23,"2584","1999-09-23"
"september",23,24,"2832","1999-09-24"
"september",24,25,"1773","1999-09-25"
"september",25,26,"3200","1999-09-26"
"september",26,27,"2839","1999-09-27"
"september",27,28,"3618","1999-09-28"
"september",28,29,"3804","1999-09-29"
"september",29,30,"2577","1999-09-30"
"october",0,1,"2510","1999-10-01"
"october",1,2,"1373","1999-10-02"
"october",2,3,"3331","1999-10-03"
"october",3,4,"3827","1999-10-04"
"october",4,5,"1523","1999-10-05"
"october",5,6,"2933","1999-10-06"
"october",6,7,"2360","1999-10-07"
"october",7,8,"4379","1999-10-08"
"october",8,9,"2133","1999-10-09"
"october",9,10,"3273","1999-10-10"
"october",10,11,"2264","1999-10-11"
"october",11,12,"2294","1999-10-12"
"october",12,13,"4510","1999-10-13"
"october",13,14,"3879","1999-10-14"
"october",14,15,"2830","1999-10-15"
"october",15,16,"1975","1999-10-16"
"october",16,17,"3762","1999-10-17"
"october",17,18,"2592","1999-10-18"
"october",18,19,"2420","1999-10-19"
"october",19,20,"3162","1999-10-20"
"october",20,21,"2335","1999-10-21"
"october",21,22,"4093","1999-10-22"
"october",22,23,"1599","1999-10-23"
"october",23,24,"2316","1999-10-24"
"october",24,25,"1976","1999-10-25"
"october",25,26,"1635","1999-10-26"
"october",26,27,"1612","1999-10-27"
"october",27,28,"2063","1999-10-28"
"october",28,29,"2181","1999-10-29"
"october",29,30,"1825","1999-10-30"
"october",30,31,"1769","1999-10-31"
"november",0,1,"2537","1999-11-01"
"november",1,2,"3416","1999-11-02"
"november",2,3,"2157","1999-11-03"
"november",3,4,"2909","1999-11-04"
"november",4,5,"2613","1999-11-05"
"november",5,6,"961","1999-11-06"
"november",6,7,"2519","1999-11-07"
"november",7,8,"1625","1999-11-08"
"november",8,9,"1333","1999-11-09"
"november",9,10,"2923","1999-11-10"
"november",10,11,"2100","1999-11-11"
"november",11,12,"2792","1999-11-12"
"november",12,13,"1787","1999-11-13"
"november",13,14,"3327","1999-11-14"
"november",14,15,"2892","1999-11-15"
"november",15,16,"2479","1999-11-16"
"november",16,17,"1421","1999-11-17"
"november",17,18,"1655","1999-11-18"
"november",18,19,"3569","1999-11-19"
"november",19,20,"1798","1999-11-20"
"november",20,21,"2498","1999-11-21"
"november",21,22,"3174","1999-11-22"
"november",22,23,"4875","1999-11-23"
"november",23,24,"3058","1999-11-24"
"november",24,25,"1034","1999-11-25"
"november",25,26,"896","1999-11-26"
"november",26,27,"1395","1999-11-27"
"november",27,28,"2207","1999-11-28"
"november",28,29,"3239","1999-11-29"
"november",29,30,"2972","1999-11-30"
"december",0,1,"2131","1999-12-01"
"december",1,2,"2022","1999-12-02"
"december",2,3,"3287","1999-12-03"
"december",3,4,"2390","1999-12-04"
"december",4,5,"2757","1999-12-05"
"december",5,6,"1930","1999-12-06"
"december",6,7,"1712","1999-12-07"
"december",7,8,"1384","1999-12-08"
"december",8,9,"4089","1999-12-09"
"december",9,10,"3648","1999-12-10"
"december",10,11,"1751","1999-12-11"
"december",11,12,"2191","1999-12-12"
"december",12,13,"3264","1999-12-13"
"december",13,14,"3154","1999-12-14"
"december",14,15,"4131","1999-12-15"
"december",15,16,"3572","1999-12-16"
"december",16,17,"4269","1999-12-17"
"december",17,18,"3111","1999-12-18"
"december",18,19,"3219","1999-12-19"
"december",19,20,"4292","1999-12-20"
"december",20,21,"3806","1999-12-21"
"december",21,22,"5223","1999-12-22"
"december",22,23,"4945","1999-12-23"
"december",23,24,"1908","1999-12-24"
"december",24,25,"777","1999-12-25"
"december",25,26,"2330","1999-12-26"
"december",26,27,"3782","1999-12-27"
"december",27,28,"4172","1999-12-28"
"december",28,29,"2000","1999-12-29"
"december",29,30,"1808","1999-12-30"
"december",30,31,"721","1999-12-31"
