"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","180","1488","32","17"
"ABE","AVP","179","374","16","8"
"ABE","DTW","250","1000","26","10"
"ABE","MDT","84","13","4","4"
"ABE","ORD","178","587","27","15"
"ABE","PHL","27","87","7","25"
"ABE","PIT","360","2749","46","12"
"ABQ","AMA","237","4265","85","35"
"ABQ","DAL","309","1249","43","13"
"ABQ","DEN","861","10391","152","17"
"ABQ","DFW","984","6371","148","15"
"ABQ","ELP","678","4682","111","16"
"ABQ","IAH","169","980","18","10"
"ABQ","LAS","500","2923","87","17"
"ABQ","LAX","753","10494","229","30"
"ABQ","LBB","181","2026","46","25"
"ABQ","MAF","165","1320","28","16"
"ABQ","MCI","247","1095","41","16"
"ABQ","ORD","268","949","36","13"
"ABQ","PHX","1419","9402","153","10"
"ABQ","SAN","82","1032","30","36"
"ABQ","SAT","59","954","12","20"
"ABQ","SFO","89","621","24","26"
"ABQ","SLC","265","1564","30","11"
"ABQ","STL","340","2050","59","17"
"ABQ","TUL","81","1169","31","38"
"ABQ","TUS","179","3449","51","28"
"ACV","RDD","86","1776","38","44"
"ACV","SFO","257","6343","114","44"
"AGS","ATL","592","4781","82","13"
"AGS","CAE","86","869","27","31"
"AGS","CLT","184","713","14","7"
"ALB","ATL","173","214","21","12"
"ALB","BDL","70","289","5","7"
"ALB","BOS","1","21","1","100"
"ALB","BTV","3","138","2","66"
"ALB","BUF","164","1022","26","15"
"ALB","BWI","269","3732","89","33"
"ALB","CLE","59","334","8","13"
"ALB","DCA","160","1122","22","13"
"ALB","DTW","242","1287","34","14"
"ALB","ISP","242","1545","27","11"
"ALB","MHT","87","284","13","14"
"ALB","ORD","695","3742","158","22"
"ALB","PHL","320","5693","112","35"
"ALB","PIT","362","4593","126","34"
"ALB","ROC","75","369","7","9"
"ALO","RST","177","816","21","11"
"ALO","STL","179","751","23","12"
"AMA","ABQ","232","1549","45","19"
"AMA","DAL","561","1294","44","7"
"AMA","DEN","174","2970","31","17"
"AMA","DFW","623","3576","86","13"
"AMA","LBB","182","1249","27","14"
"AMA","MAF","175","386","21","12"
"ANC","BET","129","1493","24","18"
"ANC","CDV","71","646","8","11"
"ANC","FAI","673","10282","205","30"
"ANC","HNL","43","1562","28","65"
"ANC","JNU","157","2437","51","32"
"ANC","OME","116","992","14","12"
"ANC","ORD","57","409","17","29"
"ANC","OTZ","76","1252","22","28"
"ANC","PDX","90","895","29","32"
"ANC","SCC","129","589","17","13"
"ANC","SEA","1475","16376","390","26"
"ANC","SLC","171","3726","94","54"
"APF","TPA","261","79","5","1"
"ATL","ABE","178","913","27","15"
"ATL","AGS","675","5725","118","17"
"ATL","ALB","170","1987","34","20"
"ATL","AUS","263","4030","89","33"
"ATL","BDL","608","3541","109","17"
"ATL","BHM","1379","9260","192","13"
"ATL","BNA","1261","10795","231","18"
"ATL","BOS","1013","7784","214","21"
"ATL","BTR","253","3682","87","34"
"ATL","BUF","322","3055","55","17"
"ATL","BWI","935","7759","172","18"
"ATL","CAE","1266","6623","149","11"
"ATL","CAK","169","1655","34","20"
"ATL","CHA","591","5271","101","17"
"ATL","CHS","1433","8521","215","15"
"ATL","CLE","883","8227","186","21"
"ATL","CLT","1676","8697","216","12"
"ATL","CMH","778","6408","127","16"
"ATL","CSG","325","2220","47","14"
"ATL","CVG","530","7018","176","33"
"ATL","DAB","602","4170","90","14"
"ATL","DAY","436","4056","78","17"
"ATL","DCA","1410","12864","284","20"
"ATL","DEN","838","17330","298","35"
"ATL","DFW","1898","20733","584","30"
"ATL","DTW","1258","10030","248","19"
"ATL","EVV","89","936","26","29"
"ATL","EWR","1201","11838","275","22"
"ATL","FLL","1205","13366","265","21"
"ATL","FWA","90","482","6","6"
"ATL","GNV","341","2128","48","14"
"ATL","GSO","929","5729","129","13"
"ATL","GSP","1221","7132","140","11"
"ATL","HNL","63","170","16","25"
"ATL","HOU","600","6881","143","23"
"ATL","HSV","388","2255","50","12"
"ATL","IAD","667","5573","168","25"
"ATL","IAH","1083","12617","291","26"
"ATL","IND","682","5678","106","15"
"ATL","JAN","441","5376","118","26"
"ATL","JAX","1589","16200","364","22"
"ATL","JFK","253","3327","85","33"
"ATL","LAS","169","1192","41","24"
"ATL","LAX","771","12339","303","39"
