"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","818","7173","168","20"
"ABE","CLT","365","902","46","12"
"ABE","DTW","665","843","63","9"
"ABE","MCO","486","-1525","42","8"
"ABE","MDT","1038","4629","170","16"
"ABE","ORD","1369","10287","209","15"
"ABE","PIT","1348","7690","183","13"
"ABQ","AMA","692","5028","132","19"
"ABQ","ATL","1084","5943","209","19"
"ABQ","CVG","722","3147","113","15"
"ABQ","DAL","2565","13020","324","12"
"ABQ","DEN","3011","11084","319","10"
"ABQ","DFW","2885","9107","315","10"
"ABQ","ELP","1965","8574","285","14"
"ABQ","HOU","542","1332","72","13"
"ABQ","IAH","1783","7399","163","9"
"ABQ","LAS","2056","20675","489","23"
"ABQ","LAX","2480","6151","343","13"
"ABQ","LBB","698","3304","94","13"
"ABQ","MAF","365","3735","90","24"
"ABQ","MCI","923","6537","176","19"
"ABQ","MCO","374","-2296","21","5"
"ABQ","MSP","741","3436","97","13"
"ABQ","OAK","674","1118","91","13"
"ABQ","ORD","606","6080","132","21"
"ABQ","PHX","6899","74958","1610","23"
"ABQ","SAN","1082","5985","160","14"
"ABQ","SEA","179","-198","32","17"
"ABQ","SLC","1636","2098","153","9"
"ABQ","STL","2470","8511","366","14"
"ABQ","TPA","365","1028","59","16"
"ABQ","TUS","479","4899","120","25"
"ADQ","ANC","725","7821","152","20"
"AGS","ATL","1272","3961","156","12"
"AGS","SAV","180","366","42","23"
"AKN","ANC","180","1343","33","18"
"AKN","DLG","163","2338","37","22"
"ALB","ATL","1062","10812","271","25"
"ALB","BDL","1","35","1","100"
"ALB","CLT","363","652","42","11"
"ALB","CVG","1087","-379","97","8"
"ALB","DCA","976","5850","149","15"
"ALB","DTW","1381","3103","182","13"
"ALB","MCO","1123","5442","218","19"
"ALB","ORD","2166","15013","378","17"
"ALB","PHL","1819","20114","441","24"
"ALB","PIT","1392","11413","237","17"
"ALB","PWM","273","-866","18","6"
"AMA","ABQ","691","5448","102","14"
"AMA","DAL","2681","18636","388","14"
"AMA","DFW","1057","4941","125","11"
"AMA","LAS","365","-1444","7","1"
"ANC","ADQ","725","8376","167","23"
"ANC","AKN","343","4849","93","27"
"ANC","BET","1030","13876","233","22"
"ANC","CDV","363","4449","79","21"
"ANC","DLG","154","1696","34","22"
"ANC","DTW","144","-1133","11","7"
"ANC","DUT","706","6691","148","20"
"ANC","FAI","3995","37045","862","21"
"ANC","JNU","1188","13451","246","20"
"ANC","LAX","219","1189","48","21"
"ANC","MSP","964","-3029","107","11"
"ANC","OME","509","4475","99","19"
"ANC","ORD","191","1248","41","21"
"ANC","OTZ","721","9194","184","25"
"ANC","PDX","529","2052","103","19"
"ANC","PHX","151","-469","25","16"
"ANC","SCC","363","2970","63","17"
"ANC","SEA","7264","45551","1425","19"
"ANC","SFO","187","2615","76","40"
"ANC","SLC","849","-2520","92","10"
"ANC","STL","212","-217","32","15"
"ATL","ABE","821","11503","232","28"
"ATL","ABQ","1086","11276","314","28"
"ATL","AGS","1452","11026","275","18"
"ATL","ALB","1081","14918","315","29"
"ATL","AUS","2068","12401","384","18"
"ATL","BDL","2172","23407","563","25"
"ATL","BHM","3410","31519","719","21"
"ATL","BNA","3252","28510","686","21"
"ATL","BOS","5781","90016","1795","31"
"ATL","BTR","1082","8421","231","21"
"ATL","BUF","1089","13926","339","31"
