"flightmonth","dayfrom","dayto","number_of_delays","flightdate"
"october",13,14,"3600","2004-10-14"
"october",14,15,"4602","2004-10-15"
"october",15,16,"1840","2004-10-16"
"october",16,17,"3544","2004-10-17"
"october",17,18,"5428","2004-10-18"
"october",18,19,"5995","2004-10-19"
"october",19,20,"4851","2004-10-20"
"october",20,21,"5311","2004-10-21"
"october",21,22,"5070","2004-10-22"
"october",22,23,"2747","2004-10-23"
"october",23,24,"3590","2004-10-24"
"october",24,25,"3101","2004-10-25"
"october",25,26,"2213","2004-10-26"
"october",26,27,"3552","2004-10-27"
"october",27,28,"4794","2004-10-28"
"october",28,29,"4969","2004-10-29"
"october",29,30,"2745","2004-10-30"
"october",30,31,"2936","2004-10-31"
"november",0,1,"3875","2004-11-01"
"november",1,2,"2949","2004-11-02"
"november",2,3,"2411","2004-11-03"
"november",3,4,"4513","2004-11-04"
"november",4,5,"3226","2004-11-05"
"november",5,6,"948","2004-11-06"
"november",6,7,"2985","2004-11-07"
"november",7,8,"2345","2004-11-08"
"november",8,9,"1306","2004-11-09"
"november",9,10,"1876","2004-11-10"
"november",10,11,"3895","2004-11-11"
"november",11,12,"4557","2004-11-12"
"november",12,13,"2137","2004-11-13"
"november",13,14,"3078","2004-11-14"
"november",14,15,"2442","2004-11-15"
"november",15,16,"2059","2004-11-16"
"november",16,17,"2865","2004-11-17"
"november",17,18,"2645","2004-11-18"
"november",18,19,"4407","2004-11-19"
"november",19,20,"2701","2004-11-20"
"november",20,21,"4282","2004-11-21"
"november",21,22,"6164","2004-11-22"
"november",22,23,"6829","2004-11-23"
"november",23,24,"8670","2004-11-24"
"november",24,25,"2508","2004-11-25"
"november",25,26,"1105","2004-11-26"
"november",26,27,"4200","2004-11-27"
"november",27,28,"6069","2004-11-28"
"november",28,29,"5609","2004-11-29"
"november",29,30,"5466","2004-11-30"
"december",0,1,"4332","2004-12-01"
"december",1,2,"2472","2004-12-02"
"december",2,3,"2320","2004-12-03"
"december",3,4,"1223","2004-12-04"
"december",4,5,"2723","2004-12-05"
"december",5,6,"6918","2004-12-06"
"december",6,7,"5027","2004-12-07"
"december",7,8,"2529","2004-12-08"
"december",8,9,"4217","2004-12-09"
"december",9,10,"6515","2004-12-10"
"december",10,11,"2498","2004-12-11"
"december",11,12,"3138","2004-12-12"
"december",12,13,"3299","2004-12-13"
"december",13,14,"2088","2004-12-14"
"december",14,15,"2551","2004-12-15"
"december",15,16,"3672","2004-12-16"
"december",16,17,"3684","2004-12-17"
"december",17,18,"3424","2004-12-18"
"december",18,19,"6150","2004-12-19"
"december",19,20,"6451","2004-12-20"
"december",20,21,"4792","2004-12-21"
"december",21,22,"9086","2004-12-22"
"december",22,23,"10476","2004-12-23"
"december",23,24,"6887","2004-12-24"
"december",24,25,"4358","2004-12-25"
"december",25,26,"6992","2004-12-26"
"december",26,27,"8296","2004-12-27"
"december",27,28,"7022","2004-12-28"
"december",28,29,"5736","2004-12-29"
"december",29,30,"5988","2004-12-30"
"december",30,31,"2805","2004-12-31"
