"flightmonth","dayfrom","dayto","number_of_delays","flightdate"
"january",0,1,"2291","2004-01-01"
"january",1,2,"5419","2004-01-02"
"january",2,3,"5698","2004-01-03"
"january",3,4,"7207","2004-01-04"
"january",4,5,"8509","2004-01-05"
"january",5,6,"5736","2004-01-06"
"january",6,7,"3459","2004-01-07"
"january",7,8,"2616","2004-01-08"
"january",8,9,"4229","2004-01-09"
"january",9,10,"2406","2004-01-10"
"january",10,11,"2521","2004-01-11"
"january",11,12,"2979","2004-01-12"
"january",12,13,"1753","2004-01-13"
"january",13,14,"3699","2004-01-14"
"january",14,15,"4148","2004-01-15"
"january",15,16,"4591","2004-01-16"
"january",16,17,"3471","2004-01-17"
"january",17,18,"4092","2004-01-18"
"january",18,19,"2509","2004-01-19"
"january",19,20,"1717","2004-01-20"
"january",20,21,"2260","2004-01-21"
"january",21,22,"2644","2004-01-22"
"january",22,23,"4327","2004-01-23"
"january",23,24,"2948","2004-01-24"
"january",24,25,"4709","2004-01-25"
"january",25,26,"6950","2004-01-26"
"january",26,27,"5828","2004-01-27"
"january",27,28,"3206","2004-01-28"
"january",28,29,"4529","2004-01-29"
"january",29,30,"3724","2004-01-30"
"january",30,31,"2473","2004-01-31"
"february",0,1,"2920","2004-02-01"
"february",1,2,"5366","2004-02-02"
"february",2,3,"4037","2004-02-03"
"february",3,4,"3474","2004-02-04"
"february",4,5,"5509","2004-02-05"
"february",5,6,"6961","2004-02-06"
"february",6,7,"3714","2004-02-07"
"february",7,8,"2941","2004-02-08"
"february",8,9,"2899","2004-02-09"
"february",9,10,"3456","2004-02-10"
"february",10,11,"3174","2004-02-11"
"february",11,12,"4592","2004-02-12"
"february",12,13,"3734","2004-02-13"
"february",13,14,"3630","2004-02-14"
"february",14,15,"3549","2004-02-15"
"february",15,16,"3482","2004-02-16"
"february",16,17,"3366","2004-02-17"
"february",17,18,"2380","2004-02-18"
"february",18,19,"2259","2004-02-19"
"february",19,20,"3922","2004-02-20"
"february",20,21,"2636","2004-02-21"
"february",21,22,"3460","2004-02-22"
"february",22,23,"4582","2004-02-23"
"february",23,24,"5631","2004-02-24"
"february",24,25,"4195","2004-02-25"
"february",25,26,"4410","2004-02-26"
"february",26,27,"3602","2004-02-27"
"february",27,28,"1953","2004-02-28"
"february",28,29,"3270","2004-02-29"
"march",0,1,"3003","2004-03-01"
"march",1,2,"2414","2004-03-02"
"march",2,3,"2570","2004-03-03"
"march",3,4,"5277","2004-03-04"
"march",4,5,"5989","2004-03-05"
"march",5,6,"2823","2004-03-06"
"march",6,7,"3283","2004-03-07"
"march",7,8,"2807","2004-03-08"
"march",8,9,"2047","2004-03-09"
"march",9,10,"2389","2004-03-10"
"march",10,11,"3259","2004-03-11"
"march",11,12,"3689","2004-03-12"
"march",12,13,"1817","2004-03-13"
"march",13,14,"3865","2004-03-14"
"march",14,15,"2053","2004-03-15"
"march",15,16,"5214","2004-03-16"
"march",16,17,"5011","2004-03-17"
"march",17,18,"4630","2004-03-18"
"march",18,19,"3293","2004-03-19"
"march",19,20,"2890","2004-03-20"
"march",20,21,"3404","2004-03-21"
"march",21,22,"2482","2004-03-22"
"march",22,23,"1598","2004-03-23"
"march",23,24,"2648","2004-03-24"
"march",24,25,"3337","2004-03-25"
"march",25,26,"3167","2004-03-26"
"march",26,27,"2565","2004-03-27"
"march",27,28,"3345","2004-03-28"
"march",28,29,"1924","2004-03-29"
"march",29,30,"2244","2004-03-30"
"march",30,31,"3702","2004-03-31"
"april",0,1,"4226","2004-04-01"
"april",1,2,"4473","2004-04-02"
"april",2,3,"2513","2004-04-03"
"april",3,4,"3554","2004-04-04"
"april",4,5,"2448","2004-04-05"
"april",5,6,"1700","2004-04-06"
"april",6,7,"1804","2004-04-07"
"april",7,8,"3748","2004-04-08"
"april",8,9,"1883","2004-04-09"
"april",9,10,"1601","2004-04-10"
"april",10,11,"2463","2004-04-11"
"april",11,12,"5156","2004-04-12"
"april",12,13,"5418","2004-04-13"
"april",13,14,"3092","2004-04-14"
"april",14,15,"2407","2004-04-15"
"april",15,16,"1889","2004-04-16"
"april",16,17,"1652","2004-04-17"
"april",17,18,"3394","2004-04-18"
"april",18,19,"3363","2004-04-19"
"april",19,20,"2533","2004-04-20"
"april",20,21,"2805","2004-04-21"
"april",21,22,"2357","2004-04-22"
"april",22,23,"3457","2004-04-23"
"april",23,24,"2371","2004-04-24"
"april",24,25,"3277","2004-04-25"
"april",25,26,"3639","2004-04-26"
"april",26,27,"1666","2004-04-27"
"april",27,28,"2589","2004-04-28"
"april",28,29,"2993","2004-04-29"
"april",29,30,"4316","2004-04-30"
"may",0,1,"3217","2004-05-01"
"may",1,2,"3851","2004-05-02"
"may",2,3,"3205","2004-05-03"
"may",3,4,"1655","2004-05-04"
"may",4,5,"1575","2004-05-05"
"may",5,6,"1943","2004-05-06"
"may",6,7,"4523","2004-05-07"
"may",7,8,"1354","2004-05-08"
"may",8,9,"3108","2004-05-09"
"may",9,10,"3636","2004-05-10"
"may",10,11,"3910","2004-05-11"
"may",11,12,"4769","2004-05-12"
"may",12,13,"6048","2004-05-13"
"may",13,14,"5773","2004-05-14"
"may",14,15,"1767","2004-05-15"
"may",15,16,"2786","2004-05-16"
"may",16,17,"5059","2004-05-17"
"may",17,18,"5788","2004-05-18"
"may",18,19,"3185","2004-05-19"
"may",19,20,"2913","2004-05-20"
"may",20,21,"6059","2004-05-21"
"may",21,22,"3472","2004-05-22"
"may",22,23,"4185","2004-05-23"
"may",23,24,"4219","2004-05-24"
"may",24,25,"3184","2004-05-25"
"may",25,26,"5187","2004-05-26"
"may",26,27,"4356","2004-05-27"
"may",27,28,"4653","2004-05-28"
"may",28,29,"2208","2004-05-29"
"may",29,30,"3205","2004-05-30"
"may",30,31,"5148","2004-05-31"
"june",0,1,"4146","2004-06-01"
"june",1,2,"3573","2004-06-02"
"june",2,3,"2384","2004-06-03"
"june",3,4,"2960","2004-06-04"
"june",4,5,"2043","2004-06-05"
"june",5,6,"2760","2004-06-06"
"june",6,7,"4033","2004-06-07"
"june",7,8,"4086","2004-06-08"
"june",8,9,"5953","2004-06-09"
"june",9,10,"6238","2004-06-10"
"june",10,11,"4963","2004-06-11"
"june",11,12,"2935","2004-06-12"
"june",12,13,"5175","2004-06-13"
"june",13,14,"6306","2004-06-14"
"june",14,15,"6369","2004-06-15"
"june",15,16,"5760","2004-06-16"
"june",16,17,"6997","2004-06-17"
"june",17,18,"6158","2004-06-18"
"june",18,19,"3692","2004-06-19"
"june",19,20,"3442","2004-06-20"
"june",20,21,"6744","2004-06-21"
"june",21,22,"5555","2004-06-22"
"june",22,23,"4301","2004-06-23"
"june",23,24,"5139","2004-06-24"
"june",24,25,"7353","2004-06-25"
"june",25,26,"4257","2004-06-26"
"june",26,27,"4869","2004-06-27"
"june",27,28,"5713","2004-06-28"
"june",28,29,"4140","2004-06-29"
"june",29,30,"4648","2004-06-30"
"july",0,1,"5192","2004-07-01"
"july",1,2,"4364","2004-07-02"
"july",2,3,"3279","2004-07-03"
"july",3,4,"1415","2004-07-04"
"july",4,5,"3419","2004-07-05"
"july",5,6,"4151","2004-07-06"
"july",6,7,"5147","2004-07-07"
"july",7,8,"3004","2004-07-08"
"july",8,9,"5141","2004-07-09"
"july",9,10,"2414","2004-07-10"
"july",10,11,"4433","2004-07-11"
"july",11,12,"6079","2004-07-12"
"july",12,13,"4294","2004-07-13"
"july",13,14,"6438","2004-07-14"
"july",14,15,"3890","2004-07-15"
"july",15,16,"5286","2004-07-16"
"july",16,17,"2980","2004-07-17"
"july",17,18,"4577","2004-07-18"
"july",18,19,"3415","2004-07-19"
"july",19,20,"2346","2004-07-20"
"july",20,21,"3569","2004-07-21"
"july",21,22,"6010","2004-07-22"
"july",22,23,"5599","2004-07-23"
"july",23,24,"2765","2004-07-24"
"july",24,25,"4004","2004-07-25"
"july",25,26,"3655","2004-07-26"
"july",26,27,"4060","2004-07-27"
"july",27,28,"4646","2004-07-28"
"july",28,29,"5284","2004-07-29"
"july",29,30,"4943","2004-07-30"
"july",30,31,"4348","2004-07-31"
"august",0,1,"8204","2004-08-01"
"august",1,2,"6490","2004-08-02"
"august",2,3,"3253","2004-08-03"
"august",3,4,"5889","2004-08-04"
"august",4,5,"4381","2004-08-05"
"august",5,6,"2627","2004-08-06"
"august",6,7,"1792","2004-08-07"
"august",7,8,"2362","2004-08-08"
"august",8,9,"2525","2004-08-09"
"august",9,10,"3442","2004-08-10"
"august",10,11,"5056","2004-08-11"
"august",11,12,"5824","2004-08-12"
"august",12,13,"3223","2004-08-13"
"august",13,14,"2251","2004-08-14"
"august",14,15,"3379","2004-08-15"
"august",15,16,"3637","2004-08-16"
"august",16,17,"2434","2004-08-17"
"august",17,18,"3817","2004-08-18"
"august",18,19,"5592","2004-08-19"
"august",19,20,"4856","2004-08-20"
"august",20,21,"3736","2004-08-21"
"august",21,22,"3675","2004-08-22"
"august",22,23,"3052","2004-08-23"
"august",23,24,"4135","2004-08-24"
"august",24,25,"4365","2004-08-25"
"august",25,26,"2951","2004-08-26"
"august",26,27,"2693","2004-08-27"
"august",27,28,"4341","2004-08-28"
"august",28,29,"3376","2004-08-29"
"august",29,30,"3253","2004-08-30"
"august",30,31,"1756","2004-08-31"
"september",0,1,"2065","2004-09-01"
"september",1,2,"3477","2004-09-02"
"september",2,3,"2887","2004-09-03"
"september",3,4,"1393","2004-09-04"
"september",4,5,"859","2004-09-05"
"september",5,6,"2441","2004-09-06"
"september",6,7,"3549","2004-09-07"
"september",7,8,"3445","2004-09-08"
"september",8,9,"2976","2004-09-09"
"september",9,10,"2120","2004-09-10"
"september",10,11,"846","2004-09-11"
"september",11,12,"1473","2004-09-12"
"september",12,13,"1906","2004-09-13"
"september",13,14,"2931","2004-09-14"
"september",14,15,"3869","2004-09-15"
"september",15,16,"2553","2004-09-16"
"september",16,17,"3889","2004-09-17"
"september",17,18,"2803","2004-09-18"
"september",18,19,"3262","2004-09-19"
"september",19,20,"2130","2004-09-20"
"september",20,21,"1069","2004-09-21"
"september",21,22,"1555","2004-09-22"
"september",22,23,"2098","2004-09-23"
"september",23,24,"2142","2004-09-24"
"september",24,25,"988","2004-09-25"
"september",25,26,"1268","2004-09-26"
"september",26,27,"2319","2004-09-27"
"september",27,28,"3979","2004-09-28"
"september",28,29,"2165","2004-09-29"
"september",29,30,"2784","2004-09-30"
"october",0,1,"3363","2004-10-01"
"october",1,2,"1610","2004-10-02"
"october",2,3,"2355","2004-10-03"
"october",3,4,"4023","2004-10-04"
"october",4,5,"1599","2004-10-05"
"october",5,6,"1853","2004-10-06"
"october",6,7,"3226","2004-10-07"
"october",7,8,"4255","2004-10-08"
"october",8,9,"1747","2004-10-09"
"october",9,10,"1769","2004-10-10"
"october",10,11,"1869","2004-10-11"
"october",11,12,"1842","2004-10-12"
"october",12,13,"2132","2004-10-13"
