"Origin","Dest","number_of_flights","total_arrival_delay_minutes","total_dep_delay_minutes","number_of_delays"
"ITO","OGG","183","3","83","13"
"JAC","DEN","459","5792","5289","125"
"JAC","DFW","167","2640","2467","35"
"JAC","LAX","16","281","226","5"
"JAC","ORD","130","4309","3946","38"
"JAC","SLC","91","1091","858","33"
"JAN","ATL","1782","10407","15977","298"
"JAN","BHM","909","4401","4782","114"
"JAN","BWI","728","8342","10482","186"
"JAN","CVG","361","-17","1093","23"
"JAN","DFW","1087","9067","7357","178"
"JAN","HOU","1442","9228","11396","220"
"JAN","MCO","366","3041","4615","74"
"JAN","MDW","731","2893","4055","74"
"JAN","MEM","704","-3304","-1450","27"
"JAN","MLU","391","2523","3796","74"
"JAN","PNS","177","2368","2793","48"
"JAN","SHV","360","1420","1534","72"
"JAX","ATL","3627","14065","23353","552"
"JAX","BHM","366","-162","547","9"
"JAX","BNA","1094","8314","9822","180"
"JAX","BWI","2130","20798","27787","438"
"JAX","CLT","2181","17679","15397","391"
"JAX","CVG","721","2329","3618","80"
"JAX","DCA","674","4180","6136","124"
"JAX","DFW","2181","12310","14820","287"
"JAX","DTW","1096","3451","5448","137"
"JAX","EWR","1035","6280","9901","179"
"JAX","FLL","2155","18930","21361","394"
"JAX","IAH","974","-418","3130","101"
"JAX","IND","366","4247","4682","77"
"JAX","ISP","148","-1827","1021","8"
"JAX","LGA","934","20791","19042","361"
"JAX","MEM","731","568","2144","56"
"JAX","MSY","365","-1431","467","9"
"JAX","ORD","732","13143","11432","212"
"JAX","PHL","1097","18786","15970","381"
"JAX","PNS","92","230","372","12"
"JAX","STL","1091","5732","5691","125"
"JAX","TPA","844","9117","10403","168"
"JFK","ATL","1337","22564","19131","460"
"JFK","BDL","175","-214","-416","15"
"JFK","BOS","2012","32553","23999","520"
"JFK","CVG","710","10432","7500","200"
"JFK","DCA","728","9699","7740","199"
"JFK","DEN","363","5550","5370","134"
"JFK","DFW","730","17382","11832","271"
"JFK","DTW","1412","5429","12203","204"
"JFK","FLL","1246","8112","12495","271"
"JFK","IAD","2","145","89","2"
"JFK","IAH","358","4528","3843","97"
"JFK","LAS","2279","46022","48920","898"
"JFK","LAX","9277","90149","90642","2468"
"JFK","MCO","2340","11551","15674","451"
"JFK","MIA","3303","26369","32793","698"
"JFK","MSP","245","6158","5099","78"
"JFK","MSY","350","3816","3532","74"
"JFK","ORD","354","9421","9776","132"
"JFK","PBI","333","721","573","48"
"JFK","PDX","364","-1628","473","59"
"JFK","PHL","294","1997","-15","61"
"JFK","PHX","1454","23514","23838","508"
"JFK","SAN","856","5625","9581","219"
"JFK","SEA","915","11005","11459","269"
"JFK","SFO","5930","63732","61181","1743"
"JFK","SJC","762","15304","10641","271"
"JFK","SJU","3956","32251","38650","919"
"JFK","SLC","973","5902","6572","237"
"JFK","SNA","51","310","63","12"
"JFK","STL","1426","14094","12305","341"
"JFK","STT","314","1588","3070","55"
"JFK","TPA","727","8049","5814","168"
"JNU","ANC","1184","14873","15047","234"
"JNU","GST","91","948","1032","23"
"JNU","KTN","440","2891","3961","55"
"JNU","PSG","364","4529","5395","96"
"JNU","SEA","1229","11670","16767","256"
"JNU","SIT","820","12246","12178","214"
"JNU","YAK","363","7660","7643","127"
"KOA","HNL","976","2633","1314","70"
"KOA","ITO","60","74","-38","1"
"KOA","LAX","854","6702","2205","204"
"KOA","OGG","244","215","-59","10"
"KOA","SFO","366","11235","10670","109"
"KTN","JNU","441","3575","4549","89"
"KTN","SEA","1337","8333","8660","196"
"KTN","SIT","365","3207","4099","74"
"KTN","WRG","364","5895","6981","90"
"LAN","DTW","1913","5574","6256","216"
"LAN","MSP","547","1159","2057","55"
"LAS","ABQ","2068","35701","36697","713"
"LAS","ALB","239","-1611","4899","31"
"LAS","AMA","366","6921","7671","123"
"LAS","ATL","2603","18058","24279","525"
"LAS","AUS","733","9635","13068","209"
"LAS","BDL","247","2740","2967","80"
"LAS","BHM","22","-161","268","3"
"LAS","BNA","1095","2082","11132","181"
"LAS","BOI","731","11346","13131","263"
"LAS","BOS","1091","25804","24064","445"
"LAS","BUF","85","-152","1279","11"
"LAS","BUR","4177","66178","69360","1379"
"LAS","BWI","1263","17920","24750","364"
"LAS","CLE","1280","2940","8755","235"
"LAS","CLT","733","8847","13630","209"
"LAS","CMH","1639","31674","30471","639"
"LAS","COS","519","6460","5174","127"
"LAS","CVG","1093","778","7681","173"
"LAS","DCA","69","1615","2238","26"
"LAS","DEN","4728","78899","78507","1470"
"LAS","DFW","3968","31411","29981","682"
"LAS","DTW","2122","6825","17083","408"
"LAS","ELP","1083","16105","17884","332"
"LAS","EWR","2797","26128","33668","743"
"LAS","FLL","365","10743","10446","210"
"LAS","GEG","243","332","3408","43"
"LAS","HOU","1178","9252","15009","262"
"LAS","IAD","474","5517","6504","111"
"LAS","IAH","2774","23401","20146","595"
"LAS","IND","638","12227","15889","262"
"LAS","JFK","2282","42251","39418","921"
"LAS","LAX","16899","232893","229473","4799"
"LAS","LBB","366","3209","4822","78"
"LAS","MAF","366","2676","3714","75"
"LAS","MCI","1691","19796","26578","473"
"LAS","MCO","781","13168","14233","284"
"LAS","MDW","788","7621","14247","201"
"LAS","MEM","366","859","1795","59"
"LAS","MIA","366","7457","7123","153"
"LAS","MKE","363","6354","5838","145"
"LAS","MSP","2063","3194","13633","310"
"LAS","MSY","650","2636","6308","107"
"LAS","OAK","3210","48035","52229","1023"
"LAS","OKC","337","5724","5801","97"
"LAS","OMA","1122","12599","17516","310"
"LAS","ONT","3301","49593","47691","1055"
"LAS","ORD","4217","73341","73759","1316"
"LAS","PDX","2827","22185","30087","590"
"LAS","PHL","1618","19731","21731","521"
"LAS","PHX","13346","221572","213080","4159"
"LAS","PIT","850","1005","6827","132"
"LAS","RNO","4698","68454","72456","1434"
"LAS","SAN","5102","57327","61579","1312"
"LAS","SAT","1438","17464","22189","413"
"LAS","SDF","64","-528","515","3"
"LAS","SEA","3624","59455","62538","1214"
"LAS","SFO","5267","130443","131014","2061"
"LAS","SJC","4231","49227","50002","1143"
"LAS","SLC","4777","57583","63311","1246"
"LAS","SMF","2667","40742","42212","835"
"LAS","SNA","3442","19613","16925","544"
"LAS","STL","1894","11762","15158","335"
"LAS","TPA","781","11083","11798","241"
"LAS","TUL","108","1523","2494","28"
"LAS","TUS","1438","20324","19560","440"
"LAX","ABQ","2115","23134","29742","538"
"LAX","ANC","339","4791","6586","104"
"LAX","ATL","3620","26644","40730","796"
"LAX","AUS","1043","11049","12767","239"
"LAX","BDL","199","-2550","1607","20"
"LAX","BNA","1766","4939","18253","333"
"LAX","BOS","3563","31486","30123","927"
"LAX","BWI","1524","9338","12424","329"
"LAX","CLE","1319","-205","4065","191"
"LAX","CLT","1571","13896","14826","406"
"LAX","CMH","314","5337","5138","112"
"LAX","COS","746","7352","6181","167"
"LAX","CVG","1458","9324","12010","291"
"LAX","DAL","895","5081","4456","150"
"LAX","DCA","110","-202","177","10"
"LAX","DEN","5767","71877","68428","1519"
"LAX","DFW","8340","46041","59821","1478"
"LAX","DTW","1942","664","10727","285"
"LAX","ELP","2084","32292","39069","699"
"LAX","EWR","5161","58178","63560","1410"
"LAX","FLL","366","1709","3509","64"
"LAX","HDN","17","134","172","4"
"LAX","HNL","4581","55633","88164","1192"
"LAX","HOU","620","2212","3152","102"
"LAX","IAD","4634","35424","50275","1115"
"LAX","IAH","4580","37739","36298","977"
"LAX","IND","148","-919","659","10"
"LAX","JAC","16","258","293","6"
"LAX","JFK","9271","87593","105504","2332"
"LAX","KOA","854","7759","10176","231"
"LAX","LAS","17745","242560","249795","4927"
"LAX","LIH","366","4604","5889","113"
"LAX","MCI","1807","14932","28112","422"
"LAX","MCO","2554","21639","22106","607"
"LAX","MEM","1310","-4272","1280","123"
"LAX","MFR","612","9474","13334","190"
"LAX","MIA","2558","14409","21020","561"
"LAX","MSP","2654","2119","13321","382"
"LAX","MSY","785","7677","11338","222"
"LAX","OAK","11861","150096","168895","3081"
"LAX","OGG","1832","12815","23620","435"
"LAX","ONT","1","204","181","1"
"LAX","ORD","10986","146588","153753","3214"
"LAX","PDX","5480","53696","67400","1318"
"LAX","PHL","2856","31702","21830","843"
"LAX","PHX","16652","264268","258901","5162"
"LAX","PIT","1648","1828","9023","273"
"LAX","PSP","918","9835","11925","218"
"LAX","RNO","3726","50517","51632","972"
"LAX","SAN","2575","26407","35571","670"
"LAX","SAT","696","6618","9344","188"
"LAX","SBA","932","13310","16178","303"
"LAX","SEA","8307","113106","109040","2488"
"LAX","SFO","16021","301332","310663","4930"
"LAX","SJC","10911","132129","139937","2827"
"LAX","SJU","337","1664","2338","75"
"LAX","SLC","4464","39390","49485","938"
"LAX","SMF","5181","79044","85974","1561"
"LAX","SNA","31","433","51","10"
"LAX","STL","2895","27479","33773","692"
"LAX","TPA","847","4165","5138","127"
"LAX","TUL","61","988","897","15"
"LAX","TUS","3545","63748","65934","1273"
"LBB","ABQ","940","7244","8905","164"
"LBB","AUS","731","6271","6468","137"
"LBB","DAL","2988","27413","29766","507"
"LBB","ELP","666","4932","5919","107"
"LBB","LAS","356","606","1831","29"
"LEX","ATL","1428","9615","13829","224"
"LEX","CVG","1076","3299","22729","130"
"LEX","PIT","1015","1421","422","76"
"LGA","ATL","7169","120342","113582","2313"
"LGA","BNA","993","16957","13907","329"
"LGA","BOS","8652","46932","6316","1846"
"LGA","BUF","2053","25478","22812","598"
"LGA","BWI","167","1749","1509","40"
"LGA","CLE","1991","35886","33205","656"
"LGA","CLT","4104","59366","57396","1342"
"LGA","CMH","933","15857","12802","302"
"LGA","CVG","1818","31751","26376","572"
"LGA","DAL","323","6334","4180","134"
"LGA","DCA","8289","20451","6749","1357"
"LGA","DEN","2533","54532","36345","1010"
"LGA","DFW","6653","92306","91423","2040"
"LGA","DTW","3100","40926","46705","858"
"LGA","EGE","34","259","92","11"
"LGA","FLL","3412","79616","78810","1416"
"LGA","GSO","1164","17566","14686","386"
"LGA","GSP","310","7063","6305","123"
"LGA","HOU","983","11456","11392","314"
"LGA","IAD","3695","42739","35173","933"
"LGA","IAH","3131","51677","48864","967"
"LGA","IND","628","9453","6634","190"
"LGA","JAX","945","16396","18464","334"
"LGA","LWB","52","-166","55","8"
"LGA","MCO","3886","68992","65218","1373"
"LGA","MEM","1284","15772","13749","373"
"LGA","MIA","3660","73514","73857","1351"
"LGA","MSP","2628","26433","34118","724"
"LGA","MSY","366","1912","1682","84"
"LGA","ORD","11531","230575","164512","4118"
"LGA","ORF","908","10220","8133","249"
"LGA","PBI","3458","63054","64394","1256"
"LGA","PHL","367","226","122","37"
"LGA","PIT","3365","53329","50060","1135"
"LGA","RDU","1230","21250","17942","438"
"LGA","RIC","1228","18742","15661","384"
"LGA","ROC","1289","17182","15619","391"
"LGA","RSW","485","7385","9762","183"
"LGA","SDF","310","7601","6332","138"
"LGA","STL","2626","50089","37160","920"
"LGA","TPA","2424","47568","50737","923"
"LGB","DFW","1445","9580","7689","203"
"LGB","ORD","494","6038","6476","125"
"LGB","PHX","1736","14121","10712","246"
"LIH","HNL","1463","-1434","-1739","54"
"LIH","LAX","366","757","2909","54"
"LIH","OGG","122","114","-33","6"
"LIH","SFO","150","701","568","35"
"LIT","ATL","1797","3398","10688","241"
"LIT","CVG","695","2269","4465","98"
"LIT","DAL","2317","25791","27129","509"
"LIT","DFW","2184","5454","8877","254"
"LIT","HOU","366","2795","3874","73"
"LIT","MDW","366","2683","3067","65"
"LIT","MEM","1655","-3266","-80","87"
"LIT","PHX","363","4782","6608","101"
"LIT","STL","3799","33568","39569","681"
"LNK","DEN","730","6708","6338","129"
"LNK","ORD","730","12778","13244","246"
"LNK","STL","1283","5852","6713","151"
"LSE","MSP","439","294","786","46"
"LWB","CLT","28","-56","-35","1"
"LWB","LGA","52","418","267","12"
"MAF","ABQ","675","9039","9837","160"
"MAF","AUS","668","6143","5515","115"
"MAF","DAL","2646","17618","21039","360"
"MAF","ELP","351","146","851","13"
"MAF","HOU","639","4819","5994","98"
"MAF","LAS","366","2932","3917","70"
"MBS","DTW","1943","2043","1243","191"
"MBS","MSP","559","-483","823","52"
"MBS","ORD","1410","17283","17745","345"
"MCI","ABQ","1080","5573","9430","160"
"MCI","ATL","2507","8681","15632","363"
"MCI","BNA","1386","11998","14715","287"
"MCI","BWI","1085","4175","8953","152"
"MCI","CLE","104","-65","-88","7"
"MCI","CLT","1428","11631","8642","255"
"MCI","CVG","1085","3824","4519","128"
"MCI","DCA","880","5088","3097","159"
"MCI","DEN","3032","62772","53226","997"
"MCI","DFW","4260","17124","37483","620"
"MCI","DTW","1344","782","4036","159"
"MCI","EWR","1285","5421","10178","208"
"MCI","HOU","331","6806","8345","121"
"MCI","IAH","1363","6365","7749","213"
"MCI","IND","365","4810","5423","103"
"MCI","LAS","1694","15680","22046","380"
"MCI","LAX","1807","5421","20253","327"
"MCI","MCO","1725","4093","10345","246"
"MCI","MDW","6105","55454","62023","1176"
"MCI","MEM","1290","497","1550","122"
"MCI","MHT","366","2414","5351","103"
"MCI","MSP","3086","8135","11853","379"
"MCI","OAK","731","8866","11127","207"
"MCI","OKC","1975","18620","21632","367"
"MCI","ORD","3579","54578","56160","930"
"MCI","PDX","366","2917","5007","89"
"MCI","PHL","1435","13961","9379","336"
"MCI","PHX","3280","34696","37301","738"
"MCI","PIT","1445","8173","6520","219"
"MCI","PVD","366","5762","7249","144"
"MCI","RDU","110","1651","2333","40"
"MCI","SAN","366","964","3331","43"
"MCI","SEA","366","-2859","1434","35"
"MCI","SJC","110","1470","1090","43"
"MCI","SLC","2181","13839","14868","350"
"MCI","SMF","295","6271","6076","114"
"MCI","STL","6106","57370","60575","1148"
"MCI","TPA","366","1410","5412","68"
"MCI","TUL","1393","16990","18849","328"
"MCO","ABE","732","5833","5647","137"
"MCO","ABQ","366","1534","2783","74"
"MCO","ALB","1149","5203","13046","184"
"MCO","ATL","5263","37268","46277","998"
"MCO","AUS","366","1919","4286","59"
"MCO","BDL","3186","18060","26726","537"
"MCO","BHM","366","2221","2935","43"
"MCO","BNA","2496","19111","21372","442"
"MCO","BOS","4842","62319","68603","1153"
"MCO","BUF","132","-95","1004","15"
"MCO","BWI","3775","27471","39741","672"
"MCO","CLE","1422","4937","5121","219"
"MCO","CLT","2648","22423","18328","457"
"MCO","CMH","1533","9192","10208","228"
"MCO","CVG","1734","15184","15453","328"
"MCO","DCA","738","3652","5689","107"
"MCO","DEN","1839","39273","34022","570"
"MCO","DFW","3404","24998","23311","620"
"MCO","DTW","2692","16798","23186","432"
"MCO","EWR","5656","84734","91164","1454"
"MCO","FLL","2448","27320","29958","501"
"MCO","IAD","4902","50804","54443","1033"
"MCO","IAH","2215","7956","10057","283"
"MCO","IND","1574","13479","13090","322"
"MCO","ISP","1521","5594","10362","227"
"MCO","JAN","365","-267","491","12"
"MCO","JFK","2329","18054","24307","408"
"MCO","LAS","784","8468","10737","218"
"MCO","LAX","2558","23656","26198","658"
"MCO","LGA","4241","99803","86125","1619"
"MCO","MCI","1726","6218","9357","285"
"MCO","MDT","53","652","380","11"
"MCO","MDW","729","-1803","3364","59"
"MCO","MEM","1280","3776","7525","154"
"MCO","MHT","463","1985","4836","72"
"MCO","MIA","2438","15970","20557","415"
"MCO","MSP","1799","5993","13105","263"
"MCO","MSY","1973","8995","16624","284"
"MCO","ORD","3628","61202","53420","1055"
"MCO","PHL","3403","46728","42500","876"
"MCO","PHX","741","2352","9584","175"
"MCO","PIT","2556","20361","21882","521"
"MCO","PVD","1728","5394","14233","235"
"MCO","RDU","1429","11385","10713","270"
"MCO","ROC","47","383","356","9"
"MCO","SAT","365","-669","1172","21"
"MCO","SDF","1233","11193","11390","265"
"MCO","SFO","366","2400","2413","83"
"MCO","SJU","1652","16092","18385","305"
"MCO","SLC","731","2739","3529","138"
"MCO","STL","3009","31430","37942","715"
"MCO","SYR","1097","11441","10322","239"
"MCO","TPA","229","2280","2560","54"
"MDT","ABE","1077","10873","11228","245"
"MDT","ATL","726","4644","5379","138"
"MDT","CLT","732","1192","-508","77"
"MDT","DTW","990","-2405","385","69"
"MDT","IAD","121","65","102","7"
"MDT","MCO","53","333","98","10"
"MDT","ORD","2177","28496","24871","508"
"MDT","PHL","2","87","58","2"
"MDT","PIT","1465","3383","1252","175"
"MDW","ABQ","50","562","761","14"
"MDW","ATL","908","11053","11318","223"
"MDW","BDL","719","6841","11199","150"
"MDW","BHM","685","16772","17331","264"
"MDW","BNA","3099","45121","45544","794"
"MDW","BWI","4236","59709","63923","1102"
"MDW","CLE","3239","53804","49525","1040"
"MDW","CMH","2234","24712","22833","440"
"MDW","DFW","1570","6965","12614","262"
"MDW","DTW","5630","56806","65674","1210"
"MDW","EWR","708","9567","8896","177"
"MDW","FLL","295","-78","2767","34"
"MDW","HOU","633","5187","10894","150"
"MDW","IAD","1204","4739","9345","197"
"MDW","IND","1748","36683","32697","597"
"MDW","ISP","731","7488","11179","185"
"MDW","JAN","732","6154","8035","156"
"MDW","LAS","788","6864","9233","203"
"MDW","LIT","365","3035","4168","69"
"MDW","MCI","6139","75176","79398","1394"
"MDW","MCO","731","-5970","3163","57"
"MDW","MHT","704","8643","11674","173"
"MDW","MSP","3097","15947","19041","458"
"MDW","OMA","2101","29862","30170","523"
"MDW","PHX","731","778","6658","110"
"MDW","PVD","1069","12819","16715","247"
"MDW","RDU","1076","14710","19378","279"
"MDW","SDF","2351","28970","30264","514"
"MDW","STL","5099","91714","95216","1558"
"MDW","TPA","657","483","7879","92"
"MEM","ATL","4584","31231","39963","828"
"MEM","AUS","1070","3322","5206","146"
"MEM","BHM","854","3555","3759","117"
"MEM","BNA","1028","5917","6416","159"
"MEM","BOS","969","9149","9033","237"
"MEM","BTR","836","2774","4054","103"
"MEM","CLE","323","2204","2671","43"
"MEM","CLT","2008","9132","6693","241"
"MEM","CVG","724","4865","4600","114"
"MEM","DCA","1242","10291","9118","237"
"MEM","DEN","989","3448","6480","151"
"MEM","DFW","3664","18690","20989","562"
"MEM","DTW","3254","18238","25437","520"
"MEM","EWR","1257","10925","14250","270"
"MEM","GPT","1079","1565","3965","110"
"MEM","GRR","347","481","1528","36"
"MEM","IAH","1342","7330","6927","234"
"MEM","ICT","120","-232","635","9"
"MEM","IND","1287","5822","6443","169"
"MEM","JAN","703","710","1146","62"
"MEM","JAX","731","2571","3776","101"
"MEM","LAS","365","519","1244","55"
"MEM","LAX","1310","9654","11797","303"
"MEM","LGA","1134","23928","19405","454"
"MEM","LIT","1655","7375","11318","233"
"MEM","MCI","1287","6075","6974","174"
"MEM","MCO","1281","11990","12465","237"
"MEM","MIA","918","4754","5943","166"
"MEM","MKE","1097","5663","6729","149"
"MEM","MSP","3019","7990","18349","431"
"MEM","MSY","1310","7406","9602","216"
"MEM","OKC","1289","5193","7673","202"
"MEM","OMA","365","2851","2767","65"
"MEM","ORD","2543","36746","34247","724"
"MEM","PHL","1041","6472","5080","194"
"MEM","PHX","334","1061","1158","46"
"MEM","RDU","715","3547","5334","125"
"MEM","RSW","61","76","140","9"
"MEM","SAN","212","421","1676","30"
"MEM","SAT","1094","5891","6670","180"
"MEM","SDF","359","3076","3198","60"
"MEM","SEA","823","8185","8372","207"
"MEM","SFO","820","11075","12825","230"
"MEM","SJU","126","757","784","21"
"MEM","STL","361","1648","2732","54"
"MEM","TPA","1110","13806","13829","260"
"MEM","TYS","145","611","553","18"
"MEM","VPS","1310","6190","8120","189"
"MFE","AUS","366","176","261","23"
"MFE","DFW","1113","5984","5748","107"
"MFE","IAH","2040","8601","11423","268"
"MFR","LAX","611","9858","9145","176"
"MFR","SFO","928","19951","19629","315"
"MGM","ATL","660","2699","3044","90"
"MGM","MLU","330","177","474","61"
"MHT","BNA","388","693","3828","64"
"MHT","BWI","4591","52826","58680","1006"
"MHT","CLE","128","-727","385","15"
"MHT","DCA","676","1338","2439","83"
"MHT","DTW","1603","-3004","6755","162"
"MHT","EWR","454","3233","3155","65"
"MHT","MCI","365","-2124","2400","30"
"MHT","MCO","462","807","3778","63"
"MHT","MDW","704","7303","10891","156"
"MHT","ORD","1395","29713","24954","493"
"MHT","PHL","1820","18221","18259","435"
"MHT","PIT","1084","7500","8525","187"
"MHT","PWM","61","375","398","19"
"MIA","ATL","5964","63520","67082","1388"
"MIA","BDL","365","4091","5606","83"
"MIA","BNA","366","5187","6501","92"
"MIA","BOS","1844","41796","45894","648"
"MIA","BWI","1097","11991","14805","233"
"MIA","CLE","752","4353","4999","132"
"MIA","CLT","1942","8804","10057","285"
"MIA","CVG","1054","3502","6206","153"
"MIA","DCA","3956","18101","27011","627"
"MIA","DEN","1336","7973","10119","257"
"MIA","DFW","4092","29531","48904","907"
"MIA","DTW","1845","8725","17556","274"
"MIA","EGE","17","8","76","3"
"MIA","EWR","3142","53072","59371","858"
"MIA","FLL","245","1474","1875","61"
"MIA","IAD","2203","24908","29189","503"
"MIA","IAH","3329","12778","24113","512"
"MIA","JFK","3271","43066","55293","765"
"MIA","LAS","366","4238","4132","106"
"MIA","LAX","2560","19885","36446","637"
"MIA","LGA","3968","91706","80588","1506"
"MIA","MCO","2133","14123","13878","363"
"MIA","MEM","865","-653","4686","86"
"MIA","MSP","865","1642","5224","122"
"MIA","MSY","1097","1959","7500","150"
"MIA","ORD","5080","93164","84179","1681"
"MIA","PHL","2619","36558","30776","749"
"MIA","PHX","366","6793","7063","126"
"MIA","PIT","785","1780","3298","124"
"MIA","RDU","731","6647","7120","133"
"MIA","SEA","365","-38","3273","56"
"MIA","SFO","1463","7807","19415","281"
"MIA","SJC","17","379","331","4"
"MIA","SJU","3209","28756","35705","608"
"MIA","STL","1512","13501","13634","258"
"MIA","STT","631","5664","8833","157"
"MIA","STX","366","1830","3219","71"
"MIA","TPA","1095","4995","6984","147"
"MIB","MSP","89","-1255","-628","8"
"MKE","ATL","1414","8745","8879","258"
"MKE","CLT","726","4777","3360","134"
"MKE","CVG","1086","2502","3143","110"
"MKE","DTW","2501","10659","13093","341"
"MKE","IAD","192","361","206","28"
"MKE","IAH","346","1409","2271","50"
"MKE","LAS","363","7573","5926","150"
"MKE","MEM","1096","-4375","-786","98"
"MKE","MSP","2701","14859","17729","441"
"MKE","ORD","692","7724","6530","140"
"MKE","PHX","759","6009","5938","162"
"MKE","PIT","1418","5405","5396","193"
"MKE","STL","2117","13673","13326","302"
"MLB","ATL","1452","7140","6523","188"
"MLI","CID","2","89","84","1"
"MLI","STL","1960","7290","8572","215"
"MLU","ATL","341","2610","3242","71"
"MLU","BHM","331","76","436","13"
"MLU","DFW","365","2382","2406","55"
"MLU","JAN","29","203","102","5"
"MLU","PNS","363","81","1789","24"
"MLU","SHV","725","2476","2663","90"
"MOB","ATL","2862","13403","20069","456"
"MOB","BHM","176","3431","3234","50"
"MOB","BTR","725","2538","2216","78"
"MOB","DFW","362","1687","1431","49"
"MOB","PNS","179","362","229","29"
"MOT","MSP","1006","-245","3534","101"
"MRY","SFO","341","4313","4271","66"
"MSN","DTW","1749","4930","7473","202"
"MSN","MSP","1769","5519","8697","243"
"MSN","ORD","458","2887","2443","65"
"MSO","GTF","366","81","1352","28"
"MSO","MSP","743","-1","1029","76"
"MSO","SLC","756","3884","4087","83"
"MSP","ABQ","735","8745","10822","222"
"MSP","ANC","1078","18578","15692","417"
"MSP","ATL","4470","24788","39729","1005"
"MSP","AUS","688","5444","5309","185"
"MSP","AZO","475","1979","1228","91"
"MSP","BDL","1176","9771","8856","275"
"MSP","BIL","1106","7039","8771","254"
"MSP","BIS","1422","9204","9176","281"
"MSP","BNA","1287","6915","7469","237"
"MSP","BOI","819","14161","14838","277"
"MSP","BOS","2681","47761","37667","937"
"MSP","BUF","483","2694","2540","97"
"MSP","BWI","1643","15427","16429","417"
"MSP","BZN","1123","8287","9629","286"
"MSP","CID","452","1322","1370","62"
"MSP","CLE","1778","17379","13489","467"
"MSP","CLT","1673","5653","6122","303"
"MSP","CMH","1334","9681","6890","273"
"MSP","COS","745","8193","10061","195"
"MSP","CVG","1468","12255","8385","321"
"MSP","DAY","702","6474","4114","179"
"MSP","DCA","2523","19560","17195","553"
"MSP","DEN","5382","70219","60786","1537"
"MSP","DFW","5138","30503","33091","1042"
"MSP","DLH","1032","6882","6667","195"
"MSP","DSM","397","1200","1174","63"
"MSP","DTW","5058","39183","46917","1061"
"MSP","EGE","115","1800","1686","47"
"MSP","EWR","3705","40318","44779","955"
"MSP","FAI","91","1671","1286","39"
"MSP","FAR","2347","13576","13472","458"
"MSP","FCA","169","2136","1718","38"
"MSP","FLL","274","135","1229","46"
"MSP","FNT","88","-16","267","11"
"MSP","FSD","2101","10160","11706","399"
"MSP","GEG","840","9893","12171","277"
"MSP","GFK","1024","6185","5745","183"
"MSP","GRB","1547","14680","9525","351"
"MSP","GRR","1546","11707","12086","339"
"MSP","GTF","680","3636","4040","163"
"MSP","HDN","106","399","1042","23"
"MSP","HNL","147","4270","4343","61"
"MSP","HOU","285","2820","1110","90"
"MSP","IAD","1628","8647","10311","364"
"MSP","IAH","2932","11458","13814","575"
"MSP","IND","1914","15732","12277","462"
"MSP","JFK","245","3190","2312","72"
"MSP","LAN","547","-531","2594","75"
"MSP","LAS","2066","28306","28221","669"
"MSP","LAX","2504","29348","32040","780"
"MSP","LGA","2733","49357","40994","1022"
"MSP","LSE","440","660","2168","64"
"MSP","MBS","584","2743","2297","109"
"MSP","MCI","2753","21280","17849","571"
"MSP","MCO","1799","19016","23811","521"
"MSP","MDW","3078","19334","17067","597"
"MSP","MEM","3019","13208","18343","602"
"MSP","MIA","864","6746","7235","205"
"MSP","MIB","89","126","27","9"
"MSP","MKE","2700","27960","23307","662"
"MSP","MOT","1006","5859","7410","178"
"MSP","MSN","1799","13754","11043","364"
"MSP","MSO","744","2704","5158","164"
"MSP","MSY","896","5903","4874","201"
"MSP","OMA","2267","16735","18465","496"
"MSP","ONT","731","2951","7080","161"
"MSP","ORD","12979","159341","124563","3252"
"MSP","PDX","1476","16919","19519","436"
"MSP","PHL","2928","33283","24603","803"
"MSP","PHX","3748","38667","37785","978"
"MSP","PIT","2130","7706","10793","369"
"MSP","PSP","202","3322","2156","80"
"MSP","RAP","1275","5590","6840","224"
"MSP","RDU","979","5330","5066","207"
"MSP","RNO","731","6230","5920","194"
"MSP","RST","808","3729","5048","141"
"MSP","RSW","401","3524","4537","94"
"MSP","SAN","1461","5572","11283","318"
"MSP","SAT","397","3240","3090","93"
"MSP","SDF","721","6312","4404","183"
"MSP","SEA","2708","43541","41505","961"
"MSP","SFO","2419","47671","47285","900"
"MSP","SJC","965","8175","8118","274"
"MSP","SJU","41","458","385","12"
"MSP","SLC","2281","23223","27964","564"
"MSP","SMF","944","7455","8855","231"
"MSP","SNA","1077","5479","6705","237"
"MSP","STL","4942","29973","31364","859"
"MSP","SUX","690","3015","2453","115"
"MSP","TPA","1051","8216","8603","278"
"MSP","TUS","504","1693","5336","106"
"MSP","TVC","152","-550","446","20"
"MSY","ATL","3298","19546","20069","491"
"MSY","BHM","2364","23816","27308","476"
"MSY","BNA","1046","10210","11434","205"
"MSY","BTR","1","25","33","1"
"MSY","BWI","1097","3889","8459","144"
"MSY","CLE","355","648","1369","33"
"MSY","CLT","1463","10520","9589","246"
"MSY","CVG","1090","-515","1607","90"
"MSY","DAL","1828","25529","26109","479"
"MSY","DCA","674","2568","1241","93"
"MSY","DEN","1142","19455","14494","371"
"MSY","DFW","2936","16657","17342","428"
"MSY","DTW","1093","-509","3428","106"
"MSY","EWR","1396","13401","18521","319"
"MSY","FLL","366","3297","5413","77"
"MSY","HOU","7257","66379","67188","1357"
"MSY","IAD","741","15811","14766","283"
"MSY","IAH","4420","15348","19671","559"
"MSY","IND","366","1966","2833","45"
